Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
Bass Harbor,0.029850746268656716,0.0,0.11940298507462686,0.04477611940298507,0.26865671641791045,0.0,0.19402985074626866,0.014925373134328358,0.0,0.07462686567164178,0.05970149253731343,0.07462686567164178,0.11940298507462686
Southwest Harbor,0.0,0.3157894736842105,0.0,0.21052631578947367,0.15789473684210525,0.0,0.2631578947368421,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
Northeast Harbor,0.0,0.2777777777777778,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555
Bar Harbor,0.044444444444444446,0.2111111111111111,0.044444444444444446,0.06666666666666667,0.0,0.044444444444444446,0.2777777777777778,0.011111111111111112,0.022222222222222223,0.1,0.011111111111111112,0.044444444444444446,0.12222222222222222
Wild Gardens of Acadia,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.3125,0.375
Cadillac Mountain,0.025974025974025976,0.16883116883116883,0.025974025974025976,0.0,0.3116883116883117,0.09090909090909091,0.0,0.0,0.07792207792207792,0.15584415584415584,0.06493506493506493,0.03896103896103896,0.03896103896103896
Penobscot Peak,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bubble Rock,0.0,0.16666666666666666,0.041666666666666664,0.0,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664
Jordan Pond,0.031746031746031744,0.14285714285714285,0.015873015873015872,0.06349206349206349,0.19047619047619047,0.015873015873015872,0.19047619047619047,0.0,0.20634920634920634,0.0,0.047619047619047616,0.06349206349206349,0.031746031746031744
Boulder Beach,0.0,0.125,0.041666666666666664,0.125,0.125,0.08333333333333333,0.08333333333333333,0.0,0.0,0.20833333333333334,0.0,0.08333333333333333,0.125
Thunder Hole,0.0,0.16666666666666666,0.0,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.3,0.06666666666666667,0.0,0.03333333333333333
Sand Beach,0.05405405405405406,0.05405405405405406,0.0,0.0,0.13513513513513514,0.0,0.05405405405405406,0.0,0.02702702702702703,0.2702702702702703,0.13513513513513514,0.2702702702702703,0.0
