Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222
Bass Harbor,0.023809523809523808,0.0,0.09523809523809523,0.023809523809523808,0.19047619047619047,0.07142857142857142,0.2619047619047619,0.0,0.023809523809523808,0.14285714285714285,0.023809523809523808,0.09523809523809523,0.047619047619047616
Southwest Harbor,0.0,0.4117647058823529,0.0,0.058823529411764705,0.29411764705882354,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705
Northeast Harbor,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
Bar Harbor,0.07246376811594203,0.10144927536231885,0.057971014492753624,0.07246376811594203,0.0,0.057971014492753624,0.2753623188405797,0.0,0.043478260869565216,0.13043478260869565,0.028985507246376812,0.07246376811594203,0.08695652173913043
Wild Gardens of Acadia,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0
Cadillac Mountain,0.018518518518518517,0.09259259259259259,0.05555555555555555,0.018518518518518517,0.3888888888888889,0.037037037037037035,0.0,0.0,0.0,0.14814814814814814,0.05555555555555555,0.07407407407407407,0.1111111111111111
Penobscot Peak,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bubble Rock,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0
Jordan Pond,0.0,0.2413793103448276,0.034482758620689655,0.0,0.2413793103448276,0.0,0.2413793103448276,0.034482758620689655,0.1724137931034483,0.0,0.0,0.0,0.034482758620689655
Boulder Beach,0.1,0.2,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1
Thunder Hole,0.05,0.05,0.05,0.0,0.15,0.0,0.1,0.0,0.0,0.3,0.25,0.0,0.05
Sand Beach,0.0,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.0,0.037037037037037035,0.0,0.037037037037037035,0.3333333333333333,0.0
