FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,Days,TimeFrom,TimeTo
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,793,Athletic,Gymnastics / Tumbling,M/F,5,15,11/8/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,520,Athletic,Gymnastics / Tumbling,M/F,5,12,11/1/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,11/1/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/1/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/1/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,11/1/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/1/2021,10,10,8153,7/5/2021,9/10/2021,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/1/2021,10,10,8227,9/13/2021,5/27/2022,"Monday
Wednesday
Friday",6:30pm,8:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,519,After School,After School,M/F,5,11,11/1/2021,27,27,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,793,Athletic,Gymnastics / Tumbling,M/F,5,15,11/1/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,10/11/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,10/18/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,520,Athletic,Gymnastics / Tumbling,M/F,5,12,10/25/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,10/25/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/25/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/25/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,10/25/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,10/25/2021,10,10,8153,7/5/2021,9/10/2021,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,10/25/2021,10,10,8227,9/13/2021,5/27/2022,"Monday
Wednesday
Friday",6:30pm,8:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,519,After School,After School,M/F,5,11,10/25/2021,27,27,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,793,Athletic,Gymnastics / Tumbling,M/F,5,15,10/25/2021,10,10,,,,,,
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,3973,Athletic,Gymnastics / Tumbling,M/F,7,18,11/29/2021,15,14,8417,10/7/2021,4/28/2022,Thursday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,520,Athletic,Gymnastics / Tumbling,M/F,5,12,10/18/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,10/18/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/18/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/18/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,10/18/2021,10,10,8153,7/5/2021,9/10/2021,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,10/18/2021,10,10,8227,9/13/2021,5/27/2022,"Monday
Wednesday
Friday",6:30pm,8:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,519,After School,After School,M/F,5,11,10/18/2021,27,27,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,793,Athletic,Gymnastics / Tumbling,M/F,5,15,10/18/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,520,Athletic,Gymnastics / Tumbling,M/F,5,12,10/11/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,10/11/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/11/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,10/11/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,10/11/2021,60,60,8225,8/31/2021,10/13/2021,"Tuesday
Thursday",6:00pm,7:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,10/11/2021,60,60,8225,8/31/2021,10/13/2021,"Tuesday
Thursday",6:00pm,7:15pm
