FacilityID,PPR_Properties_ID
{86B4D412-6129-481D-B8FE-DF8D75385E9E},214
{8BAF412B-2804-4C60-8C77-DBEAEBF61EE8},310
{8CABD1DB-FA83-4566-A6F5-B10A6FB9FFBA},152
{8F7724AA-A9FC-48FC-9E0D-9B395EAB2713},128
{90E9C9A8-409C-4558-BC83-8DE2D86D6182},184
{90FC4DA3-CF6F-46B2-9DDF-52BCF3260CD2},506
{9218F058-1D8C-4BC6-98AE-1D9C13EEA470},256
{93DF87EC-FC04-4B9E-A77C-A7B7F59AF05A},314
{9B25D5C1-3F15-4755-8496-9DB52B44673B},390
{9B394D21-3687-46B2-AE67-D395D10FF670},239
{9B5D1E1A-DC93-4F09-A86A-9F613AF5E432},217
{9BCF7522-75A9-43C7-971D-6F6C64C378D5},223
{9CF14307-0016-48CB-B485-302D2CE49B0D},197
{9D1EF314-5124-4DAE-8384-C9390A163793},91
{9F0ADCAB-9398-4A95-BE8F-DCAEB54B9B6A},259
{A30DC119-E8F5-4EE3-BCD7-688918139BE1},99
{A3513A8C-92EE-49A1-AAD1-F8FB0F5CE60D},281
{A3AB19FD-55C6-4A73-8885-70AE241C0BF0},290
{A5206F25-76B6-4F03-821C-E7FE2245F995},260
{A7C74F0A-A2CB-44AF-8D4E-5F2B3569319B},268
{A7EBBCBF-CBEC-48A4-BE7A-D7EF32C6852F},58
{AE1D86CC-CB9B-43A5-86F6-FAB1FA3B348B},417
{B0D5F490-D7A1-46ED-875A-BC6D308EC597},87
{B1AC3689-517A-4942-BEA2-22CB87BD3563},68
{B292470E-DC80-4523-B1C0-200FE88CD448},271
{B4E08272-D8CF-4858-ACC5-46960503CE6D},165
{B5006DDB-97AE-41EE-BEB8-628E38473B4E},452
{B596F86A-0A71-459C-86E1-F1979B09A21B},81
{B8B0AF72-20CF-44AB-8CB8-08A3EA3195FB},61
{BAD696D2-ED8B-4744-AA9D-04919B158260},291
{BB9EA2DF-1580-4F4D-A90B-4342E8782E16},119
{BCC455D9-C48A-43BD-8954-6FA162D907F1},320
{BDDEE230-958C-4421-8AC7-68F29469D99C},102
{BE24E894-9B0F-49B8-B1BA-21AA371E2C5D},
{BEDDA7E5-CAC9-4765-AEE2-8F1EC8357F93},151
{C0699385-7FDF-4D03-A5AE-0EE6842ED9DA},144
{C1A81E5C-A8BF-4D81-A658-C8DADBC8DA9E},195
{C36045A0-0DEE-4ED3-BD03-8778313D444E},212
{C37065E5-2240-4B98-98BA-60F80A54DB56},218
{C4C00E67-E572-42A2-B06E-3B47A7B92601},126
{C510EA1A-F012-4D4C-99AD-75D1964B521D},37
{C51F632F-F1E8-4E8F-A9D8-92F8EA2A9AB6},180
{C5D5904D-5276-4EC8-9A7E-B2F4AFA56AD8},109
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},155
{C92CBD7A-2B58-42E6-B8F9-834F3A90B80B},38
{CBD8B5D4-8183-43C5-926C-F85359CB494D},171
{D026CD07-0E06-4AB0-82B1-224D07795445},228
{D6CBBB7B-793B-404B-9FE4-54FC96B4C700},247
{D72062AC-8EE0-4A2D-A783-5D1B64EC9F6B},312
{DA563DE4-F188-4698-A09B-A483CD2DC390},121
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},132
{DAA286D5-1006-44D9-8692-0554F4DD3A93},161
{DAFCA52A-53C9-4229-95EC-2C93A13F6D11},216
{DCF40A6C-2B11-4CC5-9284-EEF363A0D7AD},106
{DE8A8238-3C10-4F60-AC18-D3DF456F3BE4},457
{E0212C66-23C4-44B2-8D49-DCE1A8B528DD},14
{E08CE3EC-02AA-415F-9CED-876F91ECCA19},231
{E4B92288-7A6E-42F1-BC11-9EC8E2EACD88},458
{E74E896F-5E89-4448-8E00-21CB26A82BCE},51
{E7B1B685-AB08-473D-8D58-2DE3DBA4BBB7},213
{E8B1FB8D-55D6-4992-A717-95718DA55F4F},149
{EA579B8E-1A22-448E-B11E-DC36411861A6},255
{ED19B16B-2CE8-4292-8B6A-A8E47AFF71D5},185
{ED8614AA-18BE-40DF-A8AF-A8F51E8AC8D5},487
{EDB8A41A-38D4-4C2D-A06A-D40E64296754},113
{EE20625A-40C1-4B71-803D-F30DB8F4369C},181
{EF7061EE-886B-4935-9619-9CADE3CC86F8},240
{F2A75BCC-4F26-4C31-AA44-9EEDF3681B74},343
{F2B5716A-0E2C-4C6E-AB7A-216BE4751365},83
{F37A125C-1A10-41F0-BB62-F16F8F341F05},382
{F4C9689F-73C6-4526-BE81-B6CDAB85EE6B},269
{F54502AF-03DA-4FA6-999A-1FAAD3131F90},236
{F56FD6BC-D28E-4B38-B528-D1CAE45EEFEC},190
{F601C21C-467A-4411-8EA7-BC6C8BE4F405},146
{F643CCD1-C263-4E61-973B-22850F8C00CE},75
{F6A377CD-7705-4FFA-BBF9-B0C53619B11F},299
{F6EE6A26-E236-49B9-8D48-D9C24C58F6E1},300
{F6FF212D-52F5-4E1B-BB12-79098BDC1316},191
{F8E7732B-46FC-4402-9F13-657C963928DE},172
{F998DDE9-F4D4-4832-97A3-7BD67895F004},127
{F9DE4420-9809-4132-BFD3-C46CBB6784E7},123
{FC68DFB6-7C48-4955-A6C6-52B22B605AAF},219
{FD350BEE-D180-42AB-81F6-7FA70737BA7B},189
