OBJECTID,PUBLIC_NAME,LABEL,Exclude,PARENT_NAME,NESTED,OFFICIAL_NAME,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
393,Stiles Street Play Lot,Stiles,Yes,Stiles Street Play Lot,N,,,945,1608 W STILES ST,19121,1608 W STILES ST,,0.01924614,POCKET_PARK,MISC_PARK,7,6,5,22,Y,Y,N,,132.7734375,59.55916353
394,Paines Park,Paines,No,Benjamin Franklin Parkway,Y,,,3490,400 MARTIN LUTHER KING DRIVE,19103,N/A,,2.82548203,NEIGHBORHOOD_PARK,MISC_PARK,7,5,5,9,Y,Y,N,ADDRESS_BRT comes from a bigger parcel,19487.26953,670.256704
395,Danny Boyle Community Park,Boyle Community Park,No,Danny Boyle Community Park,N,Danny Boyle Community Park,Vandergrift Square,1197,2401 GERMANTOWN AVE,19133,800 W CUMBERLAND ST,"2401-13 GERMANTOWN AVE, 8th & York;800 W CUMBERLAND ST",0.35155594,POCKET_PARK,SQUARE_PLAZA,6,6,5,26,Y,Y,N,,2426.488281,226.2002527
396,June 5th Memorial Park,June 5th,Yes,June 5th Memorial Park,N,,22nd & Market Memorial Park,3076,2140 MARKET ST,19103,2140 MARKET ST,,0.11207944,POCKET_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,,772.8007813,141.8976665
397,Ingersoll Park,Ingersoll,No,Ingersoll Park,N,,16th & Master Park,3104,1300 N 16TH ST,19121,1312-26 N 16TH ST,16th & Master;1312-26 N 16TH ST,0.77307863,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,6,5,22,Y,Y,N,,5333.699219,325.5784549
398,Eakins Oval,Eakins,No,Benjamin Franklin Parkway,Y,Eakins Oval,The Oval,1850,2451 BENJAMIN FRANKLIN PKWY,19130,N/A,,7.82014944,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,,53916.33203,864.6025522
399,Maja Park,Maja,Yes,Benjamin Franklin Parkway,Y,,Century Park;Park Towne,2812,2250 BENJAMIN FRANKLIN PKWY,19130,N/A,,3.74697559,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,N,Y,N,Renamed in 2021.,25841.14063,942.7481345
400,Poquessing Creek Park 4,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,1647,3601 ACADEMY RD,19154,,,60.78946883,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,,420931.7188,8831.474236
401,Poquessing Creek Park 3,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,1648,3125 MECHANICSVILLE RD,19154,,,32.11699727,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,,222494.1094,2819.048949
402,Poquessing Creek Park 5,Poquessing Creek Park,No,Poquessing Creek Park,Y,,Millbrook,1642,4341 WHITING RD,19154,"4341 WHITING RD, 4302 WOODHAVEN RD",4302 WOODHAVEN RD,23.06549906,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,This area was formerly known as Millbrook,159621.9453,2422.003336
403,Poquessing Creek Park 8,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,2797,9925 HEGERMAN ST,19114,,9900-99 HEGERMAN ST,16.43644613,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,6,8,N,N,N,,113685.625,2338.44559
404,Poquessing Creek Park 6,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,1639,130 DIMARCO DR,19154,,,15.12042514,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,,104621.9961,2098.545934
405,Poquessing Creek Park 7,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,1638,10501 KNIGHTS RD,19154,"10725 KNIGHTS RD, 10501 KNIGHTS RD",10725 KNIGHTS RD,12.67045448,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,,87654.75,2171.59081
406,Poquessing Creek Park 2,Poquessing Creek Park,No,Poquessing Creek Park,Y,,,2813,1300 POQUESSING CREEK DR,19116,,1300-2600 POQUESSING CRK DR,3.42031694,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,N,N,N,,23702.32031,1156.556644
407,Fairmount Drainage Right of Way (Alburger Ave),Fairmount Drain ROW (Pennypack),Yes,Fairmount Drainage Rights of Way (Pennypack),Y,,,2909,190 ALBURGER AVE,19115,,,52.6457418,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,N,N,N,Along Ballard Brook,364531.4492,6428.224888
408,Fairmount Drainage Right of Way (Waldemire Dr),Fairmount Drain ROW (Poquessing),Yes,Fairmount Drainage Rights of Way (Poquessing),Y,,,1643,10901 WALDEMIRE DR,19154,,10901-11899 WALDEMIRE DR,52.18054485,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,Along the Byberry Creek and Tributaries,361173.1289,8166.292184
409,Fairmount Drainage Right of Way (Verree Rd),Fairmount Drain ROW (Pennypack),Yes,Fairmount Drainage Rights of Way (Pennypack),Y,,,2796,8601 VERREE RD,19115,,,22.13645544,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,N,N,N,Along Pauls Run,153248.043,2962.727454
410,Fairmount Drainage Right of Way (Chesterfield Rd),Fairmount Drain ROW (Poquessing),Yes,Fairmount Drainage Rights of Way (Poquessing),Y,,,1640,3460 MORRELL AVE,19114,,,25.35715539,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,Along the Byberry Creek and Tributaries,175460.293,4426.568591
411,Fairmount Drainage Right of Way (Willits Rd),Fairmount Drain ROW (Pennypack),Yes,Fairmount Drainage Rights of Way (Pennypack),Y,,,2803,2870 WILLITS RD,19136,,,5.65855728,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,6,8,N,N,N,Along Wooden Bridge Run,39138.33594,1091.145289
412,Fairmount Drainage Right of Way (Maxwell St),Fairmount Drain ROW (Pennypack),Yes,Fairmount Drainage Rights of Way (Pennypack),Y,,,2804,2620 MAXWELL ST,19152,,,5.12006293,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,6,8,N,N,N,Along Axe Factory Run,35417.31641,1402.270996
413,Fairmount Drainage Right of Way (Crestmont Ave),Fairmount Drain ROW (Poquessing),Yes,Fairmount Drainage Rights of Way (Poquessing),Y,,,1636,3777 MORRELL AVE,19114,,,8.09036412,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,Along the Byberry Creek and Tributaries,55966.71484,2293.463844
414,Fairmount Drainage Right of Way (Thornton Rd),Fairmount Drain ROW (Poquessing),Yes,Fairmount Drainage Rights of Way (Poquessing),Y,,,1646,3099 WOODHAVEN RD,19154,12240 THORNTON RD,12240 THORNTON RD,3.29824624,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,8,N,N,N,Along the Byberry Creek and Tributaries,22839.92188,640.7149067
415,Glen Foerd on the Delaware,Glen Foerd,Yes,Glen Foerd on the Delaware,N,,,1634,5001 GRANT AVE,19114,5001 GRANT AVE,,22.89651846,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,6,8,Y,Y,N,,158329.4727,1665.039926
416,Allens Lane Art Center,Allens Ln Center,Yes,Allens Lane Art Center,N,,,1807,651 W ALLENS LN,19119,621 W ALLENS LN,601 W ALLENS LN;621 W ALLENS LN,6.57466701,NEIGHBORHOOD_PARK,RECREATION_SITE,4,4,8,14,Y,Y,Y,,45463.75,878.3061046
417,Eric W (Hank) Gathers Jr Recreation Center,Gathers,No,Eric W (Hank) Gathers Jr Recreation Center,N,"Eric W. (Hank) Gathers, Jr. Recreation Center",Moylan Recreation Center,1852,2501 W DIAMOND ST,19121,2501-59 DIAMOND ST,"2501-19 W DIAMOND ST, 25th & Diamond",3.6915061,NEIGHBORHOOD_PARK,RECREATION_SITE,6,6,5,22,Y,Y,Y,,25478.70703,757.6053726
418,River Field,River Field,No,Benjamin Franklin Parkway,Y,River Field,,1940,302 N 24TH ST,19103,N/A,,6.55980699,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,N,Y,N,,45233.62891,1043.0681
419,Levy Park,Levy,Yes,Benjamin Franklin Parkway,Y,,Horwitz-Wasserman Holocaust Memorial Plaza,2911,1635 ARCH ST,19103,1619-29 ARCH ST,1619-29 ARCH ST,0.6092862,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,Needs verification on ownership (PWD and Bill are different); Redesign - Bill 170989 (12/14/17); Unsure of borders along 17th St,4200.261719,362.2420517
420,Kingsessing Recreation Center,Kingsessing,No,Kingsessing Recreation Center,N,Kingsessing Recreation Center,,1886,4901 KINGSESSING AVE,19143,4901 KINGSESSING AVE,51st & Chester,9.15492108,NEIGHBORHOOD_PARK,RECREATION_SITE,8,8,3,12,Y,Y,Y,,63103.75391,1042.242715
421,William Lanier Park,Lanier,No,William Lanier Park,N,,,407,1600 S 29TH ST,19145,1600 S 29TH ST,2900 TASKER ST,4.11998635,NEIGHBORHOOD_PARK,RECREATION_SITE,9,7,2,17,Y,Y,Y,,28390.57813,666.2044454
422,Irish and Scottish Immigration Memorials,Irish and Scottish Memorials,Yes,I-95 Park,Y,,,2818,111 S FRONT ST,19106,N/A,,1.85246038,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,5,1,6,Y,Y,N,There is no parcel here.,12770.60547,455.3357777
423,Korean War Veterans Memorial,Korean Memorial,Yes,I-95 Park,Y,Korean War Veteran's Memorial,,1887,109 SPRUCE ST,19106,109 SPRUCE ST,,1.30860834,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,5,1,6,Y,Y,N,,9020.648438,386.4487026
424,Philadelphia Vietnam Veterans Memorial,Vietnam Memorial,Yes,I-95 Park,Y,,,1626,10 SPRUCE ST,19106,,,1.96488927,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,5,1,6,Y,Y,N,,13544.15234,468.7188207
425,Northern Liberties Recreation Center,Northern Liberties,No,Northern Liberties Recreation Center,N,Northern Liberties Recreation Center,District 6 HQ (Recreation);Cement Park,1921,315 FAIRMOUNT AVE,19123,"313-27 FAIRMOUNT AVE, 706-12 N 3RD ST","313-27 FAIRMOUNT AVE, 321 FAIRMOUNT AVE;706-12 N 3RD ST",0.654731,NEIGHBORHOOD_PARK,RECREATION_SITE,10,2,5,6,Y,Y,Y,,4515.636719,339.355374
426,Aviator Park,Aviator,No,Benjamin Franklin Parkway,Y,Aviator Park,Logan Square,2817,200 N 19TH ST,19103,200 N 19TH ST,,1.89705075,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,Aviator Park is part of Logan Square.,13078.39063,500.3077068
427,Sister Cities Park,Sister Cities,No,Benjamin Franklin Parkway,Y,Sister Cities Park,Logan Square,2820,200 N 18TH ST,19103,,,1.73994067,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,Sister Cities Park is part of Logan Square,11995.87891,486.1516592
428,Cret Park,Cret,Yes,Benjamin Franklin Parkway,Y,Cret Park,Three Parkway Plaza,2821,110 N 16TH ST,19103,110 N 16TH ST,,1.12740815,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,,7773.378906,414.2176287
429,Torun Triangle,Torun,Yes,Benjamin Franklin Parkway,Y,,Kopernicus Triangle,2826,1716 RACE ST,19103,1716-34 RACE ST,1716-34 RACE ST,0.62817212,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,N,N,N,,4331.363281,431.2987737
430,Binswanger Triangle,Binswanger,Yes,Benjamin Franklin Parkway,Y,Binswanger Triangle,,3491,2200 BENJ FRANKLIN PKY,19130,N/A,,0.22313246,POCKET_PARK,GREENWAY_PARKWAY,7,5,5,9,N,N,N,There is no parcel here,1546.796875,227.2980832
431,Tacony Boat Launch,Tacony Launch,Yes,Tacony Boat Launch,N,Tacony Boat Launch,Princeton Avenue Boat Launch,3089,5198 PRINCETON AVE,19135,7071R MILNOR ST,7071R MILNOR ST,3.78609528,NEIGHBORHOOD_PARK,BOATHOUSE_LAUNCH,2,2,6,15,Y,Y,N,,26156.3125,672.3127179
432,Carpenters Woods,Carpenters Woods,No,Wissahickon Valley Park,Y,Carpenter's Woods,,1627,801 W SEDGWICK ST,19119,"7001 WISSAHICKON AVE, 7045-99 GREENE ST","7001 WISSAHICKON AVE, 7045-99 GREENE ST",42.23422159,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,14,Y,Y,N,,291991.1484,3032.978818
433,Officer Robert Hayes Memorial Playground Woods,Hayes Woods,No,Officer Robert Hayes Memorial Playground,Y,,"Swenson Park, Conwell",3084,9800 E ROOSEVELT BLVD,19115,9800 E ROOSEVELT BLVD,9850 E ROOSEVELT BLVD,19.06275018,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,10,7,N,N,N,,131964.1211,1473.622217
434,Officer Robert Hayes Memorial Playground,Hayes,No,Officer Robert Hayes Memorial Playground,N,Officer Robert Hayes Memorial Playground,"Swenson Park, Conwell",1923,9949 PRESIDENT ST,19115,"9850 E ROOSEVELT BLVD, 9800 E ROOSEVELT BLVD","9850 E ROOSEVELT BLVD, 9800 E ROOSEVELT BLVD",39.23612869,NEIGHBORHOOD_PARK,RECREATION_SITE,1,1,10,7,Y,Y,Y,,271624.1484,3172.524494
435,Grays Ferry Crescent,Grays Ferry Crescent,Yes,Grays Ferry Crescent,N,,,1366,3696 WHARTON ST,19146,"1200R S 36TH ST, 3600 GRAYS FERRY AVE, 3699 GRAYS FERRY AVE, 1101 S 34TH ST","3501R GRAYS FERRY AVE;1200R S 36TH ST, 3600 GRAYS FERRY AVE, 3699 GRAYS FERRY AVE, 1101 S 34TH ST",14.02568174,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,9,7,2,17,Y,Y,N,,96680.61719,3392.75566
436,Hope Park,Hope,No,Hope Park,N,Hope Park,,3080,201 E INDIANA AVE,19134,201-19 E INDIANA AVE,201-19 E INDIANA AVE,1.23248437,NEIGHBORHOOD_PARK,MISC_PARK,6,3,7,24,Y,Y,N,,8508.558594,390.2544865
437,Logan Square,Logan,No,Benjamin Franklin Parkway,Y,Logan Square,East/West Triangle,224,200 N 18TH ST,19103,"200 N 18TH ST, 200 N 19TH ST",20th & Parkway;200 N 19TH ST,9.27781492,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,"Logan Square includes Aviator Park, Galusha Pennypacker Park, Shakespeare Park, and Sister Cities Park",63984.12109,3905.935479
438,Titan Park,Titan,Yes,Titan Park,N,,,339,110 TITAN ST,19147,108-10 TITAN ST,108-10 Titan Street,0.03128556,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,BILL # 1251 1978 PENNSPORT URBAN R.A.PARCEL NO.16,215.5664063,57.98610739
439,Dodge Tract,,Yes,Wissahickon Valley Park,Y,,Donation Parcel,3094,7900 CHEROKEE ST,19118,7900 CHEROKEE ST,,6.6263286,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,14,N,N,N,"Needs verification on ownership. Ordinance Bill #150475; Removed area NW of Valley Green Rd, not part of Natural Lands Trust's transfer",45830.44141,1066.467552
440,Emily Community Garden,Emily Garden,Yes,Emily Community Garden,N,,Growing Home Garden,3443,742 EMILY ST,19148,732-42 EMILY ST,732-42 EMILY ST,0.10990058,POCKET_PARK,URBANAGRICULTURE_GARDEN,9,7,1,3,Y,Y,N,Site renovations planned for 2021,757.109375,113.6020037
441,Poquessing Creek Park,Poquessing Creek Park,No,Poquessing Creek Park,N,Poquessing Creek Park,,3494,,0,,,187.0098459,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,"6, 10","7, 8",Y,Y,N,,1294820.949,24950.18462
442,Benjamin Franklin Parkway,Benjamin Franklin Pkwy,Yes,Benjamin Franklin Parkway,N,Benjamin Franklin Parkway,The Parkway; Rob Stuart Memorial Dog Park; Winter Street Greenway,1226,BENJ FRANKLIN PKY,0,N/A,,67.32464427,REGIONAL_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,22nd and Hamilton 'wedge' added (Street Legal Card); Winter (21st-22nd) has a dog park 'Rob Stuart Memorial Dog Park',464283.6563,21824.62566
443,Philly Pumptrack,Pumptrack,Yes,West Fairmount Park,Y,,,3496,5301 PARKSIDE AVE,19131,,,0.52983043,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,19,Y,Y,N,,3656.554688,243.283866
444,Reliance Triangle,Reliance,No,Reliance Triangle,N,,Bulldog Park,3301,2501 PENNSYLVANIA AVE,19130,2501 PENNSYLVANIA AVE,,0.34552695,POCKET_PARK,BREEZEWAY_ISLAND,7,6,5,9,Y,Y,N,,2382.992188,208.3656679
445,Philadelphia Stars Negro League Memorial Park,Stars Negro League,Yes,Philadelphia Stars Negro League Memorial Park,N,,,3535,1538 BELMONTE AVE,19104,N/A,,0.24872824,POCKET_PARK,SQUARE_PLAZA,7,8,4,19,Y,Y,N,,1716.210938,219.4706564
446,Glendinning Rock Garden,Glendinning,No,East Fairmount Park,Y,,,3585,1299 BREWERY HILL DR,19121,,"1201 KELLY DR, Girard Ave & Kelly Dr",2.78601038,NEIGHBORHOOD_PARK,HISTORIC_SITE,7,5,4,22,N,N,N,,19216.83203,665.1542256
447,Galusha Pennypacker Park,Pennypacker,Yes,Benjamin Franklin Parkway,Y,Galusha Pennypacker Park,Logan Square,2816,1856 VINE ST,19103,,200 N 18TH ST,1.13391877,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,Galusha Pennypacker Park is part of Logan Square. Renovated in 2017.,7824.828125,826.4614134
448,Shakespeare Park,Shakespeare,No,Benjamin Franklin Parkway,Y,Shakespeare Park,Logan Square,3601,1948 VINE ST,19103,,200 N 18TH ST,1.17760953,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,Shakespeare Park is part of Logan Square. Renovated in 2017.,8120.476563,607.454524
449,Bristol Street Warehouse,Bristol,Yes,Bristol Street Warehouse,N,,,3601,1632 E BRISTOL ST,19124,1610-32 E BRISTOL ST,1610-32 E BRISTOL ST,1.97235874,NEIGHBORHOOD_PARK,OPERATIONS,3,3,7,24,Y,Y,N,Operations Warehouse Site,13622.44141,532.0078603
450,Cobbs Creek Park,Cobbs Creek Park,No,Cobbs Creek Park,N,Cobbs Creek Park,,3056,,19143,12 COBBS CREEK PKWY;6501 COBBS CREEK PKWY;6100 BALTIMORE AVE;6300-01 MARKET ST;6300 SPRUCE ST;7800 CITY AVE;7400 LANSDOWNE AVE;SEE ALIAS ADDRESSES,12 COBBS CREEK PKWY;6501 COBBS CREEK PKWY;6100 BALTIMORE AVE;6300-01 MARKET ST;6300 SPRUCE ST;7800 CITY AVE;7400 LANSDOWNE AVE;338-50 N 65TH ST;6525-47 VINE ST;6801 HAVERFORD AVE,743.818536,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,8,8,"2, 3, 2004","12, 18, 19",Y,Y,N,,5129641.43,46286.9134
451,John A Lee Cultural Center,Lee Cultural Center,No,John A Lee Cultural Center,N,John A. Lee Cultural Center,John A. Lee Recreation Center,1892,4372 HAVERFORD AVE,19104,4310 HAVERFORD AVE,"4310 HAVERFORD AVE, 4328 HAVERFORD AVE, 44th & Haverford",9.59479255,NEIGHBORHOOD_PARK,RECREATION_SITE,8,8,3,16,Y,Y,Y,,66172.39844,1081.905003
452,Burholme Park,Burholme,No,Burholme Park,N,,,490,7370 CENTRAL AVE,19111,7370 CENTRAL AVE,Cottman & Central,67.92219584,REGIONAL_PARK,MISC_PARK,1,1,10,2,Y,Y,N,,469911.9219,2822.994996
453,Historic Rittenhouse Town,Historic Rittenhouse Town,No,Wissahickon Valley Park,Y,Historic Rittenhouse Town,,1939,6014 WISSAHICKON AVE,19144,N/A,,10.57133417,NEIGHBORHOOD_PARK,HISTORIC_SITE,4,4,4,39,Y,Y,N,,73053.04297,1688.537823
454,Organic Recycling Center,Recycling Center,Yes,West Fairmount Park,Y,Organic Recycling Center,,3628,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,13.83526658,NEIGHBORHOOD_PARK,OPERATIONS,7,5,4,16,Y,Y,N,,95509.15625,1786.411377
455,Belmont Grove,Belmont Grove,No,West Fairmount Park,Y,,Belmont Grove Picnic Area,3630,2076 BELMONT MANSION DR,19131,3401 W GIRARD AVE,Belmont & Chamounix;3401 W GIRARD AVE,11.76148656,NEIGHBORHOOD_PARK,MISC_PARK,7,5,4,16,Y,Y,N,,81187.16016,1318.67676
456,Mann Center for the Performing Arts,Mann Center,yes,West Fairmount Park,Y,The Mann Center for the Performing Arts,The Mann Center;Robin Hood Dell West,3634,5038 AVENUE OF THE REPUBLIC,19131,,5201 PARKSIDE AVE;5396 N GEORGES HILL DR,24.0064744,NEIGHBORHOOD_PARK,OTHER,7,5,4,19,Y,Y,N,,165671.5117,2337.31543
457,Clifford Park,Clifford,No,Wissahickon Valley Park,Y,,Thomas Mansion Grounds,1832,6141 WISSAHICKON AVE,19144,6331 WISSAHICKON AVE,6331 WISSAHICKON AVE,23.0669862,NEIGHBORHOOD_PARK,MISC_PARK,4,4,8,14,Y,Y,N,,159427.4766,1692.813691
458,Blue Bell Park,Blue Bell,No,Wissahickon Valley Park,Y,Blue Bell Park,Blue Bell Hill,1311,844 W WALNUT LN,19144,N/A,Walnut & Park,8.33088374,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4,4,4,"14, 39",Y,Y,N,,57575.30859,1502.761117
459,Saul High School Farm,Saul Farm,Yes,Wissahickon Valley Park,Y,,,3659,7107 HENRY AVE,19128,,,35.3051806,NEIGHBORHOOD_PARK,URBANAGRICULTURE_FARM,4,4,4,5,Y,Y,N,,244124.2578,4300.974559
460,Parkwood,Parkwood,No,Parkwood,N,,Parkwood Youth Organization Recreation Center,3663,3359 MECHANICSVILLE RD,19154,3102 MECHANICSVILLE RD,3301 MECHANICSVILLE RD;3102 MECHANICSVILLE RD;Dunksferry & Mechanicsville,30.81561268,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,1,1,10,8,Y,Y,N,,213418.6719,2079.529254
461,American Swedish Historical Museum,American Swedish Museum,Yes,Franklin Delano Roosevelt Park,Y,American Swedish Historical Museum,American Swedish Museum,3666,1900 PATTISON AVE,19145,3500 S BROAD ST,3500 S BROAD ST,1.67416017,NEIGHBORHOOD_PARK,MUSEUM,9,7,2,1,Y,Y,N,,11527.35156,455.6371913
462,Andorra Natural Area,Andorra,No,Wissahickon Valley Park,Y,,,3667,9750 FORBIDDEN DR,19128,"9001 LYKENS LN, 950 NORTHWESTERN AVE","9001 LYKENS LN, 950 NORTHWESTERN AVE",158.1561249,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,5,Y,Y,N,,1094515.574,5568.63355
463,Cobbs Creek Community Environmental Center,Cobbs Environ Center,No,Cobbs Creek Park,Y,,Cobbs Creek EEC;Cobbs Creek Environmental Education Center;Cobbs Creek Stables,1835,700 COBBS CREEK PKWY,19143,6300 SPRUCE ST,6300 SPRUCE ST,1.45077738,NEIGHBORHOOD_PARK,ENVIRONMENTAL_EDUCATION_CENTER,8,8,3,18,Y,Y,Y,,10002.78516,597.832117
464,Saylors Grove,Saylors Grove,Yes,Wissahickon Valley Park,Y,,,3713,669 W RITTENHOUSE ST,19144,5800 WISSAHICKON AVE,6020 WISSAHICKON AVE;5800 WISSAHICKON AVE;5964 WISSAHICKON AVE,3.31910353,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,39,Y,Y,N,,22933.89063,724.4661348
465,Ben-Gurion Place,Ben-Gurion,Yes,Ben-Gurion Place,N,,,0,107 N INDEPENDENCE MALL E,19106,N/A,Between N Independence Mall E and N 4th St,0.38716613,POCKET_PARK,BREEZEWAY_ISLAND,10,5,1,6,Y,Y,N,There is no parcel here,2669.351563,377.6058074
466,Commerce Street Walk,Commerce,Yes,Commerce Street Walk,N,,,0,25 N 04TH ST,19106,N/A,Between N 4th St and N 3rd St,0.37266554,POCKET_PARK,BREEZEWAY_ISLAND,10,5,1,6,Y,Y,N,There is no parcel here,2569.363281,443.6928687
467,Waverly Street Community Garden,Waverly,No,Waverly Street Community Garden,N,Waverly Street Community Garden,,99999,1131 WAVERLY ST,19147,1123-31 WAVERLY ST,1123-31 WAVERLY ST,0.09275297,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,7,1,6,Y,Y,N,,639.375,110.8195034
468,3rd and Norris Playground,3rd and Norris,No,3rd and Norris Playground,N,,,2903,273 W NORRIS ST,19122,"259-61 W NORRIS ST, 263-73 W NORRIS ST",259-61 W NORRIS ST;263-73 W NORRIS ST;253-73 W NORRIS ST,0.23281031,POCKET_PARK,MISC_PARK,6,6,7,26,Y,Y,Y,,1606.542969,165.1536721
469,Howard and Reed Park,Howard and Reed,Yes,Howard and Reed Park,N,,,433,105 REED ST,19147,107 REED ST,105-09 REED ST;107 REED ST,0.07930905,POCKET_PARK,BREEZEWAY_ISLAND,10,7,1,3,Y,Y,N,Divided by multiple parcels,546.46875,92.3139252
470,Sartain Garden,Sartain Garden,Yes,Sartain Garden,N,,Sartain Street Community Garden,99999,201 S SARTAIN ST,19107,1114-18 LOCUST ST,1114-18 LOCUST ST,0.08407577,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,5,1,6,Y,Y,N,,579.6054688,104.185412
471,South Street Community Garden,South St Garden,Yes,South Street Community Garden,N,South Street Community Garden,South St Community Garden,99999,839 SOUTH ST,19147,831-39 SOUTH ST,831-39 SOUTH ST,0.20561096,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,7,1,3,Y,Y,N,,1417.25,154.3847728
472,Brewerytown Garden,Brewerytown Garden,Yes,Brewerytown Garden,N,,Brewerytown Community Garden,3767,1341 N 27TH ST,19121,"2634-44 MASTER ST, 1339 N 27TH ST, 1331 N 27TH St","2634-44 MASTER ST, 1339 N 27TH ST, 1331 N 27TH St",0.47675546,POCKET_PARK,URBANAGRICULTURE_GARDEN,7,6,5,22,Y,Y,N,,3289.496094,357.6161285
473,Discovery Center at East Fairmount Reservoir,Discovery Center,Yes,East Fairmount Park,Y,The Discovery Center at East Fairmount Reservoir,,3778,3395 RESERVOIR DR,19121,2500 SPRING GARDEN ST,3401 RESERVOIR DR;2500 SPRING GARDEN ST;3369 RESERVOIR DR,51.19340812,REGIONAL_PARK,ENVIRONMENTAL_EDUCATION_CENTER,7,5,4,22,Y,Y,N,,353307.1523,2752.240504
