OBJECTID,PUBLIC_NAME,LABEL,Exclude,PARENT_NAME,NESTED,OFFICIAL_NAME,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
336,37th and Mount Vernon Playground,37th and Mt Vernon,No,37th and Mount Vernon Playground,N,"
",,2897,614 N 37TH ST,19104,608-16 N 37TH ST,608-16 N 37TH ST;600 N 37TH ST;3700 MOUNT VERNON ST,0.47816866,POCKET_PARK,MISC_PARK,7,8,3,16,Y,Y,N,,3298.015625,264.1418315
337,James L Wright Playground,Wright,No,James L Wright Playground,N,James L. Wright Playground,Mantua Recreation Center,1975,3340 HAVERFORD AVE,19104,"3318-50 HAVERFORD AVE, 3321 BRANDYWINE ST","3320-50 HAVERFORD AVE, 34th & Haverford, 3318-50 HAVERFORD AVE, 3321 BRANDYWINE ST, 3390 HAVERFORD AVE, 3384 HAVERFORD AVE",0.54906109,NEIGHBORHOOD_PARK,RECREATION_SITE,7,8,3,16,Y,Y,Y,,3786.953125,297.6822981
338,Hagert Street Playground,Hagert,No,Hagert Street Playground,N,,,847,2034 E HAGERT ST,19125,2024-40 E HAGERT ST,"2024-40 E HAGERT ST, Hagert & Coral",0.48635495,POCKET_PARK,MISC_PARK,5,2,1,26,Y,Y,Y,,3356.390625,246.1892361
339,Mollbore Terrace Park,Mollbore Terrace,Yes,Mollbore Terrace Park,N,,,0,1226 MOLLBORE TER,19148,"1032 MOLLBORE TER,1032 MOLLBORE TER,1032 MOLLBORE TER","Mollbore Ter & 8th; Mollbore Ter & 11th; Mollbore Ter & 12th;1032 MOLLBORE TER,1032 MOLLBORE TER,1032 MOLLBORE TER",1.42962527,NEIGHBORHOOD_PARK,BREEZEWAY_ISLAND,9,7,"1, 2",3,Y,Y,N,This is the land boundaries of all 3 portions of Mollbore Terrace put together in a single multipart polygon.,9846.320313,807.3911414
340,Ramblers Recreation Center,Ramblers,No,Ramblers Recreation Center,N,,Harrowgate PAL Center,1937,851 E TIOGA ST,19134,"801-41 E ATLANTIC ST, 851 E TIOGA ST",801-41 E ATLANTIC ST,3.17211055,NEIGHBORHOOD_PARK,RECREATION_SITE,5,3,7,24,Y,Y,Y,,21903.15234,865.0862379
341,Philadelphia History Museum at the Atwater Kent,Atwater Kent Museum,Yes,Philadelphia History Museum at the Atwater Kent,N,Philadelphia History Museum at the Atwater Kent,,3473,15 S 7TH ST,19106,13-17 S 07TH ST,13-17 S 07TH ST,0.44448994,POCKET_PARK,MUSEUM,10,5,1,6,Y,Y,N,,3064.472656,269.7577588
342,Lloyd Hall Recreation Center,Lloyd Hall,No,East Fairmount Park,Y,Lloyd Hall Recreation Center,,997,800 KELLY DR,19130,N/A,"1 JOHN B KELLY DR, 790 WATER WORKS DR",1.2645589,NEIGHBORHOOD_PARK,RECREATION_SITE,7,5,5,9,Y,Y,Y,Located in East Fairmount Park,8723.148438,385.1975196
343,Wilmot Park,Wilmot,No,Wilmot Park,N,,Da Square;Square Park,99,1801 MEADOW ST,19124,1801 MEADOW ST,Hawthorne St & Meadow St,0.42003917,POCKET_PARK,RECREATION_SITE,5,2,7,15,Y,Y,Y,Historic Designation for the land on 10/2021.,2901.285156,238.7413946
344,Anna M Ross Park,Ross,No,Anna M Ross Park,N,Anna M. Ross Park,10th & Glenwood,762,1000 W GLENWOOD AVE,19133,1000 W GLENWOOD AVE,"10th & Clearfield, 1000 W GLENWOOD AVE",0.41942625,POCKET_PARK,BREEZEWAY_ISLAND,6,3,5,25,Y,Y,N,,2895.851563,244.7925198
345,Emanuel Weinberg Park,Weinberg,Yes,Emanuel Weinberg Park,N,Emanuel Weinberg Park,,185,2205 S 06TH ST,19148,2201-09 S 6TH ST,"2201-09 S 06TH ST, 6th & Jackson",0.42156986,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,,2904,251.8299646
