year,month,region,num_visits,num_unique_visitors
2021,4,ALL,1015929214,39877177
2021,4,ALL_US,1015929214,39877177
2021,4,ak,1081472,62875
2021,4,al,29806787,1060298
2021,4,ar,15546625,579489
2021,4,as,69,34
2021,4,az,21056411,978434
2021,4,ca,78878031,4022797
2021,4,co,15637887,931578
2021,4,ct,7125009,477635
2021,4,dc,1361514,283095
2021,4,de,2446061,175227
2021,4,fl,89360223,3448150
2021,4,ga,47484598,2108589
2021,4,gu,368,215
2021,4,hi,4544861,173070
2021,4,ia,13024836,642804
2021,4,id,4485171,239457
2021,4,il,37894714,2085251
2021,4,in,23156754,1121650
2021,4,ks,11707479,529242
2021,4,ky,16176047,813129
2021,4,la,20025856,815977
2021,4,ma,11657254,887640
2021,4,md,12993317,897042
2021,4,me,2388550,127112
2021,4,mi,24141628,1309004
2021,4,mn,14233972,892443
2021,4,mo,26969783,1142106
2021,4,ms,15905075,576848
2021,4,mt,2339298,127765
2021,4,nc,35465308,1643210
2021,4,nd,2430182,124730
2021,4,ne,7981228,399677
2021,4,nh,3030702,188244
2021,4,nj,21625102,1284263
2021,4,nm,4153575,336376
2021,4,nv,11569088,620533
2021,4,ny,38597437,2631731
2021,4,oh,37193367,1754080
2021,4,ok,19768231,777034
2021,4,or,9433670,545347
2021,4,pa,30130576,1871197
2021,4,pr,92509,28474
2021,4,ri,2063431,157896
2021,4,sc,22161444,931490
2021,4,sd,2867462,146357
2021,4,tn,31028685,1403775
2021,4,tx,116525849,4583238
2021,4,ut,8233683,455752
2021,4,va,22404553,1250719
2021,4,vi,1426,669
2021,4,vt,845787,61833
2021,4,wa,14887408,826460
2021,4,wi,15235815,818409
2021,4,wv,5350792,297757
2021,4,wy,1422254,95742
