year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,4,1,ALL,"",57871652,16560452,21572716,12551043
2021,4,1,ALL_CA,CA,463720,287602,463720,287602
2021,4,1,ALL_US,US,57407932,16273119,21108996,12263441
2021,4,1,ab,CA,74491,50092,74491,50092
2021,4,1,ak,US,63889,22073,23651,15602
2021,4,1,al,US,1677867,422857,588979,326846
2021,4,1,ar,US,899456,229460,327473,179578
2021,4,1,as,US,9,9,8,8
2021,4,1,az,US,1181966,328160,397608,238245
2021,4,1,bc,CA,55643,35490,55643,35490
2021,4,1,ca,US,4376856,1360646,1600035,1008386
2021,4,1,co,US,895734,266970,297649,176869
2021,4,1,ct,US,433404,145555,185096,108009
2021,4,1,dc,US,66696,38613,14026,9496
2021,4,1,de,US,145395,49622,56590,33885
2021,4,1,fl,US,4972236,1283749,1549894,883755
2021,4,1,ga,US,2708429,718346,940105,521247
2021,4,1,gu,US,30,25,24,22
2021,4,1,hi,US,237846,62951,63669,41834
2021,4,1,ia,US,760495,222217,298332,165660
2021,4,1,id,US,264039,78175,101325,59153
2021,4,1,il,US,2088680,657159,806274,474668
2021,4,1,in,US,1283389,386679,513572,291014
2021,4,1,ks,US,683179,193184,268166,147421
2021,4,1,ky,US,901996,265050,339296,192590
2021,4,1,la,US,1207332,302066,415013,228638
2021,4,1,ma,US,697651,261346,297286,179937
2021,4,1,mb,CA,29550,20007,29550,20007
2021,4,1,md,US,723705,256100,285147,175763
2021,4,1,me,US,150895,50859,69303,40886
2021,4,1,mi,US,1362475,452813,579604,345171
2021,4,1,mn,US,812002,274188,321865,191966
2021,4,1,mo,US,1490022,409120,545564,308046
2021,4,1,mp,US,10,10,10,10
2021,4,1,ms,US,923200,228369,321256,177526
2021,4,1,mt,US,137137,41866,50015,30107
2021,4,1,nb,CA,6074,3454,6074,3454
2021,4,1,nc,US,2025490,577566,763022,431879
2021,4,1,nd,US,142438,42373,53962,30186
2021,4,1,ne,US,458450,130541,173984,94702
2021,4,1,nh,US,178105,60997,77620,44748
2021,4,1,nj,US,1297205,428595,545384,317111
2021,4,1,nl,CA,4652,2533,4652,2533
2021,4,1,nm,US,240926,83130,87962,53690
2021,4,1,ns,CA,8638,4827,8638,4827
2021,4,1,nt,CA,265,156,265,156
2021,4,1,nu,CA,156,106,156,106
2021,4,1,nv,US,559814,151339,152956,96372
2021,4,1,ny,US,2162170,784913,860725,530031
2021,4,1,oh,US,2029429,640028,820715,474811
2021,4,1,ok,US,1130614,283500,409208,222111
2021,4,1,on,CA,174363,105787,174363,105787
2021,4,1,or,US,528915,174143,195326,123725
2021,4,1,pa,US,1731366,593069,710462,426238
2021,4,1,pe,CA,1179,680,1179,680
2021,4,1,pr,US,8941,6862,5347,4487
2021,4,1,qc,CA,88137,51206,88137,51206
2021,4,1,ri,US,122007,43471,51682,30961
2021,4,1,sc,US,1292448,345436,468352,256795
2021,4,1,sd,US,170110,48884,63082,35278
2021,4,1,sk,CA,20385,13139,20385,13139
2021,4,1,tn,US,1683894,455032,577229,326949
2021,4,1,tx,US,6584735,1699579,2294879,1284800
2021,4,1,ut,US,483404,143749,175586,102263
2021,4,1,va,US,1255134,394271,490339,288387
2021,4,1,vi,US,37,35,0,0
2021,4,1,vt,US,54995,21007,25380,15645
2021,4,1,wa,US,878975,295660,347601,224910
2021,4,1,wi,US,850308,277501,349266,206639
2021,4,1,wv,US,312498,98801,123467,71747
2021,4,1,wy,US,79504,24321,28625,16648
2021,4,1,yt,CA,187,125,187,125
2021,4,2,ALL,"",59609486,15756306,20735343,11888874
2021,4,2,ALL_CA,CA,402618,262502,402618,262502
2021,4,2,ALL_US,US,59206868,15494032,20332725,11626372
2021,4,2,ab,CA,63522,43109,63522,43109
2021,4,2,ak,US,64334,20655,23505,15091
2021,4,2,al,US,1773787,419674,574171,313326
2021,4,2,ar,US,942987,226742,317536,171441
2021,4,2,as,US,13,12,12,11
2021,4,2,az,US,1201210,315933,387841,227513
2021,4,2,bc,CA,50316,33313,50316,33313
2021,4,2,ca,US,4536050,1295908,1588190,967053
2021,4,2,co,US,935291,254218,295937,171089
2021,4,2,ct,US,436248,137441,176190,101979
2021,4,2,dc,US,65545,34024,13376,9037
2021,4,2,de,US,151713,48973,52676,31424
2021,4,2,fl,US,5128553,1244618,1486148,841787
2021,4,2,ga,US,2883368,696376,903191,494813
2021,4,2,gu,US,31,28,25,24
2021,4,2,hi,US,240841,59887,63371,40196
2021,4,2,ia,US,787042,212244,285908,155260
2021,4,2,id,US,275050,76611,99513,56605
2021,4,2,il,US,2175674,629434,793128,455843
2021,4,2,in,US,1361001,376947,492975,275046
2021,4,2,ks,US,708691,187129,259705,139620
2021,4,2,ky,US,980309,265382,331433,184596
2021,4,2,la,US,1088637,285106,375857,209562
2021,4,2,ma,US,726587,241994,287581,168782
2021,4,2,mb,CA,23424,16695,23424,16695
2021,4,2,md,US,756728,243789,276925,167384
2021,4,2,me,US,165210,49126,67952,38735
2021,4,2,mi,US,1412871,428598,562618,325699
2021,4,2,mn,US,827198,257253,308255,181218
2021,4,2,mo,US,1580628,402647,530302,293150
2021,4,2,mp,US,6,5,6,5
2021,4,2,ms,US,926351,223433,303764,166215
2021,4,2,mt,US,138309,39871,47552,28149
2021,4,2,nb,CA,5001,3201,5001,3201
2021,4,2,nc,US,2037432,553129,711442,402618
2021,4,2,nd,US,135119,39374,48607,27215
2021,4,2,ne,US,473215,124392,166247,88807
2021,4,2,nh,US,196591,60723,76923,43293
2021,4,2,nj,US,1312349,403282,519337,298389
2021,4,2,nl,CA,3742,2262,3742,2262
2021,4,2,nm,US,240002,78466,85234,51086
2021,4,2,ns,CA,6908,4499,6908,4499
2021,4,2,nt,CA,224,146,224,146
2021,4,2,nu,CA,101,80,101,80
2021,4,2,nv,US,605178,149234,152173,93146
2021,4,2,ny,US,2187071,728461,835261,504011
2021,4,2,oh,US,2167431,612082,802911,453144
2021,4,2,ok,US,1163980,278552,393512,211177
2021,4,2,on,CA,147683,98665,147683,98665
2021,4,2,or,US,545284,167037,192916,119001
2021,4,2,pa,US,1796469,558171,681506,400053
2021,4,2,pe,CA,1069,668,1069,668
2021,4,2,pr,US,5997,4918,4379,3757
2021,4,2,qc,CA,83476,48558,83476,48558
2021,4,2,ri,US,127320,41688,49150,28566
2021,4,2,sc,US,1352943,342772,440752,240588
2021,4,2,sd,US,165721,46711,57855,32103
2021,4,2,sk,CA,16972,11193,16972,11193
2021,4,2,tn,US,1745346,453232,554032,313237
2021,4,2,tx,US,6594779,1620233,2162865,1207798
2021,4,2,ut,US,489902,135120,168214,95543
2021,4,2,va,US,1329233,383690,471223,273795
2021,4,2,vi,US,27,24,0,0
2021,4,2,vt,US,61002,20523,25041,14865
2021,4,2,wa,US,900476,278501,337854,211192
2021,4,2,wi,US,893668,270253,344079,197940
2021,4,2,wv,US,328933,98913,117254,68271
2021,4,2,wy,US,81137,24431,28315,16131
2021,4,2,yt,CA,180,113,180,113
2021,4,3,ALL,"",57421784,15491338,20602174,11722443
2021,4,3,ALL_CA,CA,415668,256909,415668,256909
2021,4,3,ALL_US,US,57006116,15234551,20186506,11465534
2021,4,3,ab,CA,62598,41510,62598,41510
2021,4,3,ak,US,57846,20558,23262,15239
2021,4,3,al,US,1651323,416925,564349,308585
2021,4,3,ar,US,848273,219940,305822,167335
2021,4,3,as,US,20,17,15,15
2021,4,3,az,US,1161969,310195,387141,224628
2021,4,3,bc,CA,50884,33198,50884,33198
2021,4,3,ca,US,4414397,1277887,1573991,952898
2021,4,3,co,US,904506,248765,297595,170684
2021,4,3,ct,US,453490,136309,180698,100571
2021,4,3,dc,US,64586,30267,13262,8784
2021,4,3,de,US,148531,48092,51878,30529
2021,4,3,fl,US,5047002,1237374,1472948,834222
2021,4,3,ga,US,2657860,666853,844671,467716
2021,4,3,gu,US,22,20,20,18
2021,4,3,hi,US,241474,61024,65148,40447
2021,4,3,ia,US,720790,203983,278941,150086
2021,4,3,id,US,255493,75737,98586,56305
2021,4,3,il,US,2189188,624322,817529,457445
2021,4,3,in,US,1299133,368642,487206,270625
2021,4,3,ks,US,661691,180837,254272,135488
2021,4,3,ky,US,898833,258828,322739,180838
2021,4,3,la,US,1050894,279773,372384,207164
2021,4,3,ma,US,734780,235263,291831,166414
2021,4,3,mb,CA,24156,15679,24156,15679
2021,4,3,md,US,768463,240187,280990,166339
2021,4,3,me,US,162321,48820,67513,38582
2021,4,3,mi,US,1348597,424088,562982,327064
2021,4,3,mn,US,779651,247790,308828,178792
2021,4,3,mo,US,1503274,395301,534083,290925
2021,4,3,mp,US,11,10,11,10
2021,4,3,ms,US,845640,219155,298136,163281
2021,4,3,mt,US,126346,39357,46440,27963
2021,4,3,nb,CA,5620,3161,5620,3161
2021,4,3,nc,US,1954520,542824,700424,393895
2021,4,3,nd,US,120689,37587,46254,26310
2021,4,3,ne,US,432221,120102,162305,86217
2021,4,3,nh,US,200031,61096,76280,42762
2021,4,3,nj,US,1369410,400975,531848,295269
2021,4,3,nl,CA,4066,2187,4066,2187
2021,4,3,nm,US,227251,76427,83643,50339
2021,4,3,ns,CA,7762,4426,7762,4426
2021,4,3,nt,CA,221,141,221,141
2021,4,3,nu,CA,114,78,114,78
2021,4,3,nv,US,606093,149949,154866,93895
2021,4,3,ny,US,2205031,714138,852451,503771
2021,4,3,oh,US,2114075,604222,816541,454965
2021,4,3,ok,US,1073961,272520,382624,205960
2021,4,3,on,CA,160343,97603,160343,97603
2021,4,3,or,US,529131,165233,192164,117763
2021,4,3,pa,US,1785427,548315,696006,399001
2021,4,3,pe,CA,1140,639,1140,639
2021,4,3,pr,US,7581,5718,4785,4018
2021,4,3,qc,CA,81816,47482,81816,47482
2021,4,3,ri,US,129422,41375,49796,28180
2021,4,3,sc,US,1283471,336137,419327,231012
2021,4,3,sd,US,147871,44775,56823,31332
2021,4,3,sk,CA,16761,10693,16761,10693
2021,4,3,tn,US,1703107,449252,564941,313585
2021,4,3,tx,US,6231196,1584739,2116648,1182302
2021,4,3,ut,US,451936,131541,163282,93337
2021,4,3,va,US,1295741,375381,465766,268883
2021,4,3,vi,US,29,27,0,0
2021,4,3,vt,US,58793,20034,25066,14776
2021,4,3,wa,US,849569,272002,328145,205882
2021,4,3,wi,US,850900,268230,348122,198685
2021,4,3,wv,US,308863,96330,117332,68174
2021,4,3,wy,US,73393,24302,27796,16237
2021,4,3,yt,CA,187,112,187,112
2021,4,4,ALL,"",41609941,14809148,19994222,12000734
2021,4,4,ALL_CA,CA,387632,258184,387632,258184
2021,4,4,ALL_US,US,41222309,14551049,19606590,11742550
2021,4,4,ab,CA,58106,41090,58106,41090
2021,4,4,ak,US,41645,19296,21642,14986
2021,4,4,al,US,1170632,395776,584779,323702
2021,4,4,ar,US,633565,213984,320822,176000
2021,4,4,as,US,10,10,10,10
2021,4,4,az,US,832488,296380,358438,228383
2021,4,4,bc,CA,49530,33035,49530,33035
2021,4,4,ca,US,3372625,1219786,1467147,954527
2021,4,4,co,US,647821,236249,278156,174526
2021,4,4,ct,US,289770,126248,159688,99793
2021,4,4,dc,US,45324,21733,6118,5029
2021,4,4,de,US,97063,42307,48346,30463
2021,4,4,fl,US,3701875,1164907,1418048,846535
2021,4,4,ga,US,1854593,610189,826665,470988
2021,4,4,gu,US,23,23,22,22
2021,4,4,hi,US,190007,57359,60745,40161
2021,4,4,ia,US,525704,197206,279583,158227
2021,4,4,id,US,173011,72273,90577,58078
2021,4,4,il,US,1592814,598774,783622,468179
2021,4,4,in,US,946798,350210,490442,278935
2021,4,4,ks,US,479159,174259,249681,141692
2021,4,4,ky,US,659823,240015,328664,185646
2021,4,4,la,US,771675,271120,374219,215092
2021,4,4,ma,US,492934,216713,263646,165153
2021,4,4,mb,CA,21920,14866,21920,14866
2021,4,4,md,US,555828,225173,269785,168805
2021,4,4,me,US,97525,45774,61495,38858
2021,4,4,mi,US,979655,406201,552372,336870
2021,4,4,mn,US,564354,239490,303473,187847
2021,4,4,mo,US,1070954,379621,531396,305063
2021,4,4,mp,US,13,12,13,12
2021,4,4,ms,US,624998,211921,311825,170884
2021,4,4,mt,US,91776,38710,45460,29507
2021,4,4,nb,CA,5107,3312,5107,3312
2021,4,4,nc,US,1439360,513954,702483,405218
2021,4,4,nd,US,87155,36998,46608,28469
2021,4,4,ne,US,309649,115424,158819,90791
2021,4,4,nh,US,120736,54403,69475,43201
2021,4,4,nj,US,909972,372102,469558,291862
2021,4,4,nl,CA,3998,2351,3998,2351
2021,4,4,nm,US,169645,71735,80319,51549
2021,4,4,ns,CA,6745,4517,6745,4517
2021,4,4,nt,CA,240,156,240,156
2021,4,4,nu,CA,94,69,94,69
2021,4,4,nv,US,472672,142353,146355,94396
2021,4,4,ny,US,1611884,669524,791818,503346
2021,4,4,oh,US,1473404,571619,794362,464629
2021,4,4,ok,US,793369,265978,388496,216465
2021,4,4,on,CA,150319,99602,150319,99602
2021,4,4,or,US,395634,156609,181171,118964
2021,4,4,pa,US,1210852,514969,652265,404372
2021,4,4,pe,CA,988,663,988,663
2021,4,4,pr,US,6849,5484,4962,4203
2021,4,4,qc,CA,74951,47795,74951,47795
2021,4,4,ri,US,88401,37996,45222,27805
2021,4,4,sc,US,930289,315616,414953,234358
2021,4,4,sd,US,113248,43795,58074,33648
2021,4,4,sk,CA,15476,10613,15476,10613
2021,4,4,tn,US,1233569,422940,579685,327153
2021,4,4,tx,US,4521144,1530224,2114533,1244415
2021,4,4,ut,US,291197,124365,143551,96310
2021,4,4,va,US,954816,352564,456610,271802
2021,4,4,vi,US,29,25,0,0
2021,4,4,vt,US,39906,18389,23281,14696
2021,4,4,wa,US,624551,255598,302203,203600
2021,4,4,wi,US,644021,263490,348901,209998
2021,4,4,wv,US,219615,89284,118474,69920
2021,4,4,wy,US,55880,23927,27533,17417
2021,4,4,yt,CA,158,115,158,115
2021,4,5,ALL,"",54318895,15687560,21432327,12416052
2021,4,5,ALL_CA,CA,399700,249066,399700,249066
2021,4,5,ALL_US,US,53919195,15438673,21032627,12166986
2021,4,5,ab,CA,60648,40214,60648,40214
2021,4,5,ak,US,58355,20803,23065,15561
2021,4,5,al,US,1618493,413669,601303,330153
2021,4,5,ar,US,853544,223860,329197,179727
