origin,id,prob
"421010149003",7,0.816362807131717
"421010149003",9,-0.00345288382035502
"421010149003",194,1.4597802150308
"421010149003",220,0.823564003221628
"421010149003",251,-0.00110301075557553
"421010362021",7,-7.94011815614318
"421010362021",9,-7.93921800985152
"421010277005",7,-1.89580273331382
"421010277005",9,-0.943068608467294
"421010204002",7,-0.913001585575255
"421010204002",9,-0.914457810940522
"421010204002",360,-3.84349756773178
"421010205002",7,-2.60666630583965
"421010205002",9,-1.32066984227147
"421010205002",249,-3.40418715045322
"421010205002",251,-1.31925901881459
"421010205002",278,-9.19935800476652
"421010209004",9,-1.1913089203073
"421010209004",104,-1.19124671272242
"421010209004",336,-1.1909119015619
"421010210001",7,-5.71589068976886
"421010210001",9,-2.0027067340641
"421010213005",7,-0.992738370494552
"421010213005",9,-0.983210189579214
"421010215004",7,-5.51167099051799
"421010215004",9,-1.35887663510733
"421010215004",104,-5.51207732313054
"421010215004",220,-5.51239534411105
"421010215001",7,-1.67887684036399
"421010215001",9,-1.67721385809403
"421010215001",251,-2.04065523564253
"421010216001",7,-2.16621436833847
"421010216001",9,-1.37596637864753
"421010216001",251,-5.07806115892143
"421010217002",7,-1.85763491991743
"421010217002",9,-2.70482925116393
"421010217002",104,-9.63060006857834
"421010217002",251,-1.85845514857146
"421010388001",9,-0.126945980153035
"421010063003",7,-1.48508522917109
"421010063003",9,-0.00472540395551604
"421010237001",7,-0.425287038086557
"421010237001",9,0.374083107356657
"421010237001",104,-0.425527991955122
"421010237001",220,-1.60530241939487
"421010237001",225,-1.60622969692506
"421010237001",251,-1.60521731256578
"421010239001",7,-2.28003558214767
"421010239001",9,-1.67763609139246
"421010272003",7,-4.1236598792425
"421010272003",9,-1.62904496061868
"421010272003",104,-4.123711076553
"421010272003",140,-4.12375021180461
"421010272003",251,-4.12373306342937
"421010272003",302,-4.12375722887651
"421010274012",7,-0.865968832085972
"421010274012",9,0.000918302479860793
"421010274012",360,-0.867936497667886
"421010274024",7,-1.08719002113525
"421010274024",9,-1.89763046360832
"421010274024",220,-2.64809899208533
"421010137003",7,0.00209099906626826
"421010137003",9,0.00104981248226971
"421010137003",194,0.63511436020212
"421010137003",251,0.000335358650776115
"421010122031",7,-0.693147180559943
"421010122031",9,-7.51497797972218e-020
"421010140002",7,1.32118271535354
"421010140002",9,1.32057239398835
"421010140002",220,1.31989930832527
"421010140002",251,0.000196580087292702
"421010140002",302,0.531004153664305
"421010140002",360,0.531054505710117
"421010144002",7,-1.86979880541074
"421010144002",9,-1.86854888263443
"421010144002",220,-3.50052559411932
"421010144002",251,-1.86769119571228
"421010149001",9,-0.000700422972764306
"421010149001",194,0.000190990707560411
"421010149001",220,6.56832320499839e-005
"421010149001",251,-0.000223747485466157
"421010149001",337,-0.929865031923712
"421010151021",7,1.22724996300102
"421010151021",9,-0.000386850521226909
"421010151021",194,-0.69657599048176
"421010151021",220,-0.696645199037304
"421010151021",249,-0.696647544436834
"421010151021",251,1.22789690749948
"421010151021",360,-0.163710742841525
"421010152003",7,0.000520361796672946
"421010152003",9,0.000261254210131469
"421010152003",194,-1.1652281580276
"421010152003",225,-1.86576819599805
"421010152003",248,-1.86462902628207
"421010152003",251,8.3456675262468e-005
"421010160002",7,-0.732451360319344
"421010160002",9,-1.7902004772392
"421010274025",7,-1.65667840150936
"421010274025",9,-0.420309087938848
"421010275004",7,-1.01128187060699
"421010275004",9,-1.0161998125651
"421010275004",194,-4.44439871937419
"421010104001",7,-0.00131722747761032
"421010104001",9,-2.3711472204537
"421010276003",7,-1.48332036381335
"421010276003",9,-1.48308738775958
"421010276003",248,-1.48279712872049
"421010277001",7,-4.54009669645546
"421010277001",9,-1.9389600603911
"421010279013",7,-1.66347032583481
"421010279013",9,-1.66474237994157
"421010280002",7,-0.810988567185001
"421010280002",9,-1.65122085248543
"421010280002",251,-1.64467703982106
"421010282001",7,-0.89293823165805
"421010282001",9,-0.89217154075822
"421010282001",225,-3.43516556778841
"421010282001",251,-3.43896543774335
"421010282001",352,-3.43871425775676
"421010283006",7,-4.23559859825704
"421010283006",9,-0.981643109591772
"421010289023",7,-3.188511361346
"421010289023",9,-1.80791572185091
"421010289023",337,-3.19571803359249
"421010289022",7,-3.67153608863056
"421010290001",7,-2.5685232201724
"421010290001",9,-2.5669647105636
"421010338002",7,-12.4147069058472
"421010338002",251,-4.93039231628733
"421010338005",7,-1.77688428709857
"421010338005",9,-4.26609276993574
"421010339002",7,-8.1064932901213
"421010339002",9,-8.10495615011965
"421010339002",140,-3.26894932249263
"421010341004",9,-3.85685564312467
"421010341004",140,-3.85811126497417
"421010344002",9,-2.71885879658407
"421010344002",251,-6.08397841420648
"421010344001",9,-4.24566034527763
"421010344001",337,-4.24738627743078
"421010347012",7,-11.1503446510299
"421010347012",9,-3.06432775606874
"421010347012",220,-4.46478053432214
"421010347012",225,-4.47367198803583
"421010347012",361,-4.46468170496981
"421010347012",504,-11.1544090516945
"421010067005",7,-2.17666294977525
"421010067005",9,-1.53399517196555
"421010067005",322,-5.04849368598905
"421010240001",7,-2.64407026288521
"421010240001",9,-0.000491160104861235
"421010240001",248,-3.48972769430813
"421010240001",331,-2.64306708231326
"421010240001",337,-2.64319115919227
"421010078001",9,-1.4988174426261
"421010242001",7,-3.10713705092243
"421010242001",9,-1.39669883521261
"421010242001",140,-3.10859685164892
"421010242001",225,-3.11179595418446
"421010243004",7,-2.78785489035027
"421010243004",9,-0.000259325889164286
"421010263011",7,-1.24710241779817
"421010263011",9,-1.25217470420119
"421010263011",249,-1.25773760790997
"421010247002",7,1.3636167462977
"421010247002",9,0.000396106058349943
"421010247002",251,0.617723793202189
"421010247001",9,0.00385205791585532
"421010247001",251,-0.771245370221304
"421010247005",7,-3.28865831518052
"421010247005",9,-0.555028007763037
"421010247005",220,-3.29245726201419
"421010160007",7,-0.999053885141629
"421010160007",9,0.00331677487937151
"421010161004",7,-4.78012182496931
"421010161004",9,-1.17877892802953
"421010163001",7,-1.66420922112168
"421010163001",9,-0.855891109649134
"421010095003",7,-1.20486201820157
"421010095003",9,0.00419292482160196
