OBJECTID,area,facilityNum,facilityArea,trailMiles,picnicTable,swimmingPoolNum,spraygroundNum,hydrationNum,tennisCourtNum,playgroundNum,treeHeight,programNum,permitNum,programCap,permitCap
"197",4.55414218,2,1707.4296875,0,0,1,1,0,0,2,33.3333333333333,4,22,4,263
"198",9.55695271,2,690.484375,0,0,0,1,1,3,2,0,0,0,0,0
"199",4.32379072,2,570.5625,0,4,1,1,1,0,2,0,0,17,0,225
"200",4.29406803,1,550.7890625,0,0,0,0,1,3,2,38,0,10,0,114
"201",4.17187934,1,17.44140625,0,3,0,1,0,0,2,20.5,0,4,0,15
"202",4.01471298,2,1826.60546875,0,0,0,0,1,0,2,0,0,64,0,350
"203",4.12413095,1,27.79296875,0,0,0,0,0,0,1,36,0,0,0,0
"204",4.11151702,1,690.546875,0,6,0,1,0,0,2,35,0,60,0,433
"205",4.09197487,6,778.72265625,0,0,0,1,1,0,2,0,0,0,0,0
"206",4.10767749,2,2090.375,0,0,1,0,1,0,2,0,0,12,0,317
"207",4.06202346,1,651.41796875,0,9,0,1,0,0,2,40,411,51,237.322619047619,718
"208",4.07980012,1,1286.921875,0,0,0,0,1,0,3,0,8,24,22.3333333333333,179
"210",4.02028992,3,448.88671875,0,0,0,0,0,0,0,35,0,1,0,10
"211",4.01253216,10,1095.9140625,0,0,1,0,0,14,2,0,68,26,80.6666666666667,675
"212",3.89356158,1,223.5078125,0,0,0,0,0,0,2,16,0,0,0,0
"213",3.85387392,2,586.265625,0,0,0,1,1,0,2,0,0,6,0,65
"214",3.74314936,2,503.765625,0,2,0,1,0,1,2,0,140,16,8,70
"215",3.89753023,2,2200.41015625,0,0,0,1,0,0,2,9,0,15,0,700
"216",3.73850107,3,214.015625,0,0,1,0,0,0,1,17,0,36,0,355
"217",3.69440024,1,413.41796875,0,4,0,0,0,0,2,0,0,0,0,0
"218",3.67814457,2,1556.67578125,0,0,0,0,1,0,2,0,0,18,0,150
"219",3.67858288,2,3514.86328125,0,0,0,1,1,0,2,0,112,34,56,793
"220",3.6815697,1,792.8828125,0,0,1,1,1,0,2,14,0,13,0,70
"221",3.59833677,0,0,0,0,0,0,0,0,2,36,0,0,0,0
"223",3.52110521,1,54.46875,0,0,0,0,0,0,2,25.5,0,0,0,0
"224",2.99198737,2,296.390625,0,0,0,0,1,0,2,0,0,0,0,0
"225",3.36089002,5,4007.140625,0,0,1,0,1,0,2,28,282,18,309.826923076923,302
"226",3.33034365,1,332.4921875,0,3,0,0,0,0,2,32,0,12,0,41
"227",3.33070015,1,1346.38671875,0,3,0,1,0,0,2,40,0,13,0,113
"228",3.27937959,3,2864.8125,0,0,1,0,1,0,2,23.5714285714286,0,0,0,0
"229",3.221015,1,2103.23828125,0,0,0,0,0,0,2,0,32,70,28,448
"230",3.15489273,3,2305.40625,0,0,1,0,1,3,2,0,33,8,104.333333333333,130
"231",3.12816978,0,0,0,0,0,0,0,0,0,36,0,3,0,58
"232",3.08132762,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"233",3.12067264,2,52.65234375,0,0,0,0,0,0,0,0,0,7,0,85
"234",3.05209218,1,577.02734375,0,0,0,0,0,0,2,27,88,14,91,135
"235",3.09859027,1,259.90234375,0,7,1,0,0,0,2,35.3333333333333,0,2,0,100
"236",2.9961268,0,0,0,0,0,0,0,0,0,47,0,0,0,0
"237",2.98769604,1,892.67578125,0,0,0,1,1,0,2,0,186,6,166.136111111111,60
"238",46.0077036,6,1290.51171875,2270.97242969892,6,0,0,1,0,2,28.3636363636364,0,1,0,10
"239",2.90762604,1,1408.00390625,0,0,1,0,0,0,2,33,20,16,12.8888888888889,91
"240",2.86246211,1,143.76953125,0,0,0,0,0,0,2,11,0,0,0,0
"241",2.85421964,1,387.109375,0,0,0,1,1,0,2,32,0,7,0,75
"242",2.79854277,3,429.94921875,0,2,0,0,1,0,2,0,0,1,0,90
"243",2.80201273,1,272.26953125,0,0,0,0,0,0,2,0,0,22,0,507
"244",2.77317159,0,0,0,0,0,0,0,0,2,37,0,0,0,0
"245",2.61362707,1,33.7421875,0,8,0,0,0,0,0,38,0,0,0,0
"246",2.62730266,2,588.01953125,0,0,0,1,0,0,2,0,0,18,0,220
"247",2.60299987,1,365.98828125,0,0,0,0,0,0,2,33,0,13,0,55
"248",2.61972754,2,301.62890625,0,2,0,0,0,0,2,0,0,0,0,0
"249",2.53457803,3,380.23828125,0,5,0,1,1,0,2,0,0,5,0,35
"251",2.54274811,2,563.05859375,0,1,0,1,1,0,2,0,0,38,0,115
"252",2.51536334,2,2284.96484375,0,0,0,0,0,0,0,0,0,0,0,0
"253",2.15206035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",2.45650337,1,273.79296875,0,0,0,1,0,0,2,0,0,9,0,108
"255",2.46356186,3,112.0625,0,0,0,0,0,0,0,12.3333333333333,0,8,0,345
"256",2.43285843,1,1593.94921875,0,0,1,0,0,0,2,22.6666666666667,0,2,0,7
"257",2.41678763,1,329.9609375,0,0,0,0,1,0,2,18,15,0,4,0
"259",2.33737423,2,351.80078125,0,0,0,0,0,0,2,21,0,12,0,305
"260",2.16683947,1,565.0078125,0,2,0,1,1,0,2,0,0,18,0,211
"262",2.04682161,2,3270.40625,0,5,0,1,1,0,2,0,0,88,0,989
"263",2.07138192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",1.87522481,5,2055.78125,0,0,0,0,1,0,0,0,0,0,0,0
"266",2.01667123,1,29.3828125,0,0,0,0,0,0,2,0,0,0,0,0
"267",1.99072817,1,5970.41015625,0,0,0,1,1,0,1,0,29,16,256,464
"268",1.9573853,2,806.609375,0,0,1,0,1,3,2,31,0,8,0,290
"269",1.91129728,1,227.93359375,0,0,0,1,1,3,2,31,0,8,0,84
"270",1.87150518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",1.6819157,2,1645.30859375,0,0,0,1,0,0,0,0,0,124,0,1159
"272",1.78341482,2,333.5234375,0,5,1,0,1,0,2,14.75,0,30,0,92
"273",1.60589254,1,2519.3125,0,0,0,0,1,0,2,0,47,14,29.6666666666667,328
"276",1.6474484,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"278",1.47978435,2,142.625,0,0,1,1,0,0,2,0,0,1,0,40
"279",1.4519721,1,1442.74609375,0,0,0,0,1,0,2,13,0,17,0,135
"280",1.41981633,2,3249.3125,0,5,0,1,1,0,2,40.5,93,7,229.508333333333,48
"281",1.43815356,2,1167.3515625,0,2,0,1,0,0,2,10,0,16,0,310
"282",1.44120337,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"284",1.38300017,1,388.3515625,0,0,0,1,1,0,2,0,0,1,0,40
"286",1.975853,1,4033.84765625,0,0,0,0,0,0,0,0,7,4,301,30
"290",1.19523244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",1.11985359,1,350.36328125,0,5,0,1,1,0,1,0,0,0,0,0
"292",1.10659092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",1.06783619,1,181.90234375,0,0,0,0,0,0,2,14.5,0,0,0,0
"294",1.0356371,0,0,0,0,0,0,0,0,2,0,0,1,0,50
"295",1.0108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296",1.02238306,1,1477.79296875,0,4,0,0,0,0,2,0,0,7,0,77
"298",1.01607809,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"299",1.01550473,1,55.515625,0,6,0,0,0,0,1,49,0,0,0,0
"300",0.86936574,1,4321.00390625,0,0,0,0,0,0,0,0,0,0,0,0
"302",0.94685551,1,74.0859375,0,0,0,1,0,0,2,0,0,0,0,0
"303",0.88560537,1,98.4921875,0,2,0,0,0,0,2,0,0,0,0,0
"305",0.91624538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306",0.89804708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"307",0.8829424,1,11.390625,0,2,0,0,0,0,2,16,0,2,0,30
"308",0.874577,0,0,0,0,0,0,0,0,0,0,0,3,0,100
"309",0.81926792,1,2511.23046875,0,0,0,0,0,0,0,0,46,15,83,406
"310",0.84238024,1,56.30078125,0,0,0,1,1,0,2,0,0,0,0,0
"312",1.03773954,2,248.25,0,0,0,0,0,0,2,0,0,0,0,0
"314",0.7863159,0,0,0,0,0,0,0,0,2,15,0,8,0,30
"316",0.80820088,0,0,0,0,0,0,0,0,0,0,0,2,0,100
"317",0.79992323,2,986.75,0,0,1,0,0,0,2,0,0,1,0,10
"319",0.75911097,3,214.9453125,0,0,0,1,0,0,2,0,0,11,0,21
"320",0.72494786,1,579.296875,0,5,0,1,1,0,2,0,0,7,0,335
"321",0.72068312,1,315.64453125,0,0,0,1,1,0,2,12,0,0,0,0
"322",0.72002673,1,15.875,0,0,0,0,0,0,0,0,0,3,0,10
"323",1.10142493,1,632.78125,0,0,0,0,1,0,2,0,0,0,0,0
"324",0.65747867,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"325",0.65680114,1,94.734375,0,0,0,0,0,0,2,22.5,0,0,0,0
"326",0.62875915,1,495.63671875,0,0,0,1,1,0,2,0,0,3,0,50
"327",0.61297534,1,587.05078125,0,0,0,0,1,0,2,0,0,13,0,198
"329",0.60877138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",0.58517161,0,0,0,0,0,0,0,3,0,16,0,0,0,0
"331",0.59067472,1,297.23046875,0,4,0,0,1,0,2,0,0,4,0,109
"332",0.56397442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333",0.56109426,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"336",0.47816674,0,0,0,2,0,0,0,0,2,0,0,7,0,35
"337",0.5490589,1,2458.39453125,0,0,0,0,1,0,1,0,0,10,0,242
"338",0.48635301,1,48.82421875,0,0,0,0,0,0,2,12.5,0,0,0,0
"340",3.17209787,1,2018.30859375,0,0,0,0,0,0,0,0,0,8,0,130
"343",0.42003749,0,0,0,0,0,0,0,0,1,17.5,0,0,0,0
"344",0.41942457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347",0.39599126,1,51.265625,0,0,0,1,0,0,1,0,0,0,0,0
"349",0.39455089,0,0,0,4,0,1,0,0,0,11,0,0,0,0
"351",0.36659651,2,273.9296875,0,0,1,0,0,0,2,0,0,0,0,0
"352",0.37364646,2,161.19140625,0,0,1,0,0,0,0,0,0,0,0,0
"358",0.3088643,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"359",0.2925789,1,31.61328125,0,0,0,1,0,0,0,10,0,0,0,0
"360",0.38469129,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"361",0.28605084,0,0,0,0,0,0,0,0,0,0,0,1,0,20
"362",0.2854354,0,0,0,0,0,0,0,0,1,0,0,3,0,80
"364",0.2288807,1,1224.58984375,0,0,0,0,0,0,0,0,0,0,0,0
"372",0.20059611,1,51.74609375,0,0,0,0,0,0,1,0,0,0,0,0
"373",0.20163431,0,0,0,2,0,0,0,0,0,33,0,2,0,18
"388",1.93025181,0,0,0,0,0,0,0,0,0,14.7777777777778,0,0,0,0
"395",0.35155453,0,0,0,0,0,0,0,0,0,0,0,4,0,15
"417",3.69149134,1,1647.08984375,0,5,0,1,1,0,2,27,0,13,0,535
"420",9.15488446,3,3373.30859375,0,1,1,0,1,3,2,0,0,24,0,455
"421",4.11996987,0,0,0,5,0,1,0,0,2,0,0,7,0,175
"425",0.65472838,1,1748.9375,0,0,1,1,1,0,1,24,0,36,0,372
"434",39.23597174,1,2026.8984375,0,0,0,2,1,5,2,23,0,33,0,390
"436",1.23247944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441",187.00909787,2,146.5078125,2772.43206873509,0,0,0,0,0,0,41.4181818181818,0,0,0,0
"450",743.8155607,20,13963.40625,13519.0823776854,64,1,0,2,9,9,44.0128205128205,0,0,0,0
"451",9.59475417,3,3908.6015625,0,3,1,0,1,0,2,38,0,18,0,331
"452",67.92192415,9,4138.40234375,918.813350041378,27,0,0,1,0,2,43.9090909090909,0,14,0,50
"460",30.81548942,2,2125.55078125,0,0,0,0,0,0,0,0,0,0,0,0
"468",0.23280938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",2.05984146,0,0,0,0,0,0,0,0,0,0,0,11,0,150
"498",5.25372097,2,4513.58203125,0,5,1,1,0,0,2,0,83,44,153,473
"504",0.28240523,1,5.6953125,0,0,0,0,0,0,0,0,0,0,0,0
"506",1.01672491,1,1132.12890625,0,4,0,0,0,0,2,0,0,10,0,44
"507",9.21699273,0,0,286.843620926128,0,0,0,0,0,0,24,0,0,0,0
"509",0.9728607,0,0,0,0,0,0,0,0,2,30,0,0,0,0
"511",2.84344381,1,7.703125,0,0,0,0,0,0,1,23,0,0,0,0
"512",5.61479854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
