OBJECTID,parkLat,parkLng
"6"," 40.0521811673914","-75.2135152090502"
"7"," 39.9890407934341","-75.2077786498131"
"8"," 40.0675880183357","-75.0470601634373"
"9"," 39.9842242765973","-75.1922146734201"
"10"," 40.0262723216065","-75.107873990179"
"11"," 39.9020836367938","-75.1840816082513"
"12"," 40.0168351184186","-75.1436686324229"
"13"," 40.0536375324304","-75.1631730575075"
"14"," 40.0433523593558","-75.1317426045283"
"15"," 39.9053499774951","-75.2513613566494"
"33"," 39.9995451259993","-75.1306172644488"
"38"," 39.9635360157741","-75.1549122327873"
"61"," 40.0306015612505","-75.0104725834784"
"62"," 40.09069638538","-75.0745555390224"
"63"," 39.9789391716729","-75.2591568059029"
"68"," 40.0546688588864","-74.9898148409622"
"71"," 40.0345178619913","-75.1557327102773"
"74"," 39.9320140603579","-75.2113440227156"
"75"," 40.0244418656176","-75.0685637155212"
"76"," 40.0186369212905","-75.1686523958204"
"77"," 40.0562705754079","-75.2401194504994"
"78"," 40.0344037652469","-75.2376693047484"
"81"," 40.0215090311236","-75.0434308969081"
"83"," 40.1036760633035","-74.9692288469197"
"84"," 40.097977678834","-74.9900439802509"
"85"," 39.9991081330799","-75.1795630772606"
"87"," 40.0360050172004","-75.2223940837526"
"88"," 39.9154768468753","-75.1713651533117"
"90"," 39.9148297896489","-75.2314688833616"
"91"," 40.0467264421887","-75.1018775459459"
"92"," 40.0709848121887","-75.2050223218938"
"93"," 40.0291984849722","-75.0495779204108"
"94"," 40.0187169453236","-75.0535724655312"
"95"," 40.051239164418","-75.0022163114858"
"96"," 40.0731225665714","-75.0810922001752"
"97"," 40.0590300660321","-74.997979166825"
"98"," 40.0608699690244","-75.1581462943531"
"99"," 40.0425509443393","-75.1168878955959"
"100"," 40.0330320940512","-75.1503199382302"
"101"," 40.0300616722118","-75.0331873004533"
"102"," 40.0383013037743","-75.0702525078558"
"103"," 40.0805833363183","-74.9738334463493"
"104"," 40.0126024126953","-75.2027660910232"
"105"," 39.9477663547233","-75.2097916005157"
"106"," 40.1006456345553","-75.0329921825547"
"107"," 40.0140715814157","-75.0756338392985"
"108"," 39.9062583925546","-75.2371535722987"
"109"," 40.0113548788235","-75.0743198111029"
"110"," 40.0614108639102","-75.050286015627"
"113"," 40.0558448754702","-75.0768344836306"
"114"," 40.1227116350419","-75.0073967377582"
"115"," 40.0246476428547","-75.1527972227664"
"116"," 40.0563995707292","-75.010212836072"
"118"," 40.0754836932738","-75.2010467113273"
"119"," 40.0473404162846","-75.0248551436194"
"120"," 39.8970538030583","-75.2488031102671"
"121"," 40.0799474604189","-74.9897856934923"
"122"," 39.9944378879832","-75.1657685115129"
"123"," 40.0484150376184","-75.0042796548471"
"124"," 40.0409566645567","-75.0825309500659"
"126"," 40.0290538128853","-75.0938124511406"
"128"," 40.0357523885362","-75.1766297939884"
"129"," 39.9669945582695","-75.2346669877123"
"130"," 39.9661372737006","-75.1286035338954"
"131"," 40.0205240021138","-75.1455024307326"
"132"," 40.0288249163211","-75.2117688848185"
"133"," 40.0399775791206","-75.1496780154282"
"134"," 39.9992218094499","-75.0675963676215"
"135"," 40.0501144988082","-75.0540243374269"
"137"," 39.9345491337273","-75.2288366921627"
"139"," 39.9253770954283","-75.187326853603"
"140"," 39.9494787819012","-75.1718876613845"
"142"," 40.0257063675454","-75.161012635965"
"143"," 39.9137485659778","-75.2377350910204"
"144"," 40.0089049254028","-75.1865832462701"
"145"," 39.9470346276256","-75.1523076315497"
"146"," 40.0341787071381","-75.1188144886432"
"147"," 39.9556724187758","-75.1503954081622"
"148"," 40.0678515131083","-74.9912410427153"
"149"," 40.0648510128906","-75.1696182392698"
"151"," 39.982689159279","-75.1346935463221"
"152"," 40.1151099902774","-75.0250198759596"
"153"," 39.9948036850492","-75.1188656854411"
"154"," 40.0505854735772","-75.1468446243396"
"155"," 39.9999753319638","-75.1217437518882"
"156"," 39.9526559073307","-75.2253862064644"
