origin,MAE,MAPE
"421010001001",0.0222790537040664,0.44951267179381
"421010001002",0.0127969479965704,0.255938959931408
"421010002001",0.00578111841931512,0.190776907837399
"421010003001",0.0259816766308987,0.399981074449361
"421010003002",0.0294163523955859,0.705992457494061
"421010004011",0.0286357762951517,0.629987078493337
"421010004022",0.00559315736037632,0.285251025379192
"421010005001",0.00493655945471118,0.315939805101516
"421010006001",0.0337201984380331,1.18020694533116
"421010007002",0.0243013461479936,0.996355192067739
"421010007003",0.00926477075379353,0.194560185829664
"421010008011",0.207720259428456,3.42738428056952
"421010008041",0.0395060347396449,1.18518104218935
"421010008043",0.0175302816225344,0.525908448676032
"421010009021",0.0608288770053476,2.02222222222222
"421010009022",0.0269079330069093,0.591974526152005
"421010010011",0.121863799283154,2.72
"421010010012",0.0525316455696203,1.10666666666667
"421010010021",0.00645911849191997,0.200232673249519
"421010010022",0.0456811197195211,0.660619269789998
"421010010023",0.0213585216325674,0.854340865302696
"421010011011",0.0716392912653478,0.573114330122782
"421010011012",0.0297766749379653,0.631578947368421
"421010011013",0.0128362327680318,0.462104379649145
"421010011021",0.0222522359037481,0.422792482171214
"421010011022",0.0588620013080445,1.83673469387755
"421010012011",0.0501153286264306,0.76188844195587
"421010012012",0.0971893879695298,0.874704491725768
"421010012013",0.0394709294068195,1.08080691993379
"421010012014",0.218399619488177,4.03199297516634
"421010012021",0.0207827829800245,0.478004008540562
"421010012022",0.204545454545455,4.5
"421010012024",0.0846801224009121,0.757664253060792
"421010012025",0.0475371949003514,0.660516813352251
"421010013001",0.016663773235992,0.299947918247857
"421010013002",0.162393162393162,4.31818181818182
"421010013003",0.0166163952912096,0.348944301115402
"421010013004",0.0811965811965812,0.527777777777778
"421010013005",0.0247701829071485,1.18896877954313
"421010014001",0.0131301314319326,0.393903942957979
"421010014002",0.0344450444505036,0.482230622307051
"421010014003",0.0146869064949901,0.308425036394792
"421010015001",0.0223122935248626,0.423933576972389
"421010015002",0.0237101862096498,0.995827820805294
"421010016001",0.00994986291171604,0.388044653556925
"421010016002",0.0280749760214744,0.617649472472436
"421010017001",0.00868401011984612,0.182364212516769
"421010017002",0.0215079585102686,0.516191004246445
"421010018001",0.0957640289953914,1.69044329444039
"421010018002",0.0211113235012204,1.09778882206346
"421010019001",0.0839402038933041,1.76274428175939
"421010019002",0.0162776941878503,0.423220048884108
"421010019003",0.0111016658981413,0.277541647453532
"421010020001",0.045795300605558,1.37385901816674
"421010020002",0.0372095445577866,0.973919383642937
"421010021001",0.0266542646833858,0.506431028984329
"421010021002",0.0341008233643468,1.19352881775214
"421010022001",0.0475409836065574,0.90625
"421010022002",0.01258073770727,0.27677622955994
"421010022003",0.0382710057312681,1.22467218340058
"421010023001",0.011037579904158,0.264901917699793
"421010023002",0.0105261743789548,0.452625498295055
"421010024001",0.0311964918093952,0.788121898342614
"421010024002",0.0462226659567848,1.20178931487641
"421010024003",0.0456583774969425,1.00900900900901
"421010024004",0.00482895817040422,0.140039786941723
"421010024005",0.0191566454033394,0.555542716696842
"421010025001",0.0715665212111126,1.27842524637361
"421010025002",0.0194403649637268,0.486009124093169
"421010025003",0.0574050906902839,0.861076360354259
"421010025004",0.01142243837777,0.468319973488572
"421010027011",0.00612373631598703,0.189835825795598
"421010027012",0.02041566528739,0.530259225920801
"421010027013",0.0406285480798466,1.38137063471478
"421010027021",0.021499205448475,0.902966628835948
"421010027022",0.0113551697902101,0.272524074965042
"421010027023",0.0539772727272727,1.46153846153846
"421010027024",0.0181499278384559,0.598947618669045
"421010028011",0.0208382654749593,0.488879756311404
"421010028012",0.0361047440843979,0.974828090278744
"421010028013",0.032798598770688,1.21354815451546
"421010028021",0.00797089011366764,0.239126703410029
"421010028022",0.0363790128523912,1.20050742412891
"421010028023",0.0510129708393079,1.71833164932406
"421010028024",0.0204815860226017,0.450594892497237
"421010028025",0.0149820489024885,0.419497369269677
"421010029001",0.0118091483669079,0.531411676510854
"421010029002",0.0161853301071351,0.437003912892647
"421010029003",0.0105036662406838,0.3886356509053
"421010030011",0.104477611940299,5.09090909090909
"421010030013",0.0225157928740692,0.990694886459043
"421010030014",0.0712574850299401,2.47916666666667
"421010030015",0.0531544957774466,1.40789473684211
"421010030021",0.0229236287735666,0.618937976886297
"421010030022",0.0114474348696341,0.263291002001584
"421010030023",0.0398748192149034,0.785681623049207
"421010030024",0.0158042340567168,0.474127021701503
