"","origin","beta","theta","r2","alpha1","alpha2","alpha3","alpha4","alpha5"
"1","421010202004",-0.271141505318943,0.0073022679408358,0.0755864714775383,-0.0257978804806836,-0.181693530365143,-0.602757354770504,0.00869349636565865,-0.1020221427423
"2","421010201024",-0.543515222696901,0.298761990186183,0.102047196864579,-0.229061316510749,0.773219918466656,-0.42493368088467,0.189369846576481,0.069520740740622
"3","421010199001",-0.454901049196894,0.0080642484237099,0.0810913849467514,0.0619881924474674,0.483295224538737,-0.52898424474295,0.104359106033985,-0.142900447520235
"4","421010198003",-0.949967865739538,0.144666877395697,0.0932749021846139,0.160446968537928,0.141211031725899,-0.157277756107099,0.0126829804469949,-0.413334214388325
"5","421010197004",0.390827456193068,-0.0291777556166221,0.0213041468381298,0.140126851635888,0.0217497713801394,-0.0618754762959057,-0.120419995930317,-0.291871697328434
"6","421010383003",0.0175054679048128,0.112306261293664,0.0360981582042583,-0.132858241392061,0.307245877450617,0.398309904786656,0.0503606118098795,0.211105279606093
"7","421010192006",3.15122944170043e-17,-5.75267291459996e-17,0.498311866522622,-1.13933878595497e-15,1.17303687960116e-15,-3.61791005359521e-17,2.89449895710191e-16,-2.20527454672153e-16
"8","421010191002",-0.566094814891176,-0.0406612671496562,0.0269411584454225,0.0911680740378829,0.0271693016070402,0.136099673371437,-0.0895837950051409,0.00292341475158291
"9","421010188003",0.71922481722746,-0.0412674389725012,0.0375437581870803,0.232511012129978,0.179482209498089,-0.333175424787846,-0.00609737720267787,-0.219402984806932
"10","421010188002",1.0403832450648,-0.214917377986682,0.0455304567212526,0.289696895483372,0.0846527598881843,-0.0103728172555313,-0.144852419197133,0.0832684136154046
"11","421010166001",-0.512895188490058,0.120304284737288,0.0680846342153167,-0.0694036063553571,0.26225680607802,-0.498958640932254,0.0965640466712579,0.15119613014331
"12","421010184001",0.869320056470563,-0.206040084173416,0.0380523325098226,-0.0195957007983035,0.244057616979108,0.0155037055403356,-0.0347573013732294,0.116924952136849
"13","421010037022",-1.03834112109166,0.0497517788802569,0.202019269833462,0.069870056033266,-0.223586535903982,0.256486914908694,-0.00930460976376684,0.421389667109659
"14","421010180021",-0.193132341480825,-0.293850700040466,0.110142529594182,-1.31073685612259,-0.379848806361121,0.143820434539956,0.100264375003602,0.272143457905591
"15","421010179002",0.890987645476876,-0.0903893458437568,0.0733659408575474,0.443999762767,-0.345427443154159,-0.0512033443251964,-0.231084423887095,0.345759131536775
"16","421010337021",0.199335233511655,0.000667628101563934,0.0144148828202846,0.328492866016333,-0.0552522804220262,-0.228597349081284,-0.132848897928103,0.0330787224893044
"17","421010336002",-2.16003658230516,0.305064571640368,0.109905881287164,-0.462040239333062,0.544338041876623,0.101724899313343,-0.119687128940239,0.289259314214707
"18","421010335001",-0.707763340991811,-0.0721455349081925,0.064792116463649,-0.104049453115561,0.229520115374928,0.43392395209539,0.271448445925504,-0.265125811413414
