FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate,PPR_Properties_ObjectID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,NAME,ServiceAreaID,PPR_DIST
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4932",Educational,Educational,M/F,"55","99",2021/12/27,"20","0","8810",2021/11/17,2022/04/02,Saturday,2022/01/01,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4932",Educational,Educational,M/F,"55","99",2021/12/27,"20","0","8809",2021/11/17,2022/04/02,Wednesday,2021/12/29,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4932",Educational,Educational,M/F,"55","99",2021/12/20,"20","7","8810",2021/11/17,2022/04/02,Saturday,2021/12/25,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4932",Educational,Educational,M/F,"55","99",2021/12/20,"20","7","8809",2021/11/17,2022/04/02,Wednesday,2021/12/22,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"2955",Educational,Cooking,M/F,"8","13",2021/12/27,"13","0","8624",2021/10/02,2022/06/04,Saturday,2022/01/01,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"2955",Educational,Cooking,M/F,"8","13",2021/12/20,"13","0","8624",2021/10/02,2022/06/04,Saturday,2021/12/25,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4758",After School,After School,M/F,"6","12",2021/12/27,"14","0","8379",2021/09/13,2022/06/10,Monday,2021/12/27,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,"4758",After School,After School,M/F,"6","12",2021/12/20,"14","10","8379",2021/09/13,2022/06/10,Monday,2021/12/20,"139",Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,Thomas B. Smith Recreation Center,Smith ,Wilson Park,"502",2200 S 24TH ST,"19145","2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","1",Y,Y,Y,,Vare Area,9A,"9"
{AF6911C7-5663-44DF-95A6-465A347C076D},East Passyunk Community Center,"2363",Athletic,Basketball,M/F,"3","5",2021/12/20,"25","25","8867",2021/12/02,2022/01/27,Thursday,2021/12/23,"309",East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,N,East Passyunk Community Recreation Center,East Passyunk,Tolentine Community Center,"1963",1027 MIFFLIN ST,"19148",1025-33 MIFFLIN ST,"1025-33 MIFFLIN ST, 1025 MIFFLIN ST",0.8192712,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","1","3",Y,Y,Y,Site had some renovations in 9/2020,East Passyunk Area,9C,"9"
{AF6911C7-5663-44DF-95A6-465A347C076D},East Passyunk Community Center,"2363",Athletic,Basketball,M/F,"3","5",2021/12/13,"25","21","8867",2021/12/02,2022/01/27,Thursday,2021/12/16,"309",East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,N,East Passyunk Community Recreation Center,East Passyunk,Tolentine Community Center,"1963",1027 MIFFLIN ST,"19148",1025-33 MIFFLIN ST,"1025-33 MIFFLIN ST, 1025 MIFFLIN ST",0.8192712,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","1","3",Y,Y,Y,Site had some renovations in 9/2020,East Passyunk Area,9C,"9"
