"","GEOID","avgDeviceResiding","population","quotient"
"1","421010001001",45.8181818181818,1910,41.6865079365079
"2","421010001002",44.8181818181818,2208,49.2657200811359
"3","421010002001",94.7272727272727,2860,30.1919385796545
"4","421010003001",47.2727272727273,878,18.5730769230769
"5","421010003002",51.3636363636364,2507,48.8088495575221
"6","421010004011",49.7272727272727,2516,50.5959780621572
"7","421010004021",26.5454545454545,1881,70.8595890410959
"8","421010004022",1352.54545454545,2216,1.63839225702379
"9","421010005001",313,2543,8.12460063897764
"10","421010006001",91.6363636363636,1222,13.3353174603175
"11","421010007001",13,931,71.6153846153846
"12","421010007002",154.090909090909,1665,10.8053097345133
"13","421010007003",32,1140,35.625
"14","421010008011",19.8181818181818,1514,76.394495412844
"15","421010008031",13.3636363636364,659,49.312925170068
"16","421010008032",14.4545454545455,971,67.1761006289308
"17","421010008033",9.90909090909091,768,77.5045871559633
"18","421010008034",4.09090909090909,376,91.9111111111111
"19","421010008041",54.8181818181818,2439,44.4925373134328
"20","421010008042",12.4545454545455,1263,101.408759124088
"21","421010008043",75.1818181818182,1197,15.9214026602177
"22","421010009011",20.5454545454545,1112,54.1238938053097
"23","421010009012",35.0909090909091,944,26.9015544041451
"24","421010009021",36.7272727272727,1312,35.7227722772277
"25","421010009022",43.2727272727273,1506,34.8025210084034
"26","421010010011",22.4545454545455,1580,70.3643724696356
"27","421010010012",21,1090,51.9047619047619
"28","421010010021",116.181818181818,1347,11.593896713615
"29","421010010022",42.7272727272727,839,19.636170212766
"30","421010010023",108.636363636364,1258,11.5799163179916
"31","421010011011",9.45454545454546,642,67.9038461538461
"32","421010011012",28.0909090909091,992,35.3139158576052
"33","421010011013",75.8181818181818,1180,15.5635491606715
"34","421010011014",10.6363636363636,936,88
"35","421010011021",35.1818181818182,950,27.0025839793282
"36","421010011022",21.5454545454545,1737,80.620253164557
"37","421010012011",20.4545454545455,998,48.7911111111111
"38","421010012012",19.8181818181818,1099,55.454128440367
"39","421010012013",18.1818181818182,1044,57.42
"40","421010012014",13.3636363636364,897,67.1224489795918
