"origin","alpha","beta","theta","r2"
"421010066002",0.0829859013565659,0.221289483260808,-0.600747064477501,0.176448667887755
"421010011014",-0.086757920269337,-0.00344751074792673,-0.497371513167861,0.203813472577245
"421010095001",-0.116144053110696,0.242940056946361,0.867296833521913,0.121638226395853
"421010030012",-0.5528146064957,-0.834860317382205,0.285971689694968,0.745380823316378
"421010011011",-0.784683868624249,-0.245578095750533,-0.579828101571725,0.139885356074106
"421010062003",-0.142028908764226,0.276843575512904,0.06459573206136,0.047590029846606
"421010050001",0.0236572583558922,0.171881601946065,0.505329275211056,0.0967309768542433
"421010238002",0.291118151595145,0.326424130899009,0.0328507044465727,0.824302339803741
"421010213003",0.0229777474860207,-0.136645996774465,1.12018506950608,0.628334523947007
"421010214003",0.217178470638282,0.00818534328437305,-0.168169751554602,0.72822817884993
"421019801001",0.172765789533292,-0.62009740067988,0.0907456407607576,0.19893876175911
"421010067002",-0.144492778174961,-0.299507040560635,0.121899420277896,0.105795361865521
"421010067001",0.0500352266603284,-0.539516321092197,-0.298489294822771,0.158169452009997
"421010162001",-0.133383186086456,0.232198416234953,-0.263801085365196,0.12224604362058
"421010070003",0.10253586434376,-0.0745423707254521,-0.327778475654407,0.0805239871121231
"421010021001",-0.100620942305408,0.137398297294023,-0.0301800584727458,0.0235922104485815
"421010062002",-0.183519909694155,0.100318999057964,0.977338232275277,0.239650338907059
"421010213002",-0.160681725406418,-0.423830692266999,0.385958370382422,0.167909923268681
"421010269001",-0.116942065495896,-0.127487965635826,0.189503528134584,0.0721560395660906
"421010209001",-0.0209119994441799,0.206013376191399,0.0146283543895176,0.0750401762602077
"421010252002",-0.0212454015460658,-0.153091616282534,-0.0412761529389804,0.137405776815391
"421010265005",-0.557753495445856,0.31537390190607,-0.00781467881179012,0.140730792041509
"421010082004",0.0323855659315654,0.318660945706705,-0.215736116704946,0.0688901957767992
"421010031004",-0.0809086179982358,-0.260580840316083,-0.279083895886184,0.151465183444334
"421010010011",0.384717575727655,1.14266802154606,0.467607814310891,0.336596331356583
"421010272001",-0.0819410742511343,-0.164718297439061,0.280011041574104,0.0724372655225895
"421010265001",-0.154765964772951,-0.224339197160314,0.242791768862374,0.170052524061002
"421010259002",-0.0386093484911534,0.199481372879857,0.228885716611772,0.185861382269959
"421010198006",0.0177293685939084,0.123225833376897,0.0890780100636924,0.0143627814795828
"421010178001",-0.205280279377386,-0.14827739863862,0.0711956577381469,0.0781193502126526
"421010165001",-0.0798127393290017,-0.479996233483417,0.449068022698913,0.412945412417261
"421010131002",-0.10480283060226,-0.382177942717047,-0.0091419410454162,0.525285724981815
"421010079004",-0.0853259895737503,-0.190775224960185,-0.270870069443182,0.0813437161242561
"421010011021",0.0147243372749433,0.105931450915464,-0.047309168281476,0.00977606804170233
"421010300002",0.029365670404805,-0.187348519132264,0.0164077682929146,0.0216712364916338
"421010380002",-0.220706809414884,-0.00116761154037001,0.198069612622583,0.0866460211906069
"421010209003",-0.062953584493315,-0.0968937279480337,0.0832285461151026,0.0347765780095173
"421010192006",-0.118461899981083,0.113131695320258,0.0208184995897643,0.045043602655911
"421010011022",-0.138109661773826,0.33112173315316,-0.291921929810066,0.185846579701685
"421010316004",0.148257196336155,0.0957920653634045,0.667462128505918,0.460276741254663
"421010143002",-0.0746150391727758,0.185925293034496,0.206036462660027,0.431726044440063
