year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"420770063041",31,25
2021,1,pa,US,"420810004004",45,54
2021,1,pa,US,"420912007041",50,66
2021,1,pa,US,"420912060071",95,88
2021,1,pa,US,"420950159021",107,69
2021,1,pa,US,"421010289021",39,21
2021,1,pa,US,"421110214002",32,36
2021,1,pa,US,"421330210204",51,63
2021,1,pa,US,"420076046003",31,28
2021,1,pa,US,"420110002002",27,28
2021,1,pa,US,"420171052023",77,113
2021,1,pa,US,"420293009002",35,40
2021,1,pa,US,"420293011003",44,26
2021,1,pa,US,"420333304002",41,27
2021,1,pa,US,"420550115002",38,25
2021,1,pa,US,"420710118031",81,63
2021,1,pa,US,"420879604002",40,25
2021,1,pa,US,"421150329021",97,100
2021,1,pa,US,"420034961011",126,108
2021,1,pa,US,"420171015032",111,106
2021,1,pa,US,"420490009001",84,71
2021,1,pa,US,"420710125013",105,76
2021,1,pa,US,"420912006061",115,97
2021,1,pa,US,"420912007043",72,65
2021,1,pa,US,"420912045004",46,41
2021,1,pa,US,"420950175021",103,87
2021,1,pa,US,"421010162002",25,28
2021,1,pa,US,"421010188005",30,21
2021,1,pa,US,"421010362023",67,51
2021,1,pa,US,"421059505002",22,21
2021,1,pa,US,"420034070014",80,62
2021,1,pa,US,"420410128004",26,23
2021,1,pa,US,"420691118005",50,42
2021,1,pa,US,"420792116002",55,53
2021,1,pa,US,"420792166002",137,106
2021,1,pa,US,"421010078001",21,19
2021,1,pa,US,"421298073003",70,50
2021,1,pa,US,"420034810003",59,47
2021,1,pa,US,"420293112002",34,25
2021,1,pa,US,"420391114002",32,21
2021,1,pa,US,"420454018001",47,42
2021,1,pa,US,"420730106001",100,87
2021,1,pa,US,"420750029002",80,59
2021,1,pa,US,"420792168002",16,11
2021,1,pa,US,"420850334003",49,32
2021,1,pa,US,"421010362011",82,50
2021,1,pa,US,"421010383001",160,153
2021,1,pa,US,"421070015003",41,37
2021,1,pa,US,"421110206002",42,22
2021,1,pa,US,"421330209223",73,64
2021,1,pa,US,"420270102003",31,26
2021,1,pa,US,"420293044032",78,99
2021,1,pa,US,"420454006005",72,58
2021,1,pa,US,"420691016002",49,37
2021,1,pa,US,"420691125006",73,81
2021,1,pa,US,"421070037002",87,69
2021,1,pa,US,"420010308002",135,108
2021,1,pa,US,"420110003001",38,26
2021,1,pa,US,"420293021023",84,84
2021,1,pa,US,"420293117003",174,145
2021,1,pa,US,"420430203002",32,41
2021,1,pa,US,"420430224011",125,107
2021,1,pa,US,"420454079012",122,90
2021,1,pa,US,"420710012002",64,41
2021,1,pa,US,"421070016003",53,44
2021,1,pa,US,"421298045013",66,58
2021,1,pa,US,"420034507002",61,55
2021,1,pa,US,"420512614011",63,61
2021,1,pa,US,"420691102021",76,64
2021,1,pa,US,"420912068011",231,175
2021,1,pa,US,"420912083012",84,62
2021,1,pa,US,"420311605003",78,62
2021,1,pa,US,"420691106001",91,57
2021,1,pa,US,"420691129024",73,64
2021,1,pa,US,"420770065002",99,81
2021,1,pa,US,"420834211003",54,48
2021,1,pa,US,"420912003091",23,21
2021,1,pa,US,"421010016002",35,31
2021,1,pa,US,"421010083022",60,48
2021,1,pa,US,"421110214001",51,41
2021,1,pa,US,"420034890011",30,34
2021,1,pa,US,"420039818001",1,6
2021,1,pa,US,"420099606002",17,20
2021,1,pa,US,"420110113002",66,50
2021,1,pa,US,"420199102003",50,48
2021,1,pa,US,"420410103002",75,68
2021,1,pa,US,"420770001021",96,89
2021,1,pa,US,"420770091001",71,76
2021,1,pa,US,"420792141002",32,22
2021,1,pa,US,"420893011022",60,49
2021,1,pa,US,"420912053001",39,43
2021,1,pa,US,"421279609003",47,36
2021,1,pa,US,"420010301021",72,45
2021,1,pa,US,"420031405002",22,23
2021,1,pa,US,"420110114001",73,65
2021,1,pa,US,"420131004001",43,29
2021,1,pa,US,"420159506003",64,41
2021,1,pa,US,"420490019001",11,18
2021,1,pa,US,"420490102022",89,64
2021,1,pa,US,"420912024022",22,20
2021,1,pa,US,"420912058092",21,23
2021,1,pa,US,"420912076001",97,71
2021,1,pa,US,"421298060002",110,68
2021,1,pa,US,"421330212103",122,107
2021,1,pa,US,"420110117011",168,127
2021,1,pa,US,"420792173003",901,1152
2021,1,pa,US,"420912046005",24,24
2021,1,pa,US,"420950152012",53,52
2021,1,pa,US,"420030708002",36,36
2021,1,pa,US,"420110142004",33,41
2021,1,pa,US,"420490104002",157,103
2021,1,pa,US,"420550108001",91,51
2021,1,pa,US,"420691112004",139,97
