year,month,region,num_visits,num_unique_visitors
2021,1,ALL,837660727,44642175
2021,1,ALL_US,837660727,44642175
2021,1,ak,946751,71177
2021,1,al,23566365,1077909
2021,1,ar,12212083,594938
2021,1,as,59,35
2021,1,az,17596375,1054161
2021,1,ca,64697548,4387124
2021,1,co,13663217,1003772
2021,1,ct,6029217,516844
2021,1,dc,1374937,329936
2021,1,de,1982579,165303
2021,1,fl,71631811,3532563
2021,1,ga,40143976,2255153
2021,1,gu,58118,4414
2021,1,hi,3497437,167409
2021,1,ia,10595318,674294
2021,1,id,3833098,248645
2021,1,il,30258452,2351609
2021,1,in,19226736,1175075
2021,1,ks,9408880,559103
2021,1,ky,12762835,800235
2021,1,la,16844738,869184
2021,1,ma,9883343,932651
2021,1,md,10910574,961800
2021,1,me,1960729,131864
2021,1,mi,20556932,1474796
2021,1,mn,11906623,935198
2021,1,mo,21481915,1179078
2021,1,mp,96,30
2021,1,ms,12707339,590497
2021,1,mt,2056274,133754
2021,1,nc,28582290,1682427
2021,1,nd,2181926,131141
2021,1,ne,6646722,423526
2021,1,nh,2627313,206824
2021,1,nj,18108028,1412995
2021,1,nm,3285272,330789
2021,1,nv,8671595,585274
2021,1,ny,33726062,2916894
2021,1,oh,31332594,1925303
2021,1,ok,16145907,800087
2021,1,or,7653894,599064
2021,1,pa,25127309,2001697
2021,1,pr,604956,80049
2021,1,ri,1771235,188172
2021,1,sc,17048706,902436
2021,1,sd,2538192,151687
2021,1,tn,24218951,1357802
2021,1,tx,98476771,4923311
2021,1,ut,7270201,491600
2021,1,va,18284005,1312795
2021,1,vi,6278,1490
2021,1,vt,845561,74464
2021,1,wa,12282394,922871
2021,1,wi,13013873,932403
2021,1,wv,4125344,299194
2021,1,wy,1290993,101725
