X,Y,OBJECTID,PARK_NAME,DATE_INSTALLED,SPRAY_STATUS,COMMENTS,DATA_SOURCE
-75.1700664704723,39.9290349861886,49,A Giuseppe DiSilvestro Playground,,ACTIVE,Sprayground,"Finder, Google Street Photos, Pictometry 2020"
-75.043967281761,40.02832989821,50,Disston Recreation Center,2020/08/01 00:00:00+00,ACTIVE,Sprayground,"Pictometry 2020, NearMap 2020"
-75.1511288782469,39.9663796107292,51,East Poplar Playground,2021/10/12 00:00:00+00,UNKNOWN,Sprayground. Renovated in 2021.,Capital 2021 Drawings
-75.1755206998848,40.0814813492642,52,Dorothy Emanuel Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1699194591197,40.0653283691911,53,Charles M Finley Playground,2018/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.12834595726,39.9717352090102,54,Fishtown Recreation Center,2020/07/31 00:00:00+00,ACTIVE,Sprayground,"Programs 2021;Operations 2021"
-74.9718826859729,40.0964741567823,55,Eileen Fitzpatrick Playground,,ACTIVE,Sprinkler,Operations 2021
-75.228426272315,39.9345844968691,56,Francis J Myers Recreation Center,2021/10/01 00:00:00+00,ACTIVE,Sprinkler,"Operaions 2021; Renovated in 2021"
-75.0822847993364,40.0743157087757,57,Fox Chase Recreation Center,,ACTIVE,Sprinkler,Operaions 2021
-75.1670273970884,39.968984574145,58,Francisville Recreation Center,2012/01/01 00:00:00+00,ACTIVE,Sprinkler,Operaions 2021
-75.0763885499031,40.0145000725419,59,William (Billy) Gambrel Playground,2009/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1751598094978,39.9873234542256,60,Eric W (Hank) Gathers Jr Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1012847311613,39.9865329549137,61,Frank Glavin Playground,,ACTIVE,Sprinkler,"Finder, Google Street Photos, Pictometry 2020"
-75.1728469841268,39.9232740031603,62,Thomas I Guerin Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1422088384424,39.9716683134239,63,Thomas Hart Park,,ACTIVE,Sprayground,Operations 2021
-75.1596410335918,39.9437137647452,64,Charles Seger Park,2012/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.2340705034468,39.9673859054643,65,Haddington-Marshall L Shepard Sr Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1324327712527,39.977206545654,66,Dan Shissler Recreation Center,,ACTIVE,Sprayground,Operations 2021
-75.1464870684211,39.9350357539378,67,Shot Tower Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.0931983873854,40.0214681333356,68,Private Alfred J Simpson Memorial Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1691825055978,39.9580930623342,69,Sister Cities Park,,ACTIVE,Wading Pool,GIS Site Review 2020
-75.1525868919706,39.9427211697447,70,Starr Garden Playground,,ACTIVE,Sprinkler,"Finder; Google Street Photos; NearMap 2021"
-75.1239005767548,40.049169954829,71,Helen G Sturgis Playground,,ACTIVE,Sprayground,Operations 2021
-75.0820003924889,40.0408209737868,72,Seymour Tarken Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-74.9978202216043,40.0589792326237,73,Torresdale Recreation Center,2019/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.2225042479336,40.0236864993298,74,Venice Island Performing Arts and Recreation Center,,ACTIVE,Sprayground,Operations 2021
-75.0490318258402,40.0279914094632,75,Joseph F Vogt Playground,2008/01/01 00:00:00+00,ACTIVE,Sprayground,"Capital 2019; Pictometry 2020"
-75.2225540476453,39.9668751718925,76,West Mill Creek,2014/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.1601682618543,40.0320895186516,77,Wister Playground,2016/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.107027195958,39.9820668124732,78,Thomas P Stokley Recreation Center,2014/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1765546076626,39.9636787311456,79,Von Colln Field,2018/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1510872506002,39.9753405519383,80,Marie Dendy Recreation Center,2016/01/01 00:00:00+00,ACTIVE,Sprayground,"Capital 2019, Pictometry 2020"
-75.2402710895382,39.9259497399849,81,John J McCreesh Sr Playground,2020/11/01 00:00:00+00,ACTIVE,Sprayground,"Capital 2021, NearMap 2021"
-75.2132200967166,40.0215036965669,82,Wissahickon Neighbors Playground,,ACTIVE,Sprayground,Operations 2021
-75.1303933784078,39.9998001670938,83,Jose Manuel Collazo Park,,ACTIVE,Sprayground,Operations 2021
-75.1418548768341,39.9868671455173,84,Rainbow De Colores Playground,,ACTIVE,Sprayground,Operations 2021
-75.2314863043672,40.068713372424,85,Samuel F Houston Playground,,ACTIVE,Sprayground,Operations 2021
-75.2500191293417,39.9690596759976,86,William T Granahan Playground,2020/11/01 00:00:00+00,INACTIVE,Sprayground,"Capital 2021; Operations 2021"
-75.0698212835703,40.0240525297534,87,Wissinoming Park,,ACTIVE,Sprayground,"Finder; Pictometry 2020"
-75.1933512353686,39.9327545552277,88,William Lanier Park,2018/11/14 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1525142491673,40.0240522905216,89,Stenton Park,2019/01/01 00:00:00+00,ACTIVE,Sprayground,Aerials 2019
-75.2284462478468,39.9754649827593,90,Conestoga Community Playground,,ACTIVE,Sprayground,Operations 2021
-75.2409558200253,39.9821588685451,91,Ernest L Tustin Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1505563557778,39.938222721314,92,Weccacoe Square,,ACTIVE,Sprinkler,Operations 2021
-75.1237354409064,39.9839598743041,93,Black Coyle and McBride Playground,,ACTIVE,Sprinkler,"Pictometry 2020;Field Inspection 2020"
-75.1693235533464,39.9576212436977,94,Sister Cities Park,,ACTIVE,Sprayground,On site review.
-75.0247535761712,40.1142942429881,95,Tomlinson and Gifford Playground,2020/07/01 00:00:00+00,INACTIVE,Sprayground (Under Construction),"Pictometry 2020; Rebuild Construction Update 2020"
-75.0209775972252,40.0918080771889,96,Officer Robert Hayes Memorial Playground,2020/01/01 00:00:00+00,ACTIVE,Sprayground,"NearMap2021; Rebuild Construction Update 2020; Capital Drawings"
-75.0212148168062,40.0917108705958,97,Officer Robert Hayes Memorial Playground,2020/01/01 00:00:00+00,ACTIVE,Sprayground,"NearMap2021; Rebuild Construction Update 2020; Capital Drawings"
-75.1381169869016,39.9892700791716,98,Frank S Nelson Jr Memorial Recreation Center,2020/01/01 00:00:00+00,ACTIVE,Sprayground,"Pictometry 2020; PPR Programs Verified"
-75.1475723571198,39.9832990286901,99,8th and Diamond Playground,2021/07/01 00:00:00+00,ACTIVE,Installed during renovations 2020-2021 (Rebuild),"Capital Drawings 2021;NearMap 2021"
-75.2505216997991,39.9052930053777,100,Eastwick Regional Playground,,ACTIVE,Sprinkler,"2021 NearMap;Capital Site Inspection 2021"
-75.1269928911562,39.9722784269459,101,Lederer Pool,2021/08/01 00:00:00+00,ACTIVE,Installed during renovations in Summer 2021.,Operations 2021
-75.1965398649625,40.048895863146,102,Ned Wolf Park,,ACTIVE,Sprinkler,"Operations 2021;NearMap 2021"
