X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.0074970075443,40.1230106170169,242,Daniel Boyle Memorial Recreation Center,2_5_YEARS,,,"Pictometry 2020; GIS Field Verified 2020"
-74.9698842918469,40.1028681072158,243,Jim Junod Recreation Center,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0244879543212,40.1145124102219,244,Tomlinson and Gifford Playground,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020,"Pictometry 2020, Rebuild Construction Update 2020"
-74.9717436632148,40.0964836750076,245,Eileen Fitzpatrick Playground,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-74.9896057768828,40.095014884249,246,Michael Palmer Playground,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-74.9891960245704,40.0807754190309,247,Elizabeth M Picariello Playground,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-74.9742670302927,40.0794936358569,248,Corporal Jimmy OConnor Memorial Playground,2_5_YEARS,2012/01/01 00:00:00+00,Formerly Chalfont Playground,Pictometry 2021
-75.0207818807811,40.0918414954948,249,Officer Robert Hayes Memorial Playground,2_5_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020.,"NearMap2021, Rebuild Construction Updates 2020, Capital Drawings"
-74.9918853499368,40.0680889260555,250,Thomas Mitchell Playground,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0338014700913,40.100051719099,251,William A Lackman Memorial Playground,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0515367400775,40.0921792980543,252,CCA Baldi School Playground,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0673109892457,40.0806571250478,253,Verree and Susquehanna Playground,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0823777369154,40.0745683651852,254,Fox Chase Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0504564036826,40.0621948837066,255,George C Pelbano Playground,2_5_YEARS,,No Signage. Has a Fence. Swings and Playground Equipment.,"Pictometry 2020; GIS Field Verified 9/2020"
-75.0117968259344,40.056254091575,256,Thomas Holme School Playground,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0024886547919,40.0522643934671,257,George Jacobs Playground,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-74.9931426203982,40.0420858658673,258,Fish Hatchery at Pleasant Hill Park,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0245212126538,40.0481605220755,259,James J Ramp Playground,2_5_YEARS,,,"On-Site Assessment, Pictometry 2020"
-75.0208097803548,40.0385950486094,260,Torresdale and Enfield Fields,2_5_YEARS,,,"Street Smart 2020; Pictometry 2020"
-75.026648815198,40.0359796820679,261,Holmesburg Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0345160790282,40.0299254575374,262,Charles A Russo Playground,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0421092216299,40.0321500845671,263,Senator William Vincent Mullin Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0496204082297,40.0281052017422,264,Joseph F Vogt Playground,2_5_YEARS,2008/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0612334037611,40.0290633063445,265,Lower Mayfair Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0539656112069,40.026042171478,266,Franklin Delano Roosevelt Playground,2_5_YEARS,2020/10/01 00:00:00+00,Installed during Renovations in 10/2020,NearMap 2021
-75.0543139177021,40.0186501903121,267,American Legion Playground,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0627765690273,40.016110428061,268,Victor J Moss Memorial Field,2_5_YEARS,2019/10/01 00:00:00+00,Installed during renovations 10/2019,"Pictometry 2020,Capital Drawings"
-75.0528712401808,40.0393370493819,269,Mayfair Recreation Center,5_12_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0799779539464,40.0240998020184,270,Joseph C McIlvain Playground,2_5_YEARS,,,"Google Street View 2018, Pictometry 2020"
-75.0766587216297,40.0564055382632,271,Thomas E Jardel Memorial Field,5_12_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0819272493929,40.0406861238511,272,Seymour Tarken Recreation Center,5_12_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.093723823846,40.029897120144,273,Edward Houseman Playground,2_5_YEARS,,,"Cyclomedia 2018, Pictometry 2020"
-75.10082297081,40.0458529901326,274,Lawncrest Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0766404072726,40.0143963396992,275,William (Billy) Gambrel Playground,2_5_YEARS,2009/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0830320926828,40.0140315164298,276,Hedge Street Park,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.0734232537583,40.0111284707435,277,Carmella A DiTizio Playground,2_5_YEARS,2020/08/01 00:00:00+00,Installed during renoations 8/2021,NearMap 2021
-75.0671295483816,39.9996794082638,278,Bridesburg Recreation Center,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0987625046483,39.9979368603336,279,Robert T Heitzman Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.1235034718775,39.9944390401347,280,Marian Winfield Hissey Recreation Center,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0966945883666,39.9907631295521,281,Bernard Samuel Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1013376073198,39.9866140690212,282,Frank Glavin Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1007415581084,39.9831713485612,283,Reverend M Monkiewicz Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
