year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,11,1,ALL,"",58528600,15838498,23452370,12911519
2021,11,1,ALL_CA,CA,995927,359913,481206,290996
2021,11,1,ALL_US,US,57532673,15479737,22971164,12620523
2021,11,1,ab,CA,147179,51113,68423,42162
2021,11,1,ak,US,61696,19991,23277,14982
2021,11,1,al,US,1600538,401271,639096,338565
2021,11,1,ar,US,894707,229474,358743,189692
2021,11,1,as,US,3,3,2,2
2021,11,1,az,US,1141471,313422,421028,247828
2021,11,1,bc,CA,132132,47124,59515,38004
2021,11,1,ca,US,4449223,1255119,1656723,988901
2021,11,1,co,US,842956,252125,319820,187070
2021,11,1,ct,US,441991,131248,187366,101293
2021,11,1,dc,US,66812,29972,18027,10696
2021,11,1,de,US,146641,44991,61777,34067
2021,11,1,fl,US,4253816,1091633,1622750,868032
2021,11,1,ga,US,2591682,665169,1005354,529261
2021,11,1,gu,US,46,44,31,30
2021,11,1,hi,US,199035,52330,61186,40034
2021,11,1,ia,US,756829,212142,321462,171434
2021,11,1,id,US,271652,82990,114388,66823
2021,11,1,il,US,2201590,627160,901980,497745
2021,11,1,in,US,1376169,382363,578814,309408
2021,11,1,ks,US,669362,189557,284288,152037
2021,11,1,ky,US,967628,261873,386487,207586
2021,11,1,la,US,1131364,291873,439842,234190
2021,11,1,ma,US,749059,228767,305618,166201
2021,11,1,mb,CA,45334,16170,22670,13348
2021,11,1,md,US,789337,242069,323013,181381
2021,11,1,me,US,164895,49473,74805,41170
2021,11,1,mi,US,1583318,460618,692093,377822
2021,11,1,mn,US,840039,256217,351568,198466
2021,11,1,mo,US,1470389,411978,597323,329420
2021,11,1,mp,US,6,6,6,6
2021,11,1,ms,US,873121,218728,343592,181979
2021,11,1,mt,US,138067,43279,56559,33740
2021,11,1,nb,CA,14932,5929,7999,4853
2021,11,1,nc,US,2037150,544981,839734,445765
2021,11,1,nd,US,144012,41750,59488,32298
2021,11,1,ne,US,435845,124837,184950,98543
2021,11,1,nh,US,185739,56509,80372,43528
2021,11,1,nj,US,1321755,381099,565169,302001
2021,11,1,nl,CA,11423,4328,6672,3723
2021,11,1,nm,US,260261,80731,102654,59755
2021,11,1,ns,CA,22830,8111,11205,6567
2021,11,1,nt,CA,440,220,261,166
2021,11,1,nu,CA,223,126,95,52
2021,11,1,nv,US,544832,146385,173367,103515
