year,month,region,num_visits,num_unique_visitors
2021,11,ALL,1079114308,36622131
2021,11,ALL_US,1079114308,36622131
2021,11,ak,1147027,60842
2021,11,al,28991373,962562
2021,11,ar,15874533,573946
2021,11,as,39,27
2021,11,az,22851822,940634
2021,11,ca,90738568,3981100
2021,11,co,16851572,849338
2021,11,ct,7837873,453742
2021,11,dc,1520178,249019
2021,11,de,2687431,166481
2021,11,fl,83637534,2928744
2021,11,ga,48835660,1854790
2021,11,gu,318,191
2021,11,hi,4693080,162599
2021,11,ia,13425292,568158
2021,11,id,4794113,233907
2021,11,il,40671679,1898717
2021,11,in,25118969,1069726
2021,11,ks,12310153,521925
2021,11,ky,17922266,760306
2021,11,la,21153261,766201
2021,11,ma,13513245,812872
2021,11,md,14568535,854548
2021,11,me,2740610,122421
2021,11,mi,27380915,1228413
2021,11,mn,15148548,759673
2021,11,mo,27986744,1097227
2021,11,ms,15819480,563718
2021,11,mt,2478356,122662
2021,11,nc,37315066,1453185
2021,11,nd,2512036,114031
2021,11,ne,8018076,361374
2021,11,nh,3314326,180018
2021,11,nj,24036778,1214388
2021,11,nm,4892863,330900
2021,11,nv,12401855,628116
2021,11,ny,44110922,2374422
2021,11,oh,38931948,1627051
2021,11,ok,20480107,772642
2021,11,or,10128522,558836
2021,11,pa,32603176,1708275
2021,11,pr,91150,24320
2021,11,ri,2396354,156325
2021,11,sc,22241289,865192
2021,11,sd,3022679,140351
2021,11,tn,32000447,1325114
2021,11,tx,125386956,4250507
2021,11,ut,8756135,424432
2021,11,va,24455149,1193228
2021,11,vi,4745,1307
2021,11,vt,976648,61626
2021,11,wa,16487841,838631
2021,11,wi,16461831,760819
2021,11,wv,5828085,305732
2021,11,wy,1560150,97576
