GEOID,placekey,distance,probability,PC1,PC2,PC3,PC4,PC5
"421010100004",zzz-222@63s-dvz-ct9,2.37,0.168421052631579,2.328613177238,7.09366424527973,3.87947579038782,1.54546525969575,2.81493334647542
"421010100004",zzz-222@63s-dw2-3qz,0.51,0.115789473684211,2.65960221400576,6.57337922259634,3.04315497194659,1.26487401938193,2.76175936773531
"421010100004",zzz-222@63s-dw2-hbk,0.65,0.0526315789473684,2.58691371670814,7.75213428835887,4.25375769171359,2.25561276050412,2.96341306565067
"421010100004",zzz-222@63s-dw2-jqf,0.83,0.0894736842105263,2.65663971498213,7.79173420950289,4.67764918905173,1.67062948233051,2.46218281020173
"421010100004",zzz-222@63s-dwf-xh5,9.44,0.0105263157894737,1.07329417050692,6.82837722480707,2.81862878484511,1.13733665681695,3.0378406388714
"421010364001",zzz-222@628-pmd-tn5,33.51,0.368421052631579,1.32258026486293,6.79610508378117,2.78326708981573,1.30042719299751,3.01744190402116
"421010364001",zzz-222@63s-dvq-5fz,38.15,0.421052631578947,1.56030582454526,6.51032308868768,3.34423142582027,2.0912803216238,2.60721541021631
"421010364001",zzz-222@63s-dwf-xh5,44.34,0.210526315789474,1.07329417050692,6.82837722480707,2.81862878484511,1.13733665681695,3.0378406388714
"421010345021",zzz-222@628-pg8-hyv,20.23,0.333333333333333,2.04719336588976,6.56502168676301,2.67375938338968,2.04438631327227,3.26995945342279
"421010345021",zzz-222@628-pm4-mrk,22.99,0.333333333333333,2.06661259425264,7.03954592934979,2.94918863596892,4.09350893127732,2.79934931766507
"421010345021",zzz-222@63s-dvq-x5z,27.7,0.333333333333333,1.32874253294112,7.52544552680945,2.95083762217862,2.79185511602867,1.73955386608422
"421010256001",zzw-222@628-pgc-q9f,15.15,0.108108108108108,4.74397817287085,7.55103686696103,5.0916109401491,2.04343756209913,2.51442442699136
"421010256001",zzy-222@628-pg8-r6k,14.54,0.108108108108108,3.59413181585703,5.34163289933881,1.38815236725603,1.09078181459806,1.2809123380916
"421010256001",zzz-222@628-pg8-hyv,13.92,0.216216216216216,2.04719336588976,6.56502168676301,2.67375938338968,2.04438631327227,3.26995945342279
"421010256001",zzz-222@628-pg9-hwk,12.74,0.108108108108108,2.82414328996215,5.48343087097416,2.22970347989465,1.40783864970696,2.09519018003617
"421010256001",zzz-222@628-pgk-wff,15.93,0.108108108108108,4.30241634582778,6.18123715822571,3.1839051071163,0.953792663633982,2.65231990405388
"421010256001",zzz-222@628-ph5-wx5,17.29,0.108108108108108,1.70900486999717,7.13186677778413,3.29485203891741,2.27527935140294,3.14976964195564
"421010256001",zzz-222@628-pmf-v2k,19.76,0.108108108108108,0.820445404823627,6.44660761803264,2.39129791160718,1.09359597230562,1.87877858947987
"421010256001",zzz-222@63s-dvq-5fz,19.76,0.135135135135135,1.56030582454526,6.51032308868768,3.34423142582027,2.0912803216238,2.60721541021631
"421010095004",zzw-222@628-pg9-tgk,6.95,0.0153256704980843,1.95793295708317,7.23333884418028,2.39980712700128,4.33168267994285,0.535930166272136
"421010095004",zzw-222@628-pgc-q9f,3.1,0.0268199233716475,4.74397817287085,7.55103686696103,5.0916109401491,2.04343756209913,2.51442442699136
"421010095004",zzw-222@63s-dvw-dqf,1.48,0.0153256704980843,1.2598117086367,7.21260287896917,3.3212665117305,1.9856846043397,2.74255736577838
"421010095004",zzw-222@63s-dw2-8qf,1.7,0.0153256704980843,1.97053633646606,0,7.59789832647651,2.20998169469171,0.6916944685171
"421010095004",zzw-223@628-pgc-g6k,4.83,0.0153256704980843,7.61282947143467,5.34892778486512,2.34394703000564,1.40190793194821,2.15200964370391
"421010095004",zzz-222@628-pgd-v9f,3.9,0.0153256704980843,2.1544288608645,8.35519129573635,4.00771722760647,3.01108461089878,1.25160400218809
"421010095004",zzz-222@628-pgf-x5z,3.84,0.0153256704980843,7.68527475391432,6.7463926971487,2.96528196463893,6.04562722931371,2.46707509739134
"421010095004",zzz-222@628-ph5-py9,1.73,0.0153256704980843,1.46375049968912,7.18221533004357,3.30578335375919,2.21583867565055,3.53346485409691
"421010095004",zzz-222@628-ph5-wx5,0.64,0.0766283524904215,1.70900486999717,7.13186677778413,3.29485203891741,2.27527935140294,3.14976964195564
"421010095004",zzz-222@628-ph6-r49,2.77,0.0306513409961686,5.07116465049831,7.49440170159421,5.12947662448363,2.20054173761682,3.49489339970391
"421010095004",zzz-222@628-pm7-mff,8.68,0.0153256704980843,1.43662660174972,7.17705454122727,3.31276568282818,2.072404738192,2.75212036001319
"421010095004",zzz-222@628-pm7-nnq,8.16,0.0153256704980843,1.26754984981395,7.21060215615657,3.32057180351784,1.98985202027763,2.74355001166876
"421010095004",zzz-222@63s-dvq-5fz,2.98,0.176245210727969,1.56030582454526,6.51032308868768,3.34423142582027,2.0912803216238,2.60721541021631
"421010095004",zzz-222@63s-dvq-6x5,3.02,0.0153256704980843,1.35465209915311,7.19998556568287,3.31244814251878,2.0701418106619,2.93608604719434
"421010095004",zzz-222@63s-dvq-jqf,1.75,0.0153256704980843,1.22763942635335,6.38149838927632,3.76126142824524,2.18413843918728,2.6036343397789
"421010095004",zzz-222@63s-dvr-fxq,7.03,0.0153256704980843,1.56804928890205,7.67737770423699,2.79776150245104,3.34261674497407,1.24092075718813
"421010095004",zzz-222@63s-dvr-pn5,6.02,0.0153256704980843,2.73677464199115,7.30741961420691,3.08903261441381,3.08225108585162,2.29230587664485
"421010095004",zzz-222@63s-dvw-sh5,0.67,0.14176245210728,1.97594828257576,6.93230052929998,3.3681660661987,2.71599007823509,4.90420306671155
"421010095004",zzz-222@63s-dvx-2tv,2.37,0.0153256704980843,1.52094902732592,7.77406167618694,4.00650590216763,1.98016586519789,2.44836912652744
"421010095004",zzz-222@63s-dvx-c3q,3.74,0.0306513409961686,2.28707254305339,7.53079993201729,3.65569497710888,2.0548791915536,2.91451034593667
"421010095004",zzz-222@63s-dvx-hqz,1.72,0.0459770114942529,1.95693153986174,7.53282764411897,3.6744919560915,2.05090024233937,2.42057318879964
"421010095004",zzz-222@63s-dvz-ct9,2.04,0.122605363984674,2.328613177238,7.09366424527973,3.87947579038782,1.54546525969575,2.81493334647542
"421010095004",zzz-222@63s-dw2-3qz,1.05,0.0842911877394636,2.65960221400576,6.57337922259634,3.04315497194659,1.26487401938193,2.76175936773531
"421010095004",zzz-222@63s-dw2-jqf,2.36,0.0306513409961686,2.65663971498213,7.79173420950289,4.67764918905173,1.67062948233051,2.46218281020173
"421010095004",zzz-223@628-pgc-g6k,4.12,0.0191570881226054,5.16262662129204,7.13999679213016,5.10882542423431,1.16412597635046,2.59766821900405
"421010334004",zzw-223@628-pgc-g6k,17.07,0.111111111111111,7.61282947143467,5.34892778486512,2.34394703000564,1.40190793194821,2.15200964370391
"421010334004",zzz-222@628-pg8-hyv,17.12,0.0888888888888889,2.04719336588976,6.56502168676301,2.67375938338968,2.04438631327227,3.26995945342279
"421010334004",zzz-222@628-pg9-hwk,15,0.0888888888888889,2.82414328996215,5.48343087097416,2.22970347989465,1.40783864970696,2.09519018003617
"421010334004",zzz-222@628-pgd-v9f,20.03,0.355555555555556,2.1544288608645,8.35519129573635,4.00771722760647,3.01108461089878,1.25160400218809
"421010334004",zzz-222@628-pgd-w49,19.84,0.0888888888888889,2.56537814533778,8.06774175835038,3.71452434975325,3.15840992417514,1.70318863309813
"421010334004",zzz-222@628-pgf-x5z,18.61,0.0888888888888889,7.68527475391432,6.7463926971487,2.96528196463893,6.04562722931371,2.46707509739134
"421010334004",zzz-222@628-pm8-vj9,23.83,0.0888888888888889,4.89287674184626,5.27454670458479,1.44301496056122,1.92070839806376,6.93032609743401
"421010334004",zzz-222@628-pm9-jn5,23.55,0.0888888888888889,1.39988243830498,7.17852172510094,3.27811188851699,2.05531112227267,2.73167449893938
"421010380001",zzz-222@628-ph5-wx5,17.42,0.25,1.70900486999717,7.13186677778413,3.29485203891741,2.27527935140294,3.14976964195564
"421010380001",zzz-222@63s-dvq-5fz,18.81,0.25,1.56030582454526,6.51032308868768,3.34423142582027,2.0912803216238,2.60721541021631
"421010380001",zzz-222@63s-dvr-d7q,19.02,0.25,1.38364518170779,7.70811032956101,2.8165304572209,3.23521616432673,1.24346386203653
"421010380001",zzz-222@63s-dvz-ct9,18.86,0.25,2.328613177238,7.09366424527973,3.87947579038782,1.54546525969575,2.81493334647542
"421010152004",zzw-222@628-pg9-h5z,2.83,0.0353982300884956,3.08844097365492,5.43413394413134,2.21423082760344,1.54277415976725,2.102871649407
"421010152004",zzw-222@628-pg9-tgk,2.44,0.31858407079646,1.95793295708317,7.23333884418028,2.39980712700128,4.33168267994285,0.535930166272136
