GEOID,population
"421010338003",429
"421010339001",759
"421010341002",1504
"421010346001",2496
"421010348022",1339
"421010349004",1071
"421010352003",1543
"421010356022",2375
"421010358002",1699
"421010347021",2167
"421010363021",1827
"421010292001",2948
"421010358003",2258
"421010083024",1161
"421010273002",696
"421010274013",1040
"421010274023",683
"421010275003",895
"421010275001",1705
"421010277003",1016
"421010279012",1040
"421010280001",715
"421010283002",1186
"421010286005",1416
"421010289024",1666
"421010289013",837
"421010298002",935
"421010300007",1368
"421010301001",572
"421010302002",2014
"421010390003",1105
"421010305021",1381
"421010306003",621
"421010307001",952
"421010308001",670
"421010310007",1203
"421010311021",932
"421010313004",1543
"421010313006",929
"421010314021",1332
"421010315012",2192
"421010316001",1113
"421010317003",720
"421010319002",1181
"421010320002",1064
"421010321002",862
"421010325002",2112
"421010326005",336
"421010329004",722
"421010330003",1557
"421010331022",885
"421010333002",1460
"421010336003",3883
"421010338001",3070
"421010112003",1008
"421010030013",1034
"421010143002",776
"421010220001",1534
"421010214004",650
"421010172021",1255
"421010365012",2395
"421010384002",1032
"421010168005",349
"421010331012",1205
"421010178004",419
"421010016002",1404
"421010037013",1747
"421010030024",580
"421010259005",767
"421010083022",1961
"421010071011",1107
"421010270002",1906
"421010175001",2194
"421010165001",198
"421010042023",1963
"421010188004",564
"421010042014",1481
"421010024002",1182
"421010362012",784
"421010111003",446
"421010169012",424
"421010281003",1093
"421010288002",1118
"421010356012",1718
"421010284004",497
"421010039023",881
"421010168006",475
"421010098023",2439
"421010176015",1064
"421010309002",1502
"421010133001",1965
"421010169023",1448
"421010135002",556
"421010178007",1052
"421010238003",977
"421010270001",729
"421010305013",2556
"421010334001",839
"421010277006",807
"421010244001",1502
"421010180013",984
"421010078004",732
"421010320007",1071
"421010245002",1089
"421010330007",537
"421010305022",1273
"421010065003",1216
"421010167021",603
"421010069001",1681
"421010179001",415
"421010363032",1142
"421010336001",542
"421010086023",785
"421010103002",908
"421010335003",1043
"421010175002",769
"421010093003",686
"421010118001",1229
"421010326003",1979
"421010063001",424
"421010137004",768
"421010074002",769
"421010134022",648
"421010326006",1487
"421010093001",868
"421010315013",471
"421010360001",3472
"421010151022",1801
"421010101003",2099
"421010087022",1275
"421010090002",2273
"421010071024",920
"421010008042",1263
"421010298004",1163
"421010259004",778
"421010313001",1311
"421010114003",925
"421010301002",2531
"421010202003",443
"421010008032",971
"421010166002",518
"421010096004",1068
"421010348021",2566
"421010347013",1733
"421010268002",678
"421010198005",1041
"421010094001",773
"421010001002",2208
"421010031006",785
"421010195011",1111
"421010352002",1005
"421010145001",890
"421010178005",837
"421010291003",1480
"421010334003",1171
"421010119003",828
"421010283007",543
"421010246003",599
"421010118002",1008
"421010156002",785
"421010342001",1476
"421010136024",708
"421010283001",732
"421010038002",870
"421010103001",1908
"421010231001",1275
"421010002001",2860
"421010007001",931
"421010218003",1076
"421010005001",2543
"421010147001",1070
"421010160001",459
"421010164002",394
"421010172024",726
"421010177013",1066
"421010188007",2255
"421010008041",2439
"421010012022",917
"421010025004",1469
"421010030014",946
"421010363033",1571
"421010192001",754
"421010201012",643
"421010213002",519
"421010236001",585
"421010262003",1586
"421010265003",849
"421010245001",1245
"421010252003",770
"421010259003",980
"421010274021",1617
"421010277004",607
"421010290004",1866
"421010302001",1713
"421010040022",1818
"421010067006",484
"421010072005",840
"421010080001",1185
"421010306005",433
"421010310005",1388
"421010314013",1450
"421010317001",1012
"421010323001",728
"421010330001",595
"421010084006",748
"421010087011",1303
"421010091001",817
"421010108005",713
"421010112007",451
"421010119004",681
"421010339003",498
"421010341006",494
"421010349003",1021
"421010090001",455
"421010020002",646
"421010109003",1227
"421010114006",480
"421010146001",2595
"421010174002",902
"421010176023",1893
"421010288003",1639
"421010281001",2087
"421010332001",1822
"421010008011",1514
"421010158001",1536
"421010380002",1296
"421010389002",1076
"421010275002",1395
"421010306006",1210
"421010240002",1100
"421010260001",820
"421010300001",785
"421010134012",1460
"421010306007",1359
"421010031003",472
"421010389003",1276
"421010179004",1417
"421010279021",1463
"421010363022",1878
"421010031001",1271
"421010007003",1140
"421010167012",619
"421010206001",1695
"421010122041",2058
"421010010022",839
"421010085003",1034
"421010017002",1856
"421010238001",648
"421010041012",1774
"421010030011",530
"421010082006",1255
"421010340003",705
"421010312002",1839
"421010139001",76
"421010132001",1075
"421010244002",1150
"421010263023",812
"421010085005",1190
"421010095002",813
"421010112001",1616
"421010009011",1112
"421010027013",1955
"421010379004",1072
"421010201021",1018
"421010010012",1090
"421019806001",0
"421010210004",1311
"421010014003",2060
"421010022003",969
"421010107002",1444
"421010278002",1132
"421010010021",1347
"421010382001",1006
"421010066004",1206
"421010162001",798
"421010184002",1434
"421010197005",1434
"421010030012",717
"421010341001",786
"421010121001",1286
"421010110001",631
"421010252002",695
"421010287001",1355
"421010299003",790
"421010341005",999
"421010349001",883
"421010361002",929
"421010274011",1022
"421010284001",1554
"421010390002",1771
"421010314023",2904
"421010331023",953
"421010042021",1360
"421010065005",574
"421010069002",777
"421010073002",973
"421010163003",800
"421010175004",651
"421010240003",412
"421010289025",1226
"421010306001",1206
"421010213004",809
"421010259002",480
"421010108004",1166
"421010191006",361
"421010081022",1207
"421010261001",717
"421010156001",811
"421010102002",1364
"421010253003",652
"421010013005",3643
"421010060005",2003
"421010344003",2272
"421010108003",1072
"421010390008",688
"421010336005",798
"421010286003",874
"421010139003",865
"421010178006",382
"421010183004",555
"421010087021",1347
"421010072004",843
"421010204003",753
"421010019003",1206
"421010278003",870
"421010252004",989
"421010244003",578
"421010064001",1161
"421010367001",2044
"421010326004",1263
"421010217001",1980
"421010153001",1135
"421010267001",1081
"421010017001",1258
"421010382003",1032
"421010199003",860
"421010247004",736
"421010041013",1533
"421010090003",1503
"421010050001",0
"421010366001",2604
"421010125001",1845
"421010284003",956
"421010293002",1475
"421010316006",1236
"421010363012",1971
"421010060003",567
"421010065006",1085
"421010211001",1171
"421010382002",1029
"421010337022",2431
"421010070004",338
"421010319005",1814
"421010243003",877
"421010004011",2516
"421010070003",652
"421010015001",988
"421010263022",1095
"421010191004",2002
"421010356014",876
"421010180024",1106
"421010158006",1112
"421010310001",694
"421010216002",1374
"421010330006",1105
"421010183001",627
"421010081023",959
"421010152001",927
"421010289012",1330
"421010101002",515
"421010269002",1171
"421010333003",1096
"421010347023",755
"421010292003",876
"421010312003",1440
"421010041014",1783
"421010101001",1544
"421010025003",585
"421010038003",959
"421010016001",967
"421010308004",1587
"421010237003",716
"421010088023",2824
"421010011013",1180
"421010347011",2844
"421010098021",1788
"421010245004",544
"421019805001",0
"421010255002",1151
"421010325001",835
"421010029002",936
"421010062001",1108
"421010093004",1016
"421010092001",1684
"421010012024",1025
"421010055001",1527
"421010190003",1219
"421010038004",905
"421010095001",722
"421010263014",653
"421010218001",1765
"421010120001",479
"421010283005",1235
"421010135001",622
"421010314012",1626
"421010079001",850
"421010208001",1576
"421010362011",1571
"421010139002",816
"421010379003",1044
"421010337013",3859
