X,Y,OBJECTID,ASSET_NAME,SITE_NUMBE,PSPACETYPE,CAPACITY,DSCRIPTION,DPP_ASSET_,SPACE_GLOBAL_ID
-75.2250344586106,40.0536264222475,205,Wigard Avenue House picnic site 1,1,Picnic site,50,A picnic site with four tables.,3668,{7212EA66-9C53-40DF-8122-6E95C2745E3B}
-75.2022053320276,39.9992415296804,206,Chamounix Tennis Courts Picnic Pavilion,1,Picnic pavilion,50,A pavilion tucked behind the tennis courts.,1827,{D5A2A611-FC0A-44A8-AADD-D3FAC1A965F6}
-75.1666470696586,40.0220523143028,207,Kay Park,1,Neighborhood Park,50,Access to This is a 1.8-acre park in Germantown without picnic tables.,1629,4BF3B9FB-D779-4254-9B20-C8109BA183ED
-75.1497607149649,40.0398639966151,208,Kemble Park,1,Neighborhood Park,50,"Access to this 8.0-acre site in West Oak Lane with playground equipment, but no picnic tables.",731,65B907E5-80D2-4E63-A303-217CB6EC5506
-75.1876842875466,40.018196494914,209,McMichael Park,1,Neighborhood Park,50,"This 5.0-acre park in East Falls features open space surrounded by benches and shade trees, but no picnic tables.",880,0BA527FB-7EB2-46C4-AB10-7E5992D4E29B
-75.2318316668323,39.9834892674829,210,Triangle Park Pavilion,1,Picnic pavilion,50,A pavilion with access to two tables.,844,B0A1A0FE-CDED-4022-B811-5336228204B3
-75.0674451588928,40.0806936394209,211,Champions Park picnic site,1,Picnic site,50,Three tables and a trash can,1371,{F127EBD9-3348-4DDD-9BAA-6E976569149C}
-75.0674985120096,40.0884522201624,212,Pennypack at Pine picnic pavilion,4,Picnic pavilion,150,,1651,{a61ec15d-16fa-4c22-8d39-52bff519104f}
-75.0685742272739,40.0895558828713,213,Pennypack at Pine picnic site 2,2,Picnic site,50,,1651,{153bb7ff-0858-4814-b632-5122b89cd190}
-75.068858541682,40.0897364580525,214,Pennypack at Pine picnic site 1,1,Picnic site,50,,1651,{88466deb-f824-48db-b02e-c977b3dd7ccc}
-75.0683274637951,40.0893445276784,215,Pennypack at Pine picnic site 3,3,Picnic site,50,,1651,{8b44002c-8fef-48cf-aab5-287076eb02ce}
-75.0616657951249,40.0876353035556,216,Pennypack Park at Verree picnic site 1,1,Picnic site,50,,1651,{ef7ea77d-455b-4e1e-b2e5-51aeb5da9010}
-75.113449851205,40.0334859519856,217,Olney & Tabor open area,1,Picnic site,50,,1961,{423f2b61-5ad1-4343-a87a-27d7cd4f6e4a}
-75.2060235092381,39.9790116845965,218,Memorial Hall picnic site 7,7,Picnic site,50,Open space no tables and chairs,1714,{91c61ed8-df98-413e-8856-6d07e1b990f1}
-75.1877495525336,39.9901693273158,219,Tennis Island picnic site 1,1,Picnic site,50,,1900,{9d2a69f9-7444-4820-a0a1-7aa810ecede3}
-75.1279340100589,39.9793535732541,220,Konrad Square,1,Neighborhood Park,100,Use of entire neighborhood park for community events.,783,{10a7a443-491d-4962-bf99-6e68074f9f59}
-75.2319698793623,40.082962104284,221,Forbidden Drive Course North,1,Course,400,5K Course from Harpers Meadown Shelter to Thomas Mill covered bridge and back.,1357,{17650F35-D601-43F7-B5DA-FAAA83C7D965}
-75.2096007013178,39.9785724331424,222,Memorial Hall 5K Course,1,Course,4000,5K course that loops through West Fairmount Park. Races longer than 5K must start by 7:30am. 5K races must start by 8:30am.,1714,{e70cba85-b230-47df-b242-d0b45e556200}
