Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.18181818181818182,0.18181818181818182,0.0,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Bass Harbor,0.1,0.0,0.125,0.025,0.225,0.075,0.15,0.0,0.0,0.125,0.1,0.025,0.05
Southwest Harbor,0.0,0.3333333333333333,0.0,0.0,0.4166666666666667,0.0,0.125,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0
Northeast Harbor,0.0,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Bar Harbor,0.028985507246376812,0.13043478260869565,0.07246376811594203,0.043478260869565216,0.0,0.014492753623188406,0.30434782608695654,0.014492753623188406,0.028985507246376812,0.07246376811594203,0.057971014492753624,0.11594202898550725,0.11594202898550725
Wild Gardens of Acadia,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Cadillac Mountain,0.04918032786885246,0.14754098360655737,0.01639344262295082,0.08196721311475409,0.19672131147540983,0.03278688524590164,0.0,0.0,0.04918032786885246,0.13114754098360656,0.01639344262295082,0.09836065573770492,0.18032786885245902
Penobscot Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bubble Rock,0.0,0.3076923076923077,0.07692307692307693,0.0,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0
Jordan Pond,0.03125,0.15625,0.0,0.0625,0.1875,0.03125,0.25,0.0,0.1875,0.0,0.0,0.03125,0.0625
Boulder Beach,0.0,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385
Thunder Hole,0.0,0.16,0.08,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.16,0.0,0.0
Sand Beach,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.12121212121212122,0.06060606060606061,0.36363636363636365,0.0
