Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
Bass Harbor,0.05,0.0,0.05,0.0,0.1,0.05,0.2,0.0,0.15,0.2,0.05,0.05,0.1
Southwest Harbor,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast Harbor,0.0,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Bar Harbor,0.025,0.2,0.025,0.075,0.0,0.0,0.2,0.025,0.05,0.125,0.075,0.05,0.15
Wild Gardens of Acadia,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Cadillac Mountain,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
Penobscot Peak,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bubble Rock,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
Jordan Pond,0.0,0.21428571428571427,0.0,0.0,0.35714285714285715,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0
Boulder Beach,0.0,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
Thunder Hole,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.35714285714285715,0.0,0.0
Sand Beach,0.0,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.05263157894736842,0.5263157894736842,0.0
