Places,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u
Mariposa Grove of Giant Sequoias,0.0,0.0,0.0,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.1875,0.0625,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0625
Tioga Lake,0.0,0.0,0.0,0.42857142857142855,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne Grove,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0
Tuolumne Meadows,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.0,0.0,0.2727272727272727,0.22727272727272727,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
Yosemite West,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
Olmsted Point,0.0,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.4,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.16666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
Tenaya Lake,0.0,0.10526315789473684,0.0,0.3684210526315789,0.0,0.21052631578947367,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
Wildcat Falls,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
Mirror Lake,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222
Vernal Falls,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
