OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
1,MLK Trail,WEST_FAIRMOUNT,West River Drive Trail,MLK Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,N,N,4.17835109,,N,8785.25583763855
2,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,4.41853551,,Y,9289.67193583892
3,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.20735441,,N,436.192701549042
4,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.26644582,,N,559.777086500892
5,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,1.08832743,,N,2286.82756210942
6,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.90726004,,N,1905.39444683295
7,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.12465641,,N,261.912620317085
8,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03390184,,N,71.3590893461539
9,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.46628872,,N,980.830042583826
10,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.17741707,,N,373.354692355547
11,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.27686758,,N,581.48660821227
12,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,2.2485112,,N,4733.74497027349
13,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.02638012,,N,55.3885372246808
14,Lincoln Drive Trail Boardwalk,WISSAHICKON,,Lincoln Drive Trail Boardwalk,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.06157007,,N,129.575710252259
15,Blue Stone Bridge,WISSAHICKON,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02871416,,N,60.2719099286625
16,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.38280333,,N,805.268611597805
17,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.06364841,,N,133.766630977487
18,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.19766431,,N,415.240713248863
19,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03828088,,N,80.515905143001
20,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.14157969,,N,297.439387684374
21,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.07472085,,N,157.225189526466
22,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.19673431,,N,414.566658592361
23,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.4859043,,N,1022.03813734302
24,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.49114043,,N,1033.0436404919
25,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.54873248,,N,1155.75088420225
26,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02232128,,N,46.8990464732474
27,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.04407701,,N,92.7331193278165
28,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.28245506,,N,593.913659112965
29,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.91373613,,N,1923.60881731161
30,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.10749578,,N,226.550757806259
31,Tacony Crescentville Loop Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.2357663,,N,496.327377853513
32,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.21927916,,N,461.726554653224
33,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.8197512,,N,1726.1380818895
34,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.27244787,,N,573.499472567543
35,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02204033,,N,46.3379693938154
36,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.33480872,,N,704.369487343194
37,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.6542405,,N,1375.79355761253
38,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.52830335,,N,1108.8276464941
39,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.17642441,,Y,370.971891217397
40,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.09688472,,Y,203.652220705665
41,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.13150364,,Y,276.602472407205
42,Kelly Drive Trail,EAST_FAIRMOUNT,"Waterworks Drive, Seahorse Circle",Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.0493952,,Y,103.762716162715
43,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,N,1.72065868,,Y,3616.64333102405
44,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.22089194,,N,464.066229467882
45,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.43251421,,N,910.113261854446
46,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.22399513,,Y,470.780049308473
47,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.18964514,,Y,398.708339658904
48,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.66253689,,N,1393.38574641958
49,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.62345926,,N,1311.35514016487
50,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.54387772,,N,1144.17129760959
51,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.15609664,,N,328.999765994941
52,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.25986265,,N,547.351001376909
53,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.18524723,,N,389.114973028408
54,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.72693992,,N,1528.47812496319
55,Adams Bridge,TACONY_FRANKFORD,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01750328,,N,36.7649644901431
56,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.26396861,,N,554.728996986372
57,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.30275602,,N,636.364253114035
58,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.19260086,,Y,405.182054993915
59,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,1.25597508,,Y,2641.38858793174
60,Schuylkill River Trail - Shawmont,OTHER,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,1.11480107,,Y,2345.47573292089
61,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.07478024,,Y,157.394654966871
62,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.37248312,,Y,783.882418901245
63,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.11744576,,Y,247.055265646589
64,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01963419,,N,41.3024481581695
65,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01985799,,N,41.757865678431
66,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.0307017,,N,64.6242961333341
67,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.00859904,,N,18.1090222840661
68,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01368261,,N,28.8525621130228
69,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02340851,,N,49.278578994734
70,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02905935,,N,61.011815557992
71,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.09331579,,N,196.131044557699
72,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.28116794,,N,591.861612549598
73,Cheltenham Bridge,TACONY_FRANKFORD,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01339533,,N,28.1217746869168
74,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.19031433,,N,400.62705640253
75,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02506376,,N,52.7622596336629
76,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.05176869,,N,108.59354477844
77,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.06237584,,N,130.887463704473
78,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.81486601,,N,1713.06947280168
79,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.26917528,,N,564.850199025792
80,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.02192977,,N,46.0406096779251
81,Kensington and Tacony Trail,NORTH_DELAWARE,,Delaware Riverfront Greenway - K&T Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,1.06498365,,N,2238.44188547335
82,Port Richmond Trail,NORTH_DELAWARE,,Delaware Riverfront Greenway - Port Richmond Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,1.56994481,,N,3296.47204767397
83,Manayunk Bridge Trail,OTHER,,Manayunk Bridge Trail,,MAJOR,HARD,EXISTING,Closed from 9PM to 7AM,Y,Y,N,Y,N,N,N,0.35862145,,N,755.199400587942
84,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.26867938,,N,564.371380939961
85,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.06655251,,N,139.640805465554
86,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.42166237,,N,886.694032164305
87,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.08010802,,N,168.391078889675
88,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.04550045,,N,95.646955230299
89,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.22592749,,N,474.69068782629
90,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.25080993,,N,526.812876760613
91,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.14633262,,N,307.467481585211
92,Frankford Creek Greenway,TACONY_FRANKFORD,,Frankford Creek Greenway,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,1.23684625,,N,2601.20324355698
93,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.13384284,,N,281.222058363348
94,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.15142487,,N,318.715132774719
95,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,N,N,0.35301412,,N,741.237129941347
96,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.37813541,,N,795.6440644075
97,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.10127094,,Y,212.925041125688
98,Baxter Trail,NORTH_DELAWARE,,Baxter Trail,,MAJOR,HARD,EXISTING,Trail closed weekdays,Y,Y,Y,Y,Y,N,Y,0.60529372,,N,1272.40325190102
99,Baxter Trail,NORTH_DELAWARE,,Baxter Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,1.06088158,,N,2230.88156048468
100,Delaware Avenue Extension Trail,NORTH_DELAWARE,,Delaware Riverfront Greenway - Delaware Avenue Extension Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.53718454,,N,1128.91318932665
101,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.29057891,,N,612.225124877156
102,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08211034,,N,172.764048495688
103,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.00703374,,N,14.813975555496
104,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.05888853,,N,124.046072150753
105,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.032265,,N,67.9768643398574
106,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03244099,,N,68.2464013213214
107,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01724836,,N,36.3402556607857
108,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.09354733,,N,196.606293634947
109,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.22438997,,N,471.87020704609
110,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.074537,,N,157.080231675346
111,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04451886,,N,93.6559028601376
112,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07457354,,N,156.863799553754
113,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11809546,,N,248.392292262341
114,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.40784576,,N,857.778816248247
115,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.38975471,,N,819.245234917991
116,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.50708632,,N,1066.60224084188
117,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07853984,,N,164.978232241159
118,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.10151609,,N,213.34987882247
119,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11116088,,N,233.938253121233
120,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.14653333,,N,308.02316120552
121,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07875166,,N,165.556164967428
122,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.21106596,,N,443.515481281867
123,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.13179742,,N,277.517676549882
124,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.22978336,,N,483.09822882942
125,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08711484,,N,183.308273095596
126,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.37613482,,N,790.595193932033
127,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03310792,,N,69.7265454894548
128,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07774177,,N,163.457678599027
129,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.28337438,,N,595.731974311866
130,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06453881,,N,135.540276282737
131,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08477391,,N,178.062327988672
132,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11384412,,N,239.041765729272
133,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01113919,,N,23.4697398390144
134,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.1485131,,N,311.918580718801
135,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.24699334,,N,519.737744228654
136,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08597547,,N,181.020068656552
137,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06618427,,N,139.060859943344
138,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.16475679,,N,347.021172236647
139,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06178199,,N,129.82606333653
140,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02858277,,N,60.1214573316951
141,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.12138729,,N,255.632506836675
142,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.16496552,,N,347.226352951035
143,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01422627,,N,29.9110131310255
144,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08860024,,N,186.635398609895
145,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.05330292,,N,112.079070961601
146,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.04760452,,N,100.288236819684
147,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.0159382,,N,33.5766911498987
148,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.33648125,,N,708.775714322446
149,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03218272,,N,67.6021250065252
150,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.37126899,,N,781.736288456229
151,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.10677075,,N,224.742987696992
152,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03284669,,N,69.2056881637756
153,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03014133,,N,63.4809973898144
154,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.25219348,,N,530.50309060089
155,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.21203389,,N,446.718265123873
156,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.22811385,,N,479.493139289217
157,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.04555891,,N,95.8664435657657
158,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07299725,,N,153.239479211363
159,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.39951359,,N,840.342309475127
160,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.05985284,,N,125.932398739631
161,Minor Trail,WISSAHICKON,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.15575903,,N,328.015660177036
162,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.15108327,,N,317.783825923515
163,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.23273472,,N,489.390487042568
164,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.0314484,,N,66.1559638736524
165,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.0672567,,N,141.512538505786
