objectid,park_name,site_number,table_count,comments,data_source,lat,lng
168,Carroll Park,0,1,,"2018 NaturePHL, Pictometry 2020",39.970854520626474,-75.23632748713295
169,Carroll Park,0,1,,"2018 NaturePHL, Pictometry 2020",39.97130196731744,-75.23660279603091
170,Cecil B Moore Recreation Center,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.994177524733615,-75.16769781572
171,Corporal Jimmy OConnor Memorial Playground,0,2,Formerly Chalfont Playground,"2018 NaturePHL, Pictometry 2020",40.07949123459234,-74.97462204457177
172,Charles H Chew Jr Playground,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.93781769198442,-75.17401701976061
173,Clarence H Clark Park,0,12,"Count can change, since tables are not fixed.","2018 NaturePHL, 2016 Google Map, Pictometry 2020",39.94898035173633,-75.20984765786655
174,Clayborne and Lewis Playground,0,4,,"Pictometry 2020, 2018 NaturePHL, 2017 Google Map",39.973644914969555,-75.1990185783011
175,Cloverly Park,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.02555107989831,-75.18072724702449
176,Jose Manuel Collazo Park,0,2,,"2018 NaturePHL, 2018 Google Map, Pictometry 2020",39.99958275455475,-75.1304966947294
177,Rainbow De Colores Playground,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.98679562601218,-75.14154365021007
178,Rainbow De Colores Playground,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.98695212869186,-75.14187389957593
179,John Dickinson Square,0,3,,"2018 NaturePHL, 2016 Google Map, Pictometry 2020",39.92778632154709,-75.15187733306979
180,East Poplar Playground,0,2,,"2018 NaturePHL, NearMap2021",39.96663508406296,-75.15126939698875
181,Fishtown Recreation Center,0,5,,"2020 StreetSmart;NearMap 2021",39.972016162861344,-75.12778409877778
182,Eileen Fitzpatrick Playground,0,1,,NearMap 2021,40.096313094428375,-74.97186416770417
183,Ford Road Playground,0,2,1 table on path and 1 table under the gazebo.,2020 Street Smart and 2020 NearMap,39.999433554191434,-75.20642556401297
184,Fort Mifflin,0,16,,Pictometry 2020,39.875169025001384,-75.2114557603636
185,Fox Chase Recreation Center,0,5,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.07417290905007,-75.08250337946154
186,Frankford and Solly Playground,0,1,,"2018 NaturePHL, Pictometry 2020",40.043988169299716,-75.02094784554629
187,Franklin Square,0,6,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.95543677941933,-75.15078549744224
188,Franklin Square,0,5,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.955932706230726,-75.1510492883223
189,Susan Gorgas Park,0,1,,"2020 StreetSmart;NearMap 2021",40.036944108060126,-75.22049410337637
190,Thomas I Guerin Recreation Center,0,3,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.92335470275951,-75.17280860289549
191,Eric W (Hank) Gathers Jr Recreation Center,0,3,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.98742698720379,-75.1758189156207
192,Eric W (Hank) Gathers Jr Recreation Center,0,2,,"2018 NaturePHL, Pictometry 2020",39.987590754937834,-75.1747983477085
193,Hawthorne Cultural Center,0,4,,"2018 NaturePHL, 2018 Street Smart",39.93848295450207,-75.16363641435568
194,Nelson M Herron Playground and Recreation Center,0,5,,NearMap 2021,39.930583778938015,-75.14847690843379
195,Horton Street Play Lot,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.96626884446822,-75.24323772574834
196,Inn Yard Park,0,1,,"Pictometry 2020, 2018 NaturePHL, 2018 Street Smart",40.009217707747474,-75.19507898623742
197,Kingsessing Recreation Center,0,1,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.94185807426277,-75.21732708862595
198,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01422427501639,-75.04784659605305
199,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01419736650236,-75.04759466492516
200,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01470715601889,-75.04648421716699
201,John A Lee Cultural Center,0,3,,NearMap 2021,39.96224879697709,-75.2102763091137
202,Louis I Kahn Park,0,4,Fixed tables,"2020 StreetSmart; 2021 NearMap",39.945111343621896,-75.15998838934148
203,Lovett Park,0,9,,NearMap 2021,40.05635513696187,-75.18762968150752
204,Lovett Park,0,4,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.05684663124368,-75.18783836365287
205,Malcolm X Memorial Park,0,1,Fixed Table,"2020 Street Smart, Pictometry 2020",39.9530552227429,-75.22555909667396
206,Mantua Community Garden,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.9635481618656,-75.19185431114151
207,Mario Lanza Park,0,2,Non-fixed picnic tables.,NearMap 2021,39.93733007584737,-75.14727912319142
208,Dr Martin Luther King Jr Recreation Center,0,2,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.980564920883374,-75.16980106535092
209,Max Myers Playground,0,3,,Pictometry 2020,40.03933514017071,-75.07123978228665
210,Mifflin Square,0,3,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.918984165950846,-75.15670966626399
211,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.0576814926327,-75.18833466719204
212,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.0575971990891,-75.1876291462282
213,Mount Airy Playground,0,1,,"2018 NaturePHL, Pictometry 2020",40.05766602969325,-75.18802178776397
214,Fish Hatchery at Pleasant Hill Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.0427638499947,-74.99314760888538
215,Fish Hatchery at Pleasant Hill Park,0,4,,"2018 NaturePHL, Pictometry 2020",40.04314924920451,-74.99300415106269
216,Ridgway Park,0,6,,Pictometry 2020,39.93896292679836,-75.16462485574054
217,Charles A Russo Playground,0,2,,Pictometry 2020,40.030142639745335,-75.0343562241594
218,William H (Billy) Markward Memorial Playground,0,3,,"2018 NaturePHL, 2018 Street Smart",39.94781522922052,-75.1833689981312
219,William H (Billy) Markward Memorial Playground,0,6,,"2018 NaturePHL, 2016 Google Map",39.948070155130296,-75.18308509737362
220,Haddington-Marshall L Shepard Sr Recreation Center,0,11,,"2018 NaturePHL, Pictometry 2020",39.96689962016928,-75.23440525541662
221,Thomas B Smith Recreation Center,0,2,,Pictometry 2020,39.925920707657305,-75.18699646006574
222,Starr Garden Playground,0,2,Non-fixed picnic tables.,Street Smart 2020,39.94268971040786,-75.152770951411
223,Torresdale and Enfield Fields,0,3,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.03881864019905,-75.02068435737641
224,Triangle Park,0,2,,"2018 NaturePHL, 2018 Street Smart",39.98353275454204,-75.23178487293102
225,Ernest L Tustin Recreation Center,0,4,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.982105216041866,-75.24119264457156
226,Vernon Park,0,3,,"2018 NaturePHL, Pictometry 2020",40.03575469671135,-75.17696331099104
227,Verree and Susquehanna Playground,0,5,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.080792246198506,-75.0672262977702
228,Parkside Evans Recreation Center,0,5,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.98219650488739,-75.22629039443243
229,West Mill Creek,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.967006158924455,-75.2224279998287
230,Wissahickon Environmental Center,0,3,Non-fixed picnic tables sw of the house.,NearMap 2021,40.08091019407432,-75.23425628847214
231,Wissahickon Environmental Center,0,2,Non-fixed picnic tables near fire pit,NearMap 2021,40.08132091895188,-75.23439057355522
232,Wissahickon Environmental Center,0,1,Non-fixed table,2018 NaturePHL,40.081323012199576,-75.23400263307005
233,Wissinoming Park,0,12,,Pictometry 2020,40.02449687991979,-75.0693678706666
234,Woodside Park,0,1,,NearMap 2021,40.002323097090766,-75.20896807053177
235,William Lanier Park,0,5,,Pictometry 2020,39.93342868262924,-75.19402665913351
236,Stenton Park,0,2,,"Pictometry 2020, Capital Plans",40.024335995865435,-75.15266997330366
237,Stenton Park,0,2,,"Pictometry 2020, Capital Plans",40.02401297719081,-75.15251997905293
238,Fernhill Park,0,1,,2020 Street Smart,40.016071150032985,-75.17012598866415
