year,month,region,num_visits,num_unique_visitors
2021,10,ALL,1122878410,34981594
2021,10,ALL_US,1122878410,34981594
2021,10,ak,1174710,56426
2021,10,al,30753807,961862
2021,10,ar,16828272,551205
2021,10,as,7,5
2021,10,az,22954789,869435
2021,10,ca,93519740,3642704
2021,10,co,17597840,864665
2021,10,ct,8158995,444727
2021,10,dc,1655807,249842
2021,10,de,2803751,161740
2021,10,fl,85836819,2758796
2021,10,ga,50937574,1853577
2021,10,gu,210,129
2021,10,hi,4581039,144304
2021,10,ia,14275836,589120
2021,10,id,5027641,234570
2021,10,il,42216011,1830552
2021,10,in,25575370,1054779
2021,10,ks,12983239,496144
2021,10,ky,18037715,751031
2021,10,la,21853019,712326
2021,10,ma,14467514,823537
2021,10,md,15016204,816304
2021,10,me,3032482,132966
2021,10,mi,29146182,1224058
2021,10,mn,16011947,765571
2021,10,mo,29554183,1096526
2021,10,ms,16606353,537804
2021,10,mt,2628066,123954
2021,10,nc,38349812,1400701
2021,10,nd,2672443,114195
2021,10,ne,8545661,357918
2021,10,nh,3563799,190015
2021,10,nj,25119866,1161771
2021,10,nm,5230976,323109
2021,10,nv,12753702,588317
2021,10,ny,46553099,2315957
2021,10,oh,41201365,1649331
2021,10,ok,21266173,756246
2021,10,or,10447743,507871
2021,10,pa,34375545,1678028
2021,10,pr,95335,25953
2021,10,ri,2587198,161296
2021,10,sc,23066148,843074
2021,10,sd,3273419,143218
2021,10,tn,32229126,1305466
2021,10,tx,130134187,4082604
2021,10,ut,8925833,416788
2021,10,va,25683087,1141066
2021,10,vi,4504,1359
2021,10,vt,1108164,69294
2021,10,wa,17129772,776911
2021,10,wi,17565075,766304
2021,10,wv,6085954,294077
2021,10,wy,1675302,103834
