year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,10,1,ALL,"",65267645,15836595,22774187,12444212
2021,10,1,ALL_CA,CA,497987,303006,497987,303006
2021,10,1,ALL_US,US,64769658,15533950,22276200,12141206
2021,10,1,ab,CA,68961,42327,68961,42327
2021,10,1,ak,US,68255,20681,24412,15341
2021,10,1,al,US,1855660,413180,621013,326627
2021,10,1,ar,US,993338,234572,344876,182790
2021,10,1,as,US,4,4,2,2
2021,10,1,az,US,1256260,308397,411056,231906
2021,10,1,bc,CA,60891,38834,60891,38834
2021,10,1,ca,US,5142202,1277940,1687946,961150
2021,10,1,co,US,978088,256171,314220,177108
2021,10,1,ct,US,488919,134892,181252,98081
2021,10,1,dc,US,79218,31684,16092,9710
2021,10,1,de,US,167392,46776,59015,32173
2021,10,1,fl,US,4658594,1073292,1545787,828546
2021,10,1,ga,US,2912485,674101,951610,503882
2021,10,1,gu,US,40,35,34,31
2021,10,1,hi,US,227166,53832,63524,40041
2021,10,1,ia,US,867883,221920,315673,168524
2021,10,1,id,US,305840,83309,109647,62498
2021,10,1,il,US,2504007,636027,891800,485443
2021,10,1,in,US,1564093,390543,560730,300214
2021,10,1,ks,US,774080,191451,279158,146694
2021,10,1,ky,US,1064798,263634,366314,197888
2021,10,1,la,US,1248319,293413,418096,222948
2021,10,1,ma,US,841809,236574,291547,159815
2021,10,1,mb,CA,23264,13896,23264,13896
2021,10,1,md,US,873182,242801,303386,171049
2021,10,1,me,US,191493,52106,72436,40244
2021,10,1,mi,US,1805136,474038,663966,361211
2021,10,1,mn,US,948782,266843,339688,193770
2021,10,1,mo,US,1739638,422530,591773,319646
2021,10,1,mp,US,6,6,6,6
2021,10,1,ms,US,997102,223862,331214,175353
2021,10,1,mt,US,159446,43955,54271,31913
2021,10,1,nb,CA,8745,5365,8745,5365
2021,10,1,nc,US,2262158,545218,801626,426736
2021,10,1,nd,US,161260,42849,56152,30796
2021,10,1,ne,US,503846,127897,179542,95003
2021,10,1,nh,US,209168,59405,76357,42001
2021,10,1,nj,US,1500263,391598,559455,295936
2021,10,1,nl,CA,6597,3806,6597,3806
2021,10,1,nm,US,295438,83201,100235,56755
2021,10,1,ns,CA,11515,7021,11515,7021
2021,10,1,nt,CA,287,199,287,199
2021,10,1,nu,CA,111,74,111,74
2021,10,1,nv,US,633577,150680,173740,100103
2021,10,1,ny,US,2686747,732983,938488,516721
2021,10,1,oh,US,2478501,618605,897334,482314
2021,10,1,ok,US,1250649,293469,425077,224621
2021,10,1,on,CA,195311,118009,195311,118009
2021,10,1,or,US,601843,172047,202272,120983
2021,10,1,pa,US,2056894,557686,757664,415546
2021,10,1,pe,CA,1538,930,1538,930
2021,10,1,pr,US,7966,5833,4259,3530
2021,10,1,qc,CA,101294,60937,101294,60937
2021,10,1,ri,US,149895,41165,51043,27549
2021,10,1,sc,US,1372771,328197,480586,251751
2021,10,1,sd,US,193473,49614,67011,36549
2021,10,1,sk,CA,19261,11457,19261,11457
2021,10,1,tn,US,1870512,450488,610297,329707
2021,10,1,tx,US,7161325,1689318,2426989,1309220
2021,10,1,ut,US,534574,140872,185973,102925
2021,10,1,va,US,1479128,376624,518444,281648
2021,10,1,vi,US,91,70,0,0
2021,10,1,vt,US,68573,20625,25591,14491
2021,10,1,wa,US,1019186,289713,364432,219124
2021,10,1,wi,US,1084805,289433,393578,218464
2021,10,1,wv,US,373925,100668,135690,74943
2021,10,1,wy,US,99855,28325,33821,19192
2021,10,1,yt,CA,212,151,212,151
2021,10,2,ALL,"",59739427,16034369,21613501,12222083
2021,10,2,ALL_CA,CA,462561,291190,462561,291190
2021,10,2,ALL_US,US,59276866,15743381,21150940,11930893
2021,10,2,ab,CA,65128,41803,65128,41803
2021,10,2,ak,US,61324,23126,25248,16908
2021,10,2,al,US,1567773,416458,569800,317396
2021,10,2,ar,US,812939,232111,314443,178680
2021,10,2,as,US,1,1,1,1
2021,10,2,az,US,1150235,319016,396252,233950
2021,10,2,bc,CA,60072,39675,60072,39675
2021,10,2,ca,US,4820326,1349333,1643403,980626
2021,10,2,co,US,926886,263665,308259,177786
2021,10,2,ct,US,453712,133992,174403,95425
2021,10,2,dc,US,78169,31342,15573,9549
2021,10,2,de,US,159690,47850,55663,31282
2021,10,2,fl,US,4333665,1078642,1448584,804908
2021,10,2,ga,US,2682388,674257,902878,492045
2021,10,2,gu,US,35,33,32,31
2021,10,2,hi,US,217732,59535,68265,42601
2021,10,2,ia,US,791443,224141,295746,163269
2021,10,2,id,US,277229,85684,105902,63300
2021,10,2,il,US,2317971,646249,860571,480187
2021,10,2,in,US,1417431,394287,534979,294760
