year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,3,1,ALL,"",51671757,16119708,21469222,12785777
2021,3,1,ALL_CA,CA,415050,270539,415050,270539
2021,3,1,ALL_US,US,51256707,15849362,21054172,12515238
2021,3,1,ab,CA,68447,47195,68447,47195
2021,3,1,ak,US,56495,20985,22448,15481
2021,3,1,al,US,1471323,406500,592264,334935
2021,3,1,ar,US,810828,223428,321369,181022
2021,3,1,as,US,11,9,11,9
2021,3,1,az,US,1022163,309450,387123,237304
2021,3,1,bc,CA,50866,33666,50866,33666
2021,3,1,ca,US,3922353,1336607,1547457,1024317
2021,3,1,co,US,780429,255597,288284,180793
2021,3,1,ct,US,389985,141000,179837,108079
2021,3,1,dc,US,50270,28066,14315,10072
2021,3,1,de,US,123911,45069,55008,33726
2021,3,1,fl,US,4041398,1152052,1557575,889421
2021,3,1,ga,US,2354070,683874,937906,530438
2021,3,1,gu,US,560,504,323,315
2021,3,1,hi,US,185586,56568,62666,42201
2021,3,1,ia,US,682901,207711,288264,161704
2021,3,1,id,US,236748,76645,97425,60103
2021,3,1,il,US,1931401,648718,822842,494837
2021,3,1,in,US,1232703,380421,523029,298060
2021,3,1,ks,US,616999,185930,258973,145871
2021,3,1,ky,US,826983,255448,339424,197503
2021,3,1,la,US,1029274,293176,413807,233558
2021,3,1,ma,US,623972,244270,285318,176969
2021,3,1,mb,CA,26581,18215,26581,18215
2021,3,1,md,US,650682,244942,289039,183495
2021,3,1,me,US,137643,49178,66646,40571
2021,3,1,mi,US,1422409,468156,641212,376156
2021,3,1,mn,US,746286,265772,321919,198084
2021,3,1,mo,US,1367457,395638,548890,314494
2021,3,1,mp,US,73,70,72,69
2021,3,1,ms,US,808174,220212,318135,178943
2021,3,1,mt,US,122366,40358,48965,30734
2021,3,1,nb,CA,5250,3274,5250,3274
2021,3,1,nc,US,1787814,558327,769619,446900
2021,3,1,nd,US,130949,41323,54045,30958
2021,3,1,ne,US,418229,125823,171607,94861
2021,3,1,nh,US,160226,59496,74330,44781
2021,3,1,nj,US,1163513,413404,542689,325155
2021,3,1,nl,CA,3907,2352,3907,2352
2021,3,1,nm,US,204443,76200,82495,52920
2021,3,1,ns,CA,7579,4390,7579,4390
2021,3,1,nt,CA,268,159,268,159
2021,3,1,nu,CA,129,87,129,87
2021,3,1,nv,US,449124,140064,152026,99345
2021,3,1,ny,US,2062547,768007,892097,551215
2021,3,1,oh,US,1981241,627769,864828,495437
2021,3,1,ok,US,1035905,284232,397792,223610
2021,3,1,on,CA,153519,99198,153519,99198
2021,3,1,or,US,471781,167196,185202,123030
2021,3,1,pa,US,1594660,574111,713838,432197
2021,3,1,pe,CA,948,620,948,620
2021,3,1,pr,US,6031,4567,3590,2996
2021,3,1,qc,CA,78575,49173,78575,49173
2021,3,1,ri,US,111527,43297,48816,30035
2021,3,1,sc,US,1095594,321606,463861,259496
2021,3,1,sd,US,151605,46001,63545,36035
2021,3,1,sk,CA,18812,12094,18812,12094
2021,3,1,tn,US,1470749,432477,580575,335387
2021,3,1,tx,US,5724548,1679219,2224355,1304289
2021,3,1,ut,US,447519,139994,178396,106200
2021,3,1,va,US,1129967,380636,488515,294939
2021,3,1,vi,US,31,26,0,0
2021,3,1,vt,US,52034,20328,24742,15332
2021,3,1,wa,US,782240,281589,327861,221255
2021,3,1,wi,US,823808,280061,367769,219735
2021,3,1,wv,US,277100,92919,120992,71925
2021,3,1,wy,US,78069,24597,30041,17944
2021,3,1,yt,CA,169,116,169,116
2021,3,2,ALL,"",51279726,15087206,20900178,12368248
2021,3,2,ALL_CA,CA,401305,260030,401305,260030
2021,3,2,ALL_US,US,50878421,14827396,20498873,12108218
2021,3,2,ab,CA,59015,38717,59015,38717
2021,3,2,ak,US,54935,18176,21217,14280
2021,3,2,al,US,1447592,395747,580697,330943
2021,3,2,ar,US,813944,218688,314825,178253
2021,3,2,as,US,4,4,4,4
2021,3,2,az,US,1006586,290293,378645,230716
2021,3,2,bc,CA,51312,34379,51312,34379
2021,3,2,ca,US,3772312,1181663,1469077,958782
2021,3,2,co,US,756135,226204,282777,174303
2021,3,2,ct,US,382070,130526,171922,102478
2021,3,2,dc,US,49090,26059,13761,9626
2021,3,2,de,US,124089,42943,53152,32191
