year,month,region,num_visits,num_unique_visitors
2021,3,ALL,1011050174,38452074
2021,3,ALL_US,1011050174,38452074
2021,3,ak,1068020,62879
2021,3,al,29536276,1068930
2021,3,ar,15517154,578544
2021,3,as,26,21
2021,3,az,21470761,950022
2021,3,ca,76772267,3872659
2021,3,co,15882268,950830
2021,3,ct,7060636,438697
2021,3,dc,1330163,289128
2021,3,de,2403496,159935
2021,3,fl,85966246,3277886
2021,3,ga,48599797,2103034
2021,3,gu,435,341
2021,3,hi,4420794,169309
2021,3,ia,12617815,623742
2021,3,id,4437841,224867
2021,3,il,36705105,1977820
2021,3,in,23034678,1049604
2021,3,ks,11542385,524634
2021,3,ky,16703338,822333
2021,3,la,20919560,773884
2021,3,ma,11327573,829493
2021,3,md,12627412,863486
2021,3,me,2381507,116082
2021,3,mi,25207700,1235781
2021,3,mn,13943275,827652
2021,3,mo,27157101,1110293
2021,3,mp,1,1
2021,3,ms,15987999,578569
2021,3,mt,2396204,121297
2021,3,nc,34870007,1537764
2021,3,nd,2476247,116028
2021,3,ne,7980492,384143
2021,3,nh,3030443,176724
2021,3,nj,21129718,1222213
2021,3,nm,4304907,363861
2021,3,nv,11157174,584520
2021,3,ny,38524003,2515930
2021,3,oh,37272492,1755435
2021,3,ok,19972049,747700
2021,3,or,9153543,527717
2021,3,pa,29635248,1774731
2021,3,pr,83791,27610
2021,3,ri,2041987,155553
2021,3,sc,21856434,857486
2021,3,sd,2904329,139642
2021,3,tn,30364870,1302888
2021,3,tx,118947057,4340412
2021,3,ut,8669299,453217
2021,3,va,22097957,1145762
2021,3,vi,1116,518
2021,3,vt,932067,63420
2021,3,wa,14835862,806782
2021,3,wi,14886135,767730
2021,3,wv,5483723,283217
2021,3,wy,1421391,90347
