year,month,region,num_visits,num_unique_visitors
2021,6,ALL,1030120272,39848724
2021,6,ALL_US,1030120272,39848724
2021,6,ak,1288035,71697
2021,6,al,27821799,1183004
2021,6,ar,14436669,619934
2021,6,as,27,17
2021,6,az,19146645,972359
2021,6,ca,84284700,4060065
2021,6,co,17063235,1030558
2021,6,ct,7375531,481560
2021,6,dc,1462969,289001
2021,6,de,2721333,202803
2021,6,fl,89390087,3498210
2021,6,ga,45839112,2276798
2021,6,gu,291,163
2021,6,hi,5304402,185801
2021,6,ia,12896957,663532
2021,6,id,4784067,278199
2021,6,il,38887469,2245588
2021,6,in,22681088,1180716
2021,6,ks,11543671,567789
2021,6,ky,15533226,853827
2021,6,la,19315975,867088
2021,6,ma,12836670,919701
2021,6,md,13935177,978980
2021,6,me,2927093,157949
2021,6,mi,26875983,1419675
2021,6,mn,15508735,897201
2021,6,mo,26962242,1231569
2021,6,ms,14448898,646829
2021,6,mt,2800004,165488
2021,6,nc,34942036,1705934
2021,6,nd,2463071,133825
2021,6,ne,8166505,436280
2021,6,nh,3350050,205325
2021,6,nj,24117401,1359397
2021,6,nm,4559717,395308
2021,6,nv,12433151,665631
2021,6,ny,42464036,2730821
2021,6,oh,36501239,1810270
2021,6,ok,18753583,819844
2021,6,or,9863601,578210
2021,6,pa,30307226,1925120
2021,6,pr,75491,23171
2021,6,ri,2366955,198557
2021,6,sc,22929123,1037910
2021,6,sd,3257944,179470
2021,6,tn,29691556,1477299
2021,6,tx,114177588,4757790
2021,6,ut,8587044,492841
2021,6,va,22691347,1341369
2021,6,vi,1126,602
2021,6,vt,934488,69020
2021,6,wa,15997548,889132
2021,6,wi,16485526,863686
2021,6,wv,5082099,327378
2021,6,wy,1848731,145827
