year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,6,1,ALL,"",58744578,17414834,23211199,13361538
2021,6,1,ALL_CA,CA,525706,343056,525706,343056
2021,6,1,ALL_US,US,58218872,17071989,22685493,13018482
2021,6,1,ab,CA,82266,53643,82266,53643
2021,6,1,ak,US,67232,23380,24102,15886
2021,6,1,al,US,1570659,424714,600723,332062
2021,6,1,ar,US,814642,236589,333578,186870
2021,6,1,as,US,14,12,11,11
2021,6,1,az,US,1062406,326638,390398,240066
2021,6,1,bc,CA,67419,43582,67419,43582
2021,6,1,ca,US,4638890,1457092,1735103,1080660
2021,6,1,co,US,878239,283421,312580,188984
2021,6,1,ct,US,463386,151631,200989,113656
2021,6,1,dc,US,43964,22504,0,0
2021,6,1,de,US,148451,50457,61248,35977
2021,6,1,fl,US,4695132,1258306,1611213,909710
2021,6,1,ga,US,2525379,721110,940590,524750
2021,6,1,gu,US,43,43,35,35
2021,6,1,hi,US,236218,62915,63653,41915
2021,6,1,ia,US,766645,224388,310685,169097
2021,6,1,id,US,277960,86396,109894,63584
2021,6,1,il,US,2262561,706766,901886,515819
2021,6,1,in,US,1343007,407578,561887,313208
2021,6,1,ks,US,677451,202436,278324,152625
2021,6,1,ky,US,909877,274245,368283,208408
2021,6,1,la,US,1108742,314961,432359,241097
2021,6,1,ma,US,779050,267373,324492,185643
2021,6,1,mb,CA,29464,20419,29464,20419
2021,6,1,md,US,796064,278664,322287,192579
2021,6,1,me,US,172628,56314,76637,44255
2021,6,1,mi,US,1669010,515734,718002,401695
2021,6,1,mn,US,916871,299779,368802,215120
2021,6,1,mo,US,1490738,438601,581762,328342
2021,6,1,mp,US,11,11,11,11
2021,6,1,ms,US,839232,230864,327073,180775
2021,6,1,mt,US,151102,47966,56582,33950
2021,6,1,nb,CA,8554,5324,8554,5324
2021,6,1,nc,US,2039912,595015,821608,460669
2021,6,1,nd,US,146537,45085,58184,32226
2021,6,1,ne,US,462418,136723,182781,97971
2021,6,1,nh,US,197445,64897,85753,47849
2021,6,1,nj,US,1410638,440670,610665,336916
2021,6,1,nl,CA,6675,3909,6675,3909
2021,6,1,nm,US,249609,88860,95196,57986
2021,6,1,ns,CA,10820,7340,10820,7340
2021,6,1,nt,CA,326,209,326,209
2021,6,1,nu,CA,144,94,144,94
2021,6,1,nv,US,561466,156873,169642,104973
2021,6,1,ny,US,2451505,822505,990268,573720
2021,6,1,oh,US,2199490,672892,919830,515718
2021,6,1,ok,US,1059668,299603,413561,230813
2021,6,1,on,CA,191350,129392,191350,129392
2021,6,1,or,US,559457,186987,214715,134819
2021,6,1,pa,US,1856066,619921,792648,456936
2021,6,1,pe,CA,1713,1026,1713,1026
2021,6,1,pr,US,5697,4291,3156,2685
2021,6,1,qc,CA,103903,63600,103903,63600
2021,6,1,ri,US,134656,47697,54568,31286
2021,6,1,sc,US,1261189,352350,492355,267710
2021,6,1,sd,US,176137,52717,67975,37687
2021,6,1,sk,CA,22814,14327,22814,14327
2021,6,1,tn,US,1609942,468131,608935,344734
2021,6,1,tx,US,6335968,1822658,2387718,1362294
2021,6,1,ut,US,494866,153565,191838,110631
2021,6,1,va,US,1301753,412481,526965,304980
2021,6,1,vi,US,37,35,0,0
2021,6,1,vt,US,60339,21463,27273,16062
2021,6,1,wa,US,937286,313257,378114,239043
2021,6,1,wi,US,990779,311033,412597,238355
2021,6,1,wv,US,315288,100291,131581,75699
2021,6,1,wy,US,95120,30349,34378,19945
2021,6,1,yt,CA,258,193,258,193
2021,6,2,ALL,"",58303845,16885969,22889382,13183336
2021,6,2,ALL_CA,CA,512287,328401,512287,328401
2021,6,2,ALL_US,US,57791558,16557809,22377095,12854935
2021,6,2,ab,CA,78367,50408,78367,50408
2021,6,2,ak,US,67264,22793,23713,15566
2021,6,2,al,US,1546949,419299,589726,330197
2021,6,2,ar,US,846722,233251,330665,184025
2021,6,2,as,US,15,15,14,14
2021,6,2,az,US,1051680,315974,386124,236580
2021,6,2,bc,CA,65102,41565,65102,41565
2021,6,2,ca,US,4646652,1409724,1718863,1063560
2021,6,2,co,US,869754,267412,307501,184127
2021,6,2,ct,US,464664,146766,198298,111168
2021,6,2,dc,US,46656,24418,0,0
2021,6,2,de,US,147764,49505,60456,35566
2021,6,2,fl,US,4683183,1222212,1592012,897992
2021,6,2,ga,US,2478621,684293,925480,519379
2021,6,2,gu,US,26,23,14,14
2021,6,2,hi,US,238774,62301,63335,41551
2021,6,2,ia,US,770695,218004,309320,166841
2021,6,2,id,US,275546,83654,108809,62770
2021,6,2,il,US,2231516,672857,885914,506507
2021,6,2,in,US,1295405,399985,545024,309330
2021,6,2,ks,US,680590,196333,274322,148827
2021,6,2,ky,US,880036,271382,356250,205250
2021,6,2,la,US,1117302,306750,423541,236568
2021,6,2,ma,US,774071,251150,320715,180839
2021,6,2,mb,CA,27160,18197,27160,18197
2021,6,2,md,US,785846,264492,320803,191749
2021,6,2,me,US,172070,54485,75202,42821
2021,6,2,mi,US,1624884,497699,705582,397254
2021,6,2,mn,US,906124,284650,363971,211520
2021,6,2,mo,US,1495710,422382,572951,321976
2021,6,2,mp,US,7,7,7,7
2021,6,2,ms,US,823583,226883,319238,178355
2021,6,2,mt,US,152767,46950,55803,33182
2021,6,2,nb,CA,8610,5194,8610,5194
2021,6,2,nc,US,2015989,587521,811922,457356
2021,6,2,nd,US,145438,43562,56852,31471
2021,6,2,ne,US,459526,130734,180663,96154
2021,6,2,nh,US,197563,62899,84842,46936
2021,6,2,nj,US,1411140,431377,605800,334129
2021,6,2,nl,CA,6843,3783,6843,3783
2021,6,2,nm,US,244824,85522,94067,57258
2021,6,2,ns,CA,11020,6878,11020,6878
2021,6,2,nt,CA,319,198,319,198
2021,6,2,nu,CA,126,81,126,81
2021,6,2,nv,US,563468,155527,168348,103953
2021,6,2,ny,US,2433193,791553,977297,566589
2021,6,2,oh,US,2094115,650553,891099,509020
2021,6,2,ok,US,1064503,290398,407730,225564
2021,6,2,on,CA,187358,125029,187358,125029
2021,6,2,or,US,551849,181523,211515,132771
2021,6,2,pa,US,1836973,591823,781975,451127
2021,6,2,pe,CA,1624,962,1624,962
2021,6,2,pr,US,9127,6531,5988,4770
2021,6,2,qc,CA,103650,62493,103650,62493
2021,6,2,ri,US,131705,43373,53576,30337
2021,6,2,sc,US,1256990,347994,486653,265454
2021,6,2,sd,US,176733,51240,66709,36692
2021,6,2,sk,CA,21868,13428,21868,13428
2021,6,2,tn,US,1582166,460166,595157,343120
2021,6,2,tx,US,6368911,1776211,2377684,1357674
2021,6,2,ut,US,490508,146785,189091,108365
2021,6,2,va,US,1299621,401031,524746,303040
2021,6,2,vi,US,33,32,0,0
2021,6,2,vt,US,58763,20523,26748,15593
2021,6,2,wa,US,921783,305141,370047,234734
2021,6,2,wi,US,994999,302644,411990,234751
2021,6,2,wv,US,310820,99177,129048,75115
2021,6,2,wy,US,95942,30038,33895,19447
2021,6,2,yt,CA,240,185,240,185
2021,6,3,ALL,"",59263093,17125473,22843116,13191111
2021,6,3,ALL_CA,CA,513145,332633,513145,332633
2021,6,3,ALL_US,US,58749948,16793082,22329971,12858478
2021,6,3,ab,CA,80418,52379,80418,52379
2021,6,3,ak,US,67188,22840,23465,15490
2021,6,3,al,US,1591104,429037,588602,329032
2021,6,3,ar,US,877010,234111,330876,182548
2021,6,3,as,US,13,13,13,13
2021,6,3,az,US,1063239,318630,382983,235312
2021,6,3,bc,CA,65663,42021,65663,42021
2021,6,3,ca,US,4749478,1429329,1728539,1067225
2021,6,3,co,US,887106,272228,306904,183827
2021,6,3,ct,US,466079,151731,198420,112910
2021,6,3,dc,US,50191,27093,0,0
2021,6,3,de,US,151089,51100,61235,36150
2021,6,3,fl,US,4723851,1238206,1579527,897074
2021,6,3,ga,US,2521277,698561,923470,518251
2021,6,3,gu,US,37,36,25,24
2021,6,3,hi,US,239186,63636,63523,41879
2021,6,3,ia,US,781216,221597,307490,166328
2021,6,3,id,US,279784,85575,108099,62903
2021,6,3,il,US,2291150,683099,887800,506080
2021,6,3,in,US,1363361,402985,551418,308395
2021,6,3,ks,US,691639,196914,273123,147624
2021,6,3,ky,US,925737,277918,360971,205867
2021,6,3,la,US,1129200,311282,421709,236526
2021,6,3,ma,US,783627,261141,321705,183978
2021,6,3,mb,CA,27961,18884,27961,18884
2021,6,3,md,US,782443,272899,320465,193653
2021,6,3,me,US,175467,55390,75423,43424
2021,6,3,mi,US,1713560,503377,711581,396310
2021,6,3,mn,US,928414,289205,362610,211138
2021,6,3,mo,US,1555645,426870,576069,319867
2021,6,3,mp,US,11,11,11,11
