OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
488,Vine Street Park (95),Vine Street Park,Y,,Vine St Park, ,2798,VINE STREET EXP,19107,,,7.16202553,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,5,1,6,N,N,N,Vine Street Expressway Agreement with PENNDOT 4/22/1986,49387.3046875,3601.83525415174
489,Vine Street Park (676),Vine Street Park,Y,,Vine St Park, ,2798,VINE STREET EXP,19107,,,4.70609579,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,"7, 10",5,"1, 5","6, 9",N,N,N,Vine Street Expressway Agreement with PENNDOT 4/22/1986,32453.3046875,9101.83026186273
490,Vine Street Park,Vine Street Park,N,,Vine St Park, ,2798,VINE STREET EXP,19107,,,11.86812132,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,"7, 10",5,"1, 5","6, 9",Y,Y,N,Vine Street Expressway Agreement with PENNDOT 4/22/1986,81840.609375,12703.6655160145
491,Burholme Park Driving Range,Burholme Park,Y,,Burholme Range,Burholme Family Fun Center,489,401 W COTTMAN AVE,19111,7370 CENTRAL AVE,"Cottman & Central;7370 CENTRAL AVE",12.33298596,NEIGHBORHOOD_PARK,ATHLETIC_GOLF,1,1,10,2,N,N,N,,85322.68359375,1178.90279174713
492,Fairmount Drainage Rights of Way,Fairmount Drainage Rights of Way,N,,Fairmount Drain ROW, ,3495,,0,,,174.48943513,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,"6, 10","7, 8",N,N,N,,1207786.28125,27411.2183700186
493,Morris and Penn Park,Morris and Penn Park,N,,Morris and Penn,West Penn Playground,3830,353 W PENN ST,19144,"351 W PENN ST; 353 W PENN ST; 355 W PENN ST","351-55 W PENN ST;351 W PENN ST; 353 W PENN ST; 355 W PENN ST",0.09678997,POCKET_PARK,MISC_PARK,4,4,8,39,Y,Y,N,IN DEVELOPMENT,668.75,104.539358391311
494,Peters Island,Peters Island,N,,Peters Island,,3111,,19131,,,1.91202987,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,7,5,4,16,Y,Y,N,,13182.78515625,668.236137438761
495,Parkside Fields,West Fairmount Park,Y,,Parkside Fields,,0,5351 PARKSIDE AVE,19131,,,0.84955026,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,19,N,Y,N,,5863.15234375,312.012720905631
496,Manayunk Bridge,Manayunk Bridge,N,Manayunk Bridge,Manayunk Bridge,Dupont & High St,0,100 DUPONT ST,19127,111 DUPONT ST,"High St and Dupont St;111 DUPONT ST",1.9092385,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,4,4,4,5,Y,Y,N,"PPR has a long term lease with SEPTA for this site (Manayunk Canal, Ivy Ridge Branch (Cynwyd Branch)); Elevated Bridge goes over PPR Site Manayunk Canal",13192.09375,1798.94218721171
497,Ivy Ridge Greenway,Ivy Ridge Greenway,N,,Ivy Ridge,"Ivy Ridge Branch;Cynwyd Branch",0,4850 UMBRIA ST,19127,4850 UMBRIA ST,4850 UMBRIA ST,3.6685471,NEIGHBORHOOD_PARK,UNDEVELOPED,4,4,4,5,N,N,N,"Undeveloped Greenway/Breezeway; PPR has a long term lease with SEPTA for this site (Manayunk Canal, Ivy Ridge Branch (Cynwyd Branch))",25352.67578125,2593.64472792097
498,Dr Martin Luther King Jr Older Adult Center,Dr Martin Luther King Jr Older Adult Center,N,"Dr. Martin Luther King, Jr. Older Adult Center",King Older Adult Center,M.L. King Older Adult Center,3078,2102 W CECIL B MOORE AVE,19121,"2100-06 CECIL B MOORE AVE; 2100-04 CECIL B MOORE AVE","2100-06 CECIL B MOORE AVE; 2100-04 CECIL B MOORE AVE",0.33110061,POCKET_PARK,OLDER_ADULT_CENTER,6,6,5,22,Y,Y,Y,Formerly a Redevelopment site,2284.7265625,197.563800699177
499,Dr Martin Luther King Jr Recreation Center,Dr Martin Luther King Jr Recreation Center,N,"Dr. Martin Luther King, Jr. Recreation Center",King Rec,ML King Recreation Center,1985,2101 W CECIL B MOORE AVE,19121,2101-35 CECIL B MOORE AVE,2101-35 CECIL B MOORE AVE,5.25374198,NEIGHBORHOOD_PARK,RECREATION_SITE,6,6,5,22,Y,Y,Y,,36254.09375,760.502501414181
500,Devereaux Ave Trailhead at K and T Trail,Devereaux Ave Trailhead at K and T Trail,N,,,,0,5298 DEVEREAUX AVE,19135,STREET ROW - Legal Card LC008654,,0.24867724,POCKET_PARK,GREENWAY_PARKWAY,2,2,6,15,N,Y,N,Parking lot trailhead for the K&T Trail,1717.6328125,180.743253608873
501,Basilica Green,Benjamin Franklin Parkway,Y,,Basilica Green,,3123,1773 RACE ST,19103,201-07 N 18TH ST,201-07 N 18TH ST,0.23518769,POCKET_PARK,GREENWAY_PARKWAY,7,5,5,9,N,Y,N,,1621.7421875,165.434295809266
502,31st and York Courts,31st and York Courts,N,,31st and York,Strawberry Mansion 31st and York Pocket Park,3832,3101 W YORK ST,19132,2400-06 N 31ST ST,2400-06 N 31ST ST,0.22689783,POCKET_PARK,ATHLETIC_OTHER,6,6,5,22,Y,Y,N,,1566.296875,166.36188221404
503,31st and Cumberland Play Lot,31st and Cumberland Play Lot,N,,31st and Cumberland,Strawberry Mansion 31st and Cumberland Pocket Park,3833,2462 N 31ST ST,19132,2458-62 N 31ST ST,2458-62 N 31ST ST,0.20888781,POCKET_PARK,MISC_PARK,6,6,5,22,Y,Y,N,,1442.015625,160.101189228674
504,31st and Huntingdon Play Lot,31st and Huntingdon Play Lot,N,,31st and Huntingdon,"Napa Street Playground; Strawberry Mansion 31st and Huntingdon Pocket Park",3834,2550 N 31ST ST,19132,2548-56 N 31ST ST,2548-56 N 31ST ST,0.22439853,POCKET_PARK,MISC_PARK,6,6,5,22,Y,Y,N,,1549.14453125,171.781001179808
505,Carpenter Green Park,Carpenter Green Park,N,,Carpenter Green,"Carpenter's Green;17th and Carpenter Play Lot; Carpenter Green Park and Greenspace",3831,920 S 17TH ST,19146,914-28 S 17TH ST,914-28 S 17TH ST,0.28240636,POCKET_PARK,SQUARE_PLAZA,7,7,2,17,Y,Y,N,Maintenance is split between PPR and the FCGP.,1946.3515625,184.887743218821
506,South Philadelphia High School Park,South Philadelphia High School Park,N,,S Phila HS Park,,3839,2125 S BROAD ST,19148,2101 S BROAD ST,"2101-49 S BROAD ST;2101 S BROAD ST",0.53898164,NEIGHBORHOOD_PARK,UNDEVELOPED,9,7,1,3,Y,Y,N,School District land leased to PPR.,3713.05078125,421.112361960828
507,Fletcher B Amos Playground,Fletcher B Amos Playground,N,Fletcher B. Amos Playground,Amos,,1809,1843 N 16TH ST,19121,1817-59 N 16TH ST,"1817-59 N 16TH ST;1839 N 16TH ST",1.01672898,NEIGHBORHOOD_PARK,RECREATION_SITE,6,6,5,22,Y,Y,Y,,7016.18359375,383.238357227692
508,Bartrams Mile Trail Greenway,Bartrams Mile Trail Greenway,N,,Bartrams Greenway,"Bartram's Mile; Bartrams South",0,,19143,,,9.2170296,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,9,8,3,"12,18",Y,Y,N,In Development,63509.93359375,2635.37571853545
509,Rail Park,Rail Park,N,The Rail Park,Rail Park,,3838,1250 NOBLE ST,19123,,1136 CALLOWHILL ST,0.87211244,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,5,1,6,Y,Y,N,Elevated former railway. ,6009.94140625,825.079151054729
510,11th and Venango Play Lot,11th and Venango Play Lot,N,,11th and Venango,Williams Reed Moore Memorial Park,3079,3600 N 11TH ST,19140,3600 N 11TH ST,3600 N 11TH ST,0.97286459,NEIGHBORHOOD_PARK,RECREATION_SITE,6,3,5,25,Y,Y,N,"Former School District Site that was acquired by the City/PPR in 2020. Renovation in 2021, name change ordinance should be introduced Fall 2021.",6718.48046875,325.853704355961
511,Maplewood Mall Plazas,Maplewood Mall Plazas,N,,Maplewood,,3840,1 W ARMAT ST,19144,"5530-34 GERMANTOWN AVE; 5537-41 GREENE ST","5530-34 GERMANTOWN AVE; 5537-41 GREENE ST; Germantown Ave & W Armat St; Greene St & W Armat St",0.40225827,POCKET_PARK,SQUARE_PLAZA,4,4,8,14,Y,Y,N,PPR is responsible for the northern and southern plazas. Other portions of the property maintained by Streets and Germantown Special Services District.,2781.39453125,310.008534490454
512,Nicetown Park,Nicetown Park,N,,Nicetown,Nicetown Triangle,2957,4301 GERMANTOWN AVE,19140,"4327-43 N GRATZ ST;4327R N GRATZ ST;4301-05 GERMANTOWN AVE;4369-71 GERMANTOWN AVE;1822-30 W CAYUGA ST","4301 GERMANTOWN AVE;4377 GERMANTOWN AVE;4377 GERMANTOWN AVE;4369-71 GERMANTOWN AVE;1822-30 W CAYUGA ST",2.84345519,NEIGHBORHOOD_PARK,MISC_PARK,3,4,8,39,Y,Y,N,DPP Ownership/Missing Central Piece is School District,19644.1484375,1282.09353908268
513,Wissahickon East,Wissahickon East,N,,Wissahickon East,,3093,7530 ANDERSON ST,19119,,"7530 ANDERSON ST, 315 WOODBROOK LN",5.614821,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,8,14,Y,N,N,Not completely parcelized,38846.41796875,951.52377046805
514,Ottinger Tract,Ottinger Tract,N,,Ottinger, ,2807,7808 NIXON ST,19128,"7808 NIXON ST, 7868 NIXON ST",7868 NIXON ST,4.48294957,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,5,Y,N,N,,30993.546875,1441.50508308208
515,25th and Dauphin District Headquarters,25th and Dauphin District Headquarters,N,,25th and Dauphin (District HQ),"Maintenance Division;Neighborhood Parks and Construction Unit Headquarters;District 6 Satellite Office",718,2501 W SEDGLEY AVE,19132,"2503-09 W SEDGLEY AVE;2200-08 N 25TH ST","2503-09 W SEDGLEY AVE;2200-08 N 25TH ST",0.46465035,POCKET_PARK,OPERATIONS,6,6,5,22,N,N,N,"DPP is the owner/administrator of land and building, PPR leases land and building from DPP.",3207.203125,278.243037133301
516,Sedgely and Fletcher Warehouse,Sedgely and Fletcher Warehouse,N,,Sedgely Warehouse,"Sedgley Storeroom;Maintenance Warehouse",3103,2528 W SEDGLEY AVE,19132,2528-34 W SEDGLEY AVE,"W Sedgley Ave & N 26th St;2528-34 W SEDGLEY AVE",0.77390188,NEIGHBORHOOD_PARK,OPERATIONS,6,6,5,22,N,N,N,School District leases to PPR.,5341.640625,356.178092436914
517,Bartrams Mile Trail Greenway (56th),Bartrams Mile Trail Greenway,Y,,Bartrams Greenway,"Bartram's Mile; Bartrams South",3100,3101 S 56TH ST,19143,3101 S 56TH ST,"3101 S 56TH ST;3000 S 56TH ST",3.90991478,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,9,8,3,12,N,N,N,Partially Developed. Southern Portion in plans for development,26938.65625,1408.51967271201
518,Bartrams Mile Trail Greenway (Grays Ferry),Bartrams Mile Trail Greenway,Y,,Bartrams Greenway,"Bartram's Mile North End;Bartram's Trail Extension",3791,1637 S 49TH ST,19143,1637 S 49TH ST,"S 49TH ST and BOTANIC AVE;1637 S 49TH ST;1633 S 49TH ST;1699 S 49TH ST",5.30711482,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,9,8,3,18,N,N,N,,36571.26953125,1226.85581368776
519,Fox Chase - Lorimer Trail Greenway (Rhawn),Fox Chase - Lorimer Trail Greenway (Rhawn),N,,Fox Chase-Lorimer Greenway,,99999,439 RHAWN ST,19111,,"Rhawn St and Elberon Ave;8217 BURHOLME AVE",3.58935629,NEIGHBORHOOD_PARK,UNDEVELOPED,1,1,10,7,Y,N,N,No Public Access. Undeveloped Land awaiting Fox Chase - Lorimer Trail.,24840.66796875,2152.44809892438
520,Philadelphia Museum of Art,East Fairmount Park,Y,The Philadelphia Museum of Art,Museum of Art,Art Museum Complex,3463,2600 BENJAMIN FRANKLIN PKY,19130,2500 SPRING GARDEN ST,"26th & Ben Franklin Pkwy;2500 SPRING GARDEN ST;2850 ANNE DHARNONCOURT WAY",24.54730276,NEIGHBORHOOD_PARK,MUSEUM,7,5,5,9,N,Y,N,,169316.6484375,1983.04899674222
521,Boone Park,Boone Park,N,,Boone,Manayunk Park,602,4200 BOONE ST,19128,"4200 BOONE ST, 4171 CHURCHVIEW ST","Boone & Churchview;4171 CHURCHVIEW ST",1.80264015,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,5,Y,N,N,,12455.51953125,909.895815993722
522,Loretto and Gilham Triangle,Loretto and Gilham Triangle,N,,Loretto and Gilham,"Cranford Ave andd Magee Ave Traffic Island; Northeast Garden",245,1385 GILHAM ST,19111,Registry - 144N070092,6540 LORETTO AVE,0.16159592,POCKET_PARK,BREEZEWAY_ISLAND,2,1,9,2,Y,Y,N,,1116.8671875,144.694698041696
523,Spring Gardens,Spring Gardens,N,The Spring Gardens,Spring Gardens,,3800,1828 NORTH ST,19130,"1818-28 NORTH ST;1832 NORTH ST;1801-33 WALLACE ST;629-35 N 19TH ST;620-24 N 18TH ST ","1818-28 NORTH ST;1832 NORTH ST;1801-33 WALLACE ST;629-35 N 19TH ST;620-24 N 18TH ST",1.96308068,NEIGHBORHOOD_PARK,URBANAGRICULTURE_GARDEN,7,6,5,9,Y,Y,N,Lease from 2021-2036.,13540.66796875,489.451075034604
