OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
440,Emily Community Garden,Emily Community Garden,N,,Emily Garden,Growing Home Garden,3443,742 EMILY ST,19148,732-42 EMILY ST,732-42 EMILY ST,0.10990058,POCKET_PARK,URBANAGRICULTURE_GARDEN,9,7,1,3,Y,Y,N,Site renovations planned for 2021,757.109375,113.602003738799
441,Poquessing Creek Park,Poquessing Creek Park,N,Poquessing Creek Park,Poquessing Creek Park, ,3494,,0,,,187.00984591,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,"6, 10","7, 8",Y,Y,N,,1294820.94921875,24950.1846178005
442,Benjamin Franklin Parkway,Benjamin Franklin Parkway,N,Benjamin Franklin Parkway,Benjamin Franklin Pkwy,"The Parkway; Rob Stuart Memorial Dog Park; Winter Street Greenway",1226,BENJ FRANKLIN PKY,0,N/A,,67.32464427,REGIONAL_PARK,GREENWAY_PARKWAY,7,5,5,9,Y,Y,N,"22nd and Hamilton 'wedge' added (Street Legal Card); Winter (21st-22nd) has a dog park 'Rob Stuart Memorial Dog Park'",464283.65625,21824.625659632
443,Philly Pumptrack,West Fairmount Park,Y,,Pumptrack, ,3496,5301 PARKSIDE AVE,19131,,,0.52983043,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,19,Y,Y,N,,3656.5546875,243.283866003178
444,Reliance Triangle,Reliance Triangle,N,,Reliance,Bulldog Park,3301,2501 PENNSYLVANIA AVE,19130,2501 PENNSYLVANIA AVE,,0.34552695,POCKET_PARK,BREEZEWAY_ISLAND,7,6,5,9,Y,Y,N,,2382.9921875,208.365667881288
445,Philadelphia Stars Negro League Memorial Park,Philadelphia Stars Negro League Memorial Park,N,,Stars Negro League,,3535,1538 BELMONTE AVE,19104,N/A,,0.24872824,POCKET_PARK,SQUARE_PLAZA,7,8,4,19,Y,Y,N,,1716.2109375,219.470656397751
446,Glendinning Rock Garden,East Fairmount Park,Y,,Glendinning,,3585,1299 BREWERY HILL DR,19121,,"1201 KELLY DR, Girard Ave & Kelly Dr",2.78601038,NEIGHBORHOOD_PARK,HISTORIC_SITE,7,5,4,22,N,N,N,,19216.83203125,665.154225634132
447,Galusha Pennypacker Park,Benjamin Franklin Parkway,Y,Galusha Pennypacker Park,Pennypacker,Logan Square,2816,1856 VINE ST,19103,,200 N 18TH ST,1.13391877,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,Galusha Pennypacker Park is part of Logan Square. Renovated in 2017.,7824.828125,826.46141340223
448,Shakespeare Park,Benjamin Franklin Parkway,Y,Shakespeare Park,Shakespeare,Logan Square,3601,1948 VINE ST,19103,,200 N 18TH ST,1.17760953,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7,5,5,9,Y,Y,N,Shakespeare Park is part of Logan Square. Renovated in 2017.,8120.4765625,607.454524048378
449,Bristol Street Warehouse,Bristol Street Warehouse,N,,Bristol,,3601,1632 E BRISTOL ST,19124,1610-32 E BRISTOL ST,1610-32 E BRISTOL ST,1.97235874,NEIGHBORHOOD_PARK,OPERATIONS,3,3,7,24,Y,Y,N,Operations Warehouse Site,13622.44140625,532.007860285031
450,Cobbs Creek Park,Cobbs Creek Park,N,Cobbs Creek Park,Cobbs Creek Park, ,3056, ,19143,"12 COBBS CREEK PKWY;6501 COBBS CREEK PKWY;6100 BALTIMORE AVE;6300-01 MARKET ST;6300 SPRUCE ST;7800 CITY AVE;7400 LANSDOWNE AVE;SEE ALIAS ADDRESSES","12 COBBS CREEK PKWY;6501 COBBS CREEK PKWY;6100 BALTIMORE AVE;6300-01 MARKET ST;6300 SPRUCE ST;7800 CITY AVE;7400 LANSDOWNE AVE;338-50 N 65TH ST;6525-47 VINE ST;6801 HAVERFORD AVE",743.81853597,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,8,8,"2, 3, 4","12, 18, 19",Y,Y,N,,5129641.4296875,46286.9134020443
451,John A Lee Cultural Center,John A Lee Cultural Center,N,John A. Lee Cultural Center,Lee Cultural Center,John A. Lee Recreation Center,1892,4372 HAVERFORD AVE,19104,4310 HAVERFORD AVE,"4310 HAVERFORD AVE, 4328 HAVERFORD AVE, 44th & Haverford",9.59479255,NEIGHBORHOOD_PARK,RECREATION_SITE,8,8,3,16,Y,Y,Y,Boundaries updated to reflect ownership of land. PHA owns the majority portion of the tennis courts.,66172.3984375,1081.90500300712
452,Burholme Park,Burholme Park,N,,Burholme,,490,7370 CENTRAL AVE,19111,7370 CENTRAL AVE,Cottman & Central,67.92219584,REGIONAL_PARK,MISC_PARK,1,1,10,2,Y,Y,N,,469911.921875,2822.99499648339
453,Historic Rittenhouse Town,Wissahickon Valley Park,Y,Historic Rittenhouse Town,Historic Rittenhouse Town,,1939,6014 WISSAHICKON AVE,19144,N/A,,10.57133417,NEIGHBORHOOD_PARK,HISTORIC_SITE,4,4,4,39,Y,Y,N,,73053.04296875,1688.5378231797
454,Organic Recycling Center,West Fairmount Park,Y,Organic Recycling Center,Recycling Center,,3628,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,13.83526658,NEIGHBORHOOD_PARK,OPERATIONS,7,5,4,16,Y,Y,N,,95509.15625,1786.41137663244
455,Belmont Grove,West Fairmount Park,Y,,Belmont Grove,Belmont Grove Picnic Area,3630,2076 BELMONT MANSION DR,19131,3401 W GIRARD AVE,"Belmont & Chamounix;3401 W GIRARD AVE",11.76148656,NEIGHBORHOOD_PARK,MISC_PARK,7,5,4,16,Y,Y,N,,81187.16015625,1318.67676026821
456,Mann Center for the Performing Arts,West Fairmount Park,Y,The Mann Center for the Performing Arts,Mann Center,"The Mann Center;Robin Hood Dell West",3634,5038 AVENUE OF THE REPUBLIC,19131,,"5201 PARKSIDE AVE;5396 N GEORGES HILL DR",24.0064744,NEIGHBORHOOD_PARK,OTHER,7,5,4,19,Y,Y,N,,165671.51171875,2337.31542984936
457,Clifford Park,Wissahickon Valley Park,Y,,Clifford,Thomas Mansion Grounds,1832,6141 WISSAHICKON AVE,19144,6331 WISSAHICKON AVE,6331 WISSAHICKON AVE,23.0669862,NEIGHBORHOOD_PARK,MISC_PARK,4,4,8,14,Y,Y,N,,159427.4765625,1692.81369143992
