year,month,region,num_visits,num_unique_visitors
2021,5,ALL,1077204471,41871510
2021,5,ALL_US,1077204471,41871510
2021,5,ak,1209979,68778
2021,5,al,29927600,1141715
2021,5,ar,15692905,635029
2021,5,as,61,32
2021,5,az,21176455,1020255
2021,5,ca,86370591,4240720
2021,5,co,16838766,1007234
2021,5,ct,7940564,514945
2021,5,dc,1345089,265574
2021,5,de,2696000,193123
2021,5,fl,91579898,3445625
2021,5,ga,49987177,2284049
2021,5,gu,225,111
2021,5,hi,4795300,182670
2021,5,ia,13770021,687550
2021,5,id,4812715,262048
2021,5,il,41038370,2258398
2021,5,in,24606154,1190627
2021,5,ks,12257410,590891
2021,5,ky,16984480,848732
2021,5,la,20844957,876918
2021,5,ma,13332843,952688
2021,5,md,14185224,1002010
2021,5,me,2743619,145381
2021,5,mi,27713045,1415304
2021,5,mn,15987165,943537
2021,5,mo,28255700,1251932
2021,5,ms,15747932,628271
2021,5,mt,2537017,144345
2021,5,nc,37079472,1714170
2021,5,nd,2589454,131110
2021,5,ne,8479725,449901
2021,5,nh,3424890,205072
2021,5,nj,24350619,1389474
2021,5,nm,4541699,382217
2021,5,nv,12343561,657190
2021,5,ny,42867732,2755648
2021,5,oh,39759949,1824461
2021,5,ok,20028824,858763
2021,5,or,9867100,578119
2021,5,pa,32071684,1973160
2021,5,pr,76785,24359
2021,5,ri,2360512,198403
2021,5,sc,22783613,969880
2021,5,sd,3128587,163843
2021,5,tn,31460382,1464329
2021,5,tx,122031188,5027418
2021,5,ut,8809068,490193
2021,5,va,23798768,1368831
2021,5,vi,1240,580
2021,5,vt,938578,66684
2021,5,wa,16063013,883775
2021,5,wi,16807837,869805
2021,5,wv,5517077,313481
2021,5,wy,1645852,118637
