year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,5,1,ALL,"",58176058,16301937,21511953,12167180
2021,5,1,ALL_CA,CA,453767,290876,453767,290876
2021,5,1,ALL_US,US,57722291,16011217,21058186,11876304
2021,5,1,ab,CA,76094,52519,76094,52519
2021,5,1,ak,US,60785,21288,23717,14943
2021,5,1,al,US,1604134,413667,567910,309079
2021,5,1,ar,US,832009,223141,311181,169949
2021,5,1,as,US,17,16,16,15
2021,5,1,az,US,1105079,314942,383595,223847
2021,5,1,bc,CA,56201,35982,56201,35982
2021,5,1,ca,US,4504737,1353421,1631777,985668
2021,5,1,co,US,861862,258350,301763,173575
2021,5,1,ct,US,461466,143443,187266,103722
2021,5,1,dc,US,47667,27922,0,0
2021,5,1,de,US,151010,49010,55711,32174
2021,5,1,fl,US,4627463,1170299,1470334,833824
2021,5,1,ga,US,2649532,690374,901223,491319
2021,5,1,gu,US,21,21,16,16
2021,5,1,hi,US,218094,59680,66861,41439
2021,5,1,ia,US,771697,213002,289770,152430
2021,5,1,id,US,253258,79385,99540,57369
2021,5,1,il,US,2284301,658751,862073,475528
2021,5,1,in,US,1391394,392478,527252,287249
2021,5,1,ks,US,695922,190372,264278,140130
2021,5,1,ky,US,881437,257481,333304,186710
2021,5,1,la,US,1094046,300370,393466,219330
2021,5,1,ma,US,736094,249614,299540,170312
2021,5,1,mb,CA,29020,19856,29020,19856
2021,5,1,md,US,802721,255883,298107,172707
2021,5,1,me,US,159416,51236,68948,39724
2021,5,1,mi,US,1553897,489269,633407,359882
2021,5,1,mn,US,858200,274276,330473,187568
2021,5,1,mo,US,1554129,411815,554012,298289
2021,5,1,mp,US,3,3,3,3
2021,5,1,ms,US,846094,223849,301739,165929
2021,5,1,mt,US,130190,42197,48562,29645
2021,5,1,nb,CA,5979,3519,5979,3519
2021,5,1,nc,US,2038576,561311,761106,416708
2021,5,1,nd,US,133526,40444,50170,28306
2021,5,1,ne,US,465932,129449,170613,89957
2021,5,1,nh,US,184054,61368,74587,42123
2021,5,1,nj,US,1423222,424795,564760,308393
2021,5,1,nl,CA,4235,2516,4235,2516
2021,5,1,nm,US,235673,82022,87876,52890
2021,5,1,ns,CA,7833,5175,7833,5175
2021,5,1,nt,CA,258,174,258,174
2021,5,1,nu,CA,134,81,134,81
2021,5,1,nv,US,597212,151894,159939,96432
2021,5,1,ny,US,2339378,769790,911062,527506
2021,5,1,oh,US,2237570,634755,865107,473484
2021,5,1,ok,US,1071454,286290,386682,212370
2021,5,1,on,CA,168047,107359,168047,107359
